timestamp,ema50_dist_dash_btc_1D,ema200_dist_dash_btc_1D,upper_bb_dist_dash_btc_1D,lower_bb_dist_dash_btc_1D,width_bb_dash_btc_1D,rsi_dash_btc_1D,stoch_rsi_fastk_dash_btc_1D,stoch_rsi_fastd_dash_btc_1D,kijun_dist_dash_btc_1D,tenkan_dist_dash_btc_1D
2017-12-19 01:00:00,,,,,,,,,-67.31,-68.37
2017-12-20 01:00:00,,,,,,,,,-75.78,-76.56
2017-12-21 01:00:00,,,,,,,,,-75.42,-76.22
2017-12-22 01:00:00,,,,,,,,,-74.31,-75.14
2017-12-23 01:00:00,,,,,,,,,-74.32,-75.15
2017-12-24 01:00:00,,,,,,,,,-73.81,-74.66
2017-12-25 01:00:00,,,,,,,,,-73.5,-74.36
2017-12-26 01:00:00,,,,,,,,,-71.69,-72.6
2017-12-27 01:00:00,,,,,,,,,-71.03,-71.97
2017-12-28 01:00:00,,,,,,,,,-72.32,-73.21
2017-12-29 01:00:00,,,,,,,,,-71.79,-72.7
2017-12-30 01:00:00,,,,,,,,,-71.96,-72.86
2017-12-31 01:00:00,,,,,,,,,-70.89,-71.83
2018-01-01 01:00:00,,,,,,,,,-71.86,-72.77
2018-01-02 01:00:00,,,,,,63.13,,,-72.85,-73.73
2018-01-03 01:00:00,,,,,,58.58,,,-71.53,-72.44
2018-01-04 01:00:00,,,,,,56.62,,,-70.89,-71.83
2018-01-05 01:00:00,,,,,,46.06,,,-66.09,-67.19
2018-01-06 01:00:00,,,,,,50.25,,,-68.28,-69.31
2018-01-07 01:00:00,,,24.04,-11.7,33.67,54.22,,,-70.27,-71.23
2018-01-08 01:00:00,,,23.61,-9.95,31.41,54.06,75.74,55.13,-70.21,-71.17
2018-01-09 01:00:00,,,13.7,-14.57,28.4,58.04,100.0,80.29,-72.02,-72.92
2018-01-10 01:00:00,,,14.95,-10.99,25.44,55.32,65.09,80.28,-71.1,-72.03
2018-01-11 01:00:00,,,12.14,-11.66,23.74,56.1,51.3,72.13,-71.43,-72.35
2018-01-12 01:00:00,,,8.82,-12.46,21.67,57.23,79.51,65.3,-71.88,-72.79
2018-01-13 01:00:00,,,6.36,-13.16,20.21,58.19,100.0,76.94,-72.25,-73.14
2018-01-14 01:00:00,,,9.92,-8.95,18.78,53.87,0.0,59.84,-71.0,-71.93
2018-01-15 01:00:00,,,18.48,-2.97,19.91,47.78,0.0,33.33,-68.75,-69.76
2018-01-16 01:00:00,,,21.16,-2.36,21.5,46.36,0.0,-0.0,-68.13,-69.15
2018-01-17 01:00:00,,,12.62,-8.87,21.1,51.78,45.81,15.27,-70.21,-71.17
2018-01-18 01:00:00,,,8.65,-11.92,20.9,54.41,100.0,48.6,-71.2,-72.13
2018-01-19 01:00:00,,,9.27,-11.11,20.57,53.55,89.41,78.41,-70.94,-71.88
2018-01-20 01:00:00,,,10.93,-9.77,20.58,52.06,70.83,86.75,-70.48,-71.43
2018-01-21 01:00:00,,,12.68,-8.14,20.36,50.16,0.0,53.41,-69.88,-70.85
2018-01-22 01:00:00,,,12.19,-7.33,19.05,49.47,0.0,23.61,-69.66,-70.64
2018-01-23 01:00:00,,,12.56,-6.9,18.93,48.73,0.0,0.0,-69.43,-70.42
2018-01-24 01:00:00,,,13.53,-6.32,19.15,47.67,0.0,0.0,-69.11,-70.11
2018-01-25 01:00:00,,,9.32,-6.49,15.59,50.68,100.0,33.33,-69.93,-70.9
2018-01-26 01:00:00,,,9.77,-5.08,14.51,49.88,73.47,57.82,-69.73,-70.7
2018-01-27 01:00:00,,,13.91,-2.36,15.38,45.94,0.0,57.82,-68.63,-69.64
2018-01-28 01:00:00,,,11.53,-4.7,15.69,48.52,54.32,42.6,-69.28,-70.27
2018-01-29 01:00:00,,,12.55,-3.4,15.26,46.61,14.17,22.83,-68.77,-69.77
2018-01-30 01:00:00,,,14.41,-2.43,15.89,44.61,0.0,22.83,-68.19,-69.22
2018-01-31 01:00:00,,,11.17,-4.84,15.52,47.66,78.02,30.73,-68.91,-69.91
2018-02-01 01:00:00,,,11.0,-3.98,14.47,46.56,50.02,42.68,-68.63,-69.64
2018-02-02 01:00:00,,,11.58,-1.65,12.61,44.02,0.0,42.68,-67.96,-68.99
2018-02-03 01:00:00,,,6.21,-5.52,11.68,49.91,100.0,50.01,-69.27,-70.27
2018-02-04 01:00:00,,,11.39,-1.55,12.33,44.41,6.69,35.56,-67.83,-68.87
2018-02-05 01:00:00,,,14.44,0.09,13.37,41.94,0.0,35.56,-67.06,-68.12
2018-02-06 01:00:00,6.97,,8.57,-4.89,13.21,48.47,81.84,29.51,-68.64,-69.66
2018-02-07 01:00:00,6.14,,6.75,-5.01,11.66,49.16,90.62,57.49,-68.81,-69.82
2018-02-08 01:00:00,5.7,,5.39,-4.76,10.12,49.43,100.0,90.82,-68.88,-69.88
2018-02-09 01:00:00,-1.33,,-1.22,-11.43,10.89,58.11,100.0,96.87,-70.96,-71.9
2018-02-10 01:00:00,-1.92,,-0.94,-12.56,12.45,58.89,100.0,100.0,-71.16,-72.09
2018-02-11 01:00:00,0.79,,2.16,-10.22,12.9,54.53,55.23,85.08,-70.35,-71.31
2018-02-12 01:00:00,3.4,,4.99,-7.76,12.92,50.69,13.34,56.19,-69.54,-70.53
2018-02-13 01:00:00,4.4,,6.19,-6.7,12.93,49.16,0.0,22.86,-69.2,-70.19
2018-02-14 01:00:00,0.96,,2.87,-9.78,13.1,53.63,45.99,19.78,-70.2,-71.16
2018-02-15 01:00:00,3.89,,5.88,-7.04,12.99,49.37,3.95,16.65,-69.29,-70.28
2018-02-16 01:00:00,5.31,,7.56,-5.52,12.95,47.32,0.0,16.65,-68.8,-69.81
2018-02-17 01:00:00,7.6,,10.17,-3.56,13.29,44.29,0.0,1.32,-68.03,-69.07
2018-02-18 01:00:00,8.68,,11.74,-2.74,13.86,42.72,0.0,0.0,-67.61,-68.65
2018-02-19 01:00:00,9.59,,13.27,-2.07,14.52,41.31,0.0,0.0,-67.22,-68.28
2018-02-20 01:00:00,17.08,,22.95,2.7,17.95,34.28,0.0,0.0,-64.77,-65.91
2018-02-21 01:00:00,11.58,,17.9,-2.69,19.14,40.8,65.15,21.72,-66.28,-67.37
2018-02-22 01:00:00,10.62,,17.52,-3.81,19.96,41.49,85.48,50.21,-66.44,-67.53
2018-02-23 01:00:00,13.29,,21.08,-2.38,21.46,38.59,59.73,70.12,-65.47,-66.58
2018-02-24 01:00:00,13.97,,22.84,-2.57,23.07,37.53,45.02,63.41,-65.09,-66.21
2018-02-25 01:00:00,12.67,,22.27,-4.05,24.12,38.67,28.81,44.52,-65.33,-66.45
2018-02-26 01:00:00,14.42,,25.01,-3.56,25.8,36.55,0.0,24.61,-64.61,-65.75
2018-02-27 01:00:00,19.03,,31.41,-1.41,28.54,32.4,0.0,9.6,-62.94,-64.14
2018-02-28 01:00:00,20.37,,34.19,-2.13,31.3,30.97,0.0,0.0,-62.27,-63.48
2018-03-01 01:00:00,19.47,,32.68,-3.79,31.87,31.12,1.95,0.65,-62.3,-63.51
2018-03-02 01:00:00,22.62,,35.39,-2.23,32.26,28.47,0.0,0.65,-61.01,-62.27
2018-03-03 01:00:00,24.65,,37.44,-1.98,33.48,26.73,0.0,0.65,-60.05,-61.34
2018-03-04 01:00:00,22.57,,34.95,-4.66,34.4,28.51,40.42,13.47,-60.42,-61.7
