timestamp,ema50_dist_dash_btc_6h,ema200_dist_dash_btc_6h,upper_bb_dist_dash_btc_6h,lower_bb_dist_dash_btc_6h,width_bb_dash_btc_6h,rsi_dash_btc_6h,stoch_rsi_fastk_dash_btc_6h,stoch_rsi_fastd_dash_btc_6h,kijun_dist_dash_btc_6h,tenkan_dist_dash_btc_6h
2018-10-24 20:00:00,,,,,,,,,-14.44,-14.3
2018-10-25 02:00:00,,,,,,,,,-14.46,-14.32
2018-10-25 08:00:00,,,,,,,,,-14.26,-14.12
2018-10-25 14:00:00,,,,,,,,,-14.42,-14.28
2018-10-25 20:00:00,,,,,,,,,-13.95,-13.81
2018-10-26 02:00:00,,,,,,,,,-13.98,-13.84
2018-10-26 08:00:00,,,,,,,,,-14.0,-13.86
2018-10-26 14:00:00,,,,,,,,,-13.78,-13.65
2018-10-26 20:00:00,,,,,,,,,-14.05,-13.91
2018-10-27 02:00:00,,,,,,,,,-14.43,-14.29
2018-10-27 08:00:00,,,,,,,,,-14.36,-14.23
2018-10-27 14:00:00,,,,,,,,,-13.55,-13.41
2018-10-27 20:00:00,,,,,,,,,-12.94,-12.8
2018-10-28 02:00:00,,,,,,,,,-13.08,-12.94
2018-10-28 07:00:00,,,,,,45.39,,,-14.04,-13.9
2018-10-28 13:00:00,,,,,,53.37,,,-14.73,-14.59
2018-10-28 19:00:00,,,,,,51.56,,,-14.58,-14.44
2018-10-29 01:00:00,,,,,,50.83,,,-14.52,-14.38
2018-10-29 07:00:00,,,,,,48.35,,,-14.31,-14.18
2018-10-29 13:00:00,,,1.98,-0.3,2.27,38.7,,,-13.34,-13.2
2018-10-29 19:00:00,,,2.3,-0.16,2.43,36.58,0.0,12.35,-13.08,-12.94
2018-10-30 01:00:00,,,0.73,-1.68,2.42,51.11,100.0,33.33,-14.4,-14.26
2018-10-30 07:00:00,,,0.42,-2.08,2.53,54.01,100.0,66.67,-14.73,-14.6
2018-10-30 13:00:00,,,0.7,-1.83,2.54,51.76,87.06,95.69,-14.51,-14.37
2018-10-30 19:00:00,,,0.24,-2.47,2.74,56.39,100.0,95.69,-15.04,-14.9
2018-10-31 01:00:00,,,0.32,-2.58,2.93,56.92,100.0,95.69,-15.1,-14.96
2018-10-31 07:00:00,,,-0.12,-3.41,3.36,61.98,100.0,100.0,-15.74,-15.6
2018-10-31 13:00:00,,,1.65,-1.68,3.32,47.98,0.0,66.67,-14.26,-14.12
2018-10-31 19:00:00,,,1.66,-1.66,3.32,47.95,0.0,33.33,-14.25,-14.12
2018-11-01 01:00:00,,,1.67,-1.64,3.31,47.77,0.0,0.0,-14.23,-14.09
2018-11-01 07:00:00,,,1.41,-1.9,3.32,49.94,15.25,5.08,-14.46,-14.33
2018-11-01 13:00:00,,,1.32,-1.92,3.24,50.82,100.0,38.42,-14.56,-14.42
2018-11-01 19:00:00,,,1.38,-1.52,2.91,49.56,58.59,57.95,-14.43,-14.29
2018-11-02 01:00:00,,,1.57,-1.01,2.58,47.07,0.0,52.86,-14.19,-14.05
2018-11-02 07:00:00,,,1.64,-0.93,2.56,46.49,0.0,19.53,-14.13,-13.99
2018-11-02 13:00:00,,,0.9,-1.66,2.57,53.35,100.0,33.33,-14.76,-14.62
2018-11-02 19:00:00,,,0.77,-1.83,2.61,54.83,100.0,66.67,-14.9,-14.77
2018-11-03 01:00:00,,,0.29,-2.47,2.8,59.75,100.0,100.0,-15.43,-15.29
2018-11-03 07:00:00,,,0.72,-2.12,2.86,56.11,72.56,90.85,-15.14,-15.0
2018-11-03 13:00:00,,,0.57,-2.07,2.66,57.42,63.63,78.73,-15.27,-15.14
2018-11-03 19:00:00,,,0.31,-1.88,2.21,58.85,81.7,72.63,-15.42,-15.29
2018-11-04 01:00:00,,,1.1,-1.07,2.17,50.59,0.0,48.44,-14.76,-14.62
2018-11-04 07:00:00,,,-0.09,-2.55,2.49,61.2,100.0,60.57,-15.95,-15.82
2018-11-04 13:00:00,,,-3.32,-9.73,6.86,80.47,100.0,66.67,-20.7,-20.57
2018-11-04 19:00:00,,,-0.89,-8.77,8.28,70.39,66.26,88.75,-19.48,-19.35
2018-11-05 01:00:00,,,0.08,-8.77,9.24,68.88,61.2,75.82,-19.28,-19.15
2018-11-05 07:00:00,,,-0.37,-10.39,10.59,72.42,58.21,61.89,-20.38,-20.26
2018-11-05 13:00:00,,,0.78,-10.02,11.32,69.66,6.69,42.04,-20.03,-19.9
2018-11-05 19:00:00,,,2.2,-8.97,11.56,63.86,0.0,21.64,-19.23,-19.1
2018-11-06 01:00:00,-5.69,,1.7,-9.74,11.92,66.91,35.6,14.1,-20.05,-19.92
2018-11-06 07:00:00,-6.11,,1.56,-10.26,12.36,68.92,59.1,31.57,-20.62,-20.5
2018-11-06 13:00:00,-7.07,,0.98,-11.38,13.03,72.32,100.0,64.9,-21.67,-21.55
2018-11-06 19:00:00,-6.71,,1.68,-11.07,13.38,71.74,93.13,84.08,-21.6,-21.48
2018-11-07 01:00:00,-3.97,,4.57,-8.09,12.89,57.18,0.0,64.38,-19.44,-19.31
2018-11-07 07:00:00,-3.16,,5.26,-6.84,12.2,54.16,0.0,31.04,-18.87,-18.74
2018-11-07 13:00:00,-2.89,,5.37,-6.17,11.59,53.48,0.0,0.0,-18.74,-18.61
2018-11-07 19:00:00,-3.25,,4.78,-6.09,10.94,55.41,10.58,3.53,-19.15,-19.02
2018-11-08 01:00:00,-5.42,,2.42,-7.95,10.67,63.56,100.0,36.86,-21.15,-21.02
