timestamp,ema50_dist_dsh_usd_1D,ema200_dist_dsh_usd_1D,upper_bb_dist_dsh_usd_1D,lower_bb_dist_dsh_usd_1D,width_bb_dsh_usd_1D,rsi_dsh_usd_1D,stoch_rsi_fastk_dsh_usd_1D,stoch_rsi_fastd_dsh_usd_1D,kijun_dist_dsh_usd_1D,tenkan_dist_dsh_usd_1D
2017-12-19 01:00:00,,,,,,,,,-92.73,-93.55
2017-12-20 01:00:00,,,,,,,,,-94.23,-94.88
2017-12-21 01:00:00,,,,,,,,,-93.86,-94.55
2017-12-22 01:00:00,,,,,,,,,-92.34,-93.21
2017-12-23 01:00:00,,,,,,,,,-92.87,-93.67
2017-12-24 01:00:00,,,,,,,,,-92.39,-93.26
2017-12-25 01:00:00,,,,,,,,,-92.51,-93.36
2017-12-26 01:00:00,,,,,,,,,-93.0,-93.79
2017-12-27 01:00:00,,,,,,,,,-92.69,-93.52
2017-12-28 01:00:00,,,,,,,,,-92.48,-93.33
2017-12-29 01:00:00,,,,,,,,,-92.4,-93.26
2017-12-30 01:00:00,,,,,,,,,-91.21,-92.2
2017-12-31 01:00:00,,,,,,,,,-91.82,-92.75
2018-01-01 01:00:00,,,,,,,,,-91.88,-92.8
2018-01-02 01:00:00,,,,,,50.95,,,-92.89,-93.7
2018-01-03 01:00:00,,,,,,49.71,,,-92.69,-93.52
2018-01-04 01:00:00,,,,,,49.16,,,-92.6,-93.44
2018-01-05 01:00:00,,,,,,47.54,,,-92.34,-93.21
2018-01-06 01:00:00,,,,,,51.01,,,-92.85,-93.66
2018-01-07 01:00:00,,,15.68,-20.33,36.86,51.09,,,-92.86,-93.67
2018-01-08 01:00:00,,,24.34,-14.66,37.2,47.21,0.0,66.67,-92.31,-93.19
2018-01-09 01:00:00,,,15.04,-13.36,28.17,48.55,34.74,44.91,-92.5,-93.35
2018-01-10 01:00:00,,,10.9,-9.9,20.7,48.11,23.33,19.36,-92.44,-93.29
2018-01-11 01:00:00,,,22.46,-2.18,22.37,43.3,0.0,19.36,-91.68,-92.62
2018-01-12 01:00:00,,,15.93,-7.2,22.16,46.18,54.72,26.02,-92.07,-92.97
2018-01-13 01:00:00,,,10.63,-11.43,22.15,49.01,100.0,51.57,-92.44,-93.29
2018-01-14 01:00:00,,,22.04,-3.66,23.54,43.99,12.07,55.6,-91.67,-92.61
2018-01-15 01:00:00,,,29.96,0.66,25.41,41.14,0.0,37.36,-91.1,-92.11
2018-01-16 01:00:00,,,69.52,16.09,37.41,33.96,0.0,4.02,-88.77,-90.04
2018-01-17 01:00:00,,,59.54,2.5,43.54,37.29,22.14,7.38,-89.54,-90.73
2018-01-18 01:00:00,,,55.26,-4.48,47.64,38.79,48.17,23.44,-89.86,-91.01
2018-01-19 01:00:00,,,51.6,-9.02,49.97,40.25,87.71,52.67,-90.14,-91.26
2018-01-20 01:00:00,,,38.19,-17.89,50.91,45.13,100.0,78.62,-91.0,-92.02
