timestamp,ema50_dist_dsh_usd_6h,ema200_dist_dsh_usd_6h,upper_bb_dist_dsh_usd_6h,lower_bb_dist_dsh_usd_6h,width_bb_dsh_usd_6h,rsi_dsh_usd_6h,stoch_rsi_fastk_dsh_usd_6h,stoch_rsi_fastd_dsh_usd_6h,kijun_dist_dsh_usd_6h,tenkan_dist_dsh_usd_6h
2018-06-06 20:00:00,,,,,,,,,-76.73,-76.55
2018-06-07 02:00:00,,,,,,,,,-76.77,-76.58
2018-06-07 08:00:00,,,,,,,,,-76.74,-76.55
2018-06-07 14:00:00,,,,,,,,,-76.76,-76.57
2018-06-07 20:00:00,,,,,,,,,-76.74,-76.56
2018-06-08 02:00:00,,,,,,,,,-76.46,-76.27
2018-06-08 08:00:00,,,,,,,,,-75.8,-75.61
2018-06-08 14:00:00,,,,,,,,,-76.54,-76.36
2018-06-08 20:00:00,,,,,,,,,-76.41,-76.22
2018-06-09 02:00:00,,,,,,,,,-76.43,-76.25
2018-06-09 08:00:00,,,,,,,,,-75.76,-75.57
2018-06-09 14:00:00,,,,,,,,,-75.58,-75.39
2018-06-09 20:00:00,,,,,,,,,-75.34,-75.15
2018-06-10 02:00:00,,,,,,,,,-74.67,-74.47
2018-06-10 08:00:00,,,,,,23.69,,,-74.73,-74.53
2018-06-10 14:00:00,,,,,,16.65,,,-73.0,-72.78
2018-06-10 20:00:00,,,,,,15.93,,,-72.73,-72.52
2018-06-11 02:00:00,,,,,,19.77,,,-73.01,-72.79
2018-06-11 08:00:00,,,,,,19.39,,,-72.9,-72.69
2018-06-11 14:00:00,,,27.77,-0.29,24.67,16.53,,,-71.97,-71.75
2018-06-11 20:00:00,,,23.27,-4.59,25.48,27.37,100.0,53.39,-72.84,-72.63
2018-06-12 02:00:00,,,23.29,-5.11,26.03,26.69,93.69,69.76,-72.69,-72.47
2018-06-12 08:00:00,,,19.51,-7.76,25.76,33.86,100.0,97.9,-73.31,-73.1
2018-06-12 14:00:00,,,18.35,-8.08,25.14,33.86,100.0,97.9,-73.31,-73.1
2018-06-12 20:00:00,,,24.08,-3.85,25.36,26.63,0.0,66.67,-71.77,-71.55
2018-06-13 02:00:00,,,23.61,-4.38,25.54,26.14,0.0,33.33,-71.64,-71.42
2018-06-13 08:00:00,,,27.35,-2.85,26.9,22.99,0.0,0.0,-70.68,-70.45
2018-06-13 14:00:00,,,27.99,-2.6,27.15,21.68,0.0,0.0,-70.21,-69.98
2018-06-13 20:00:00,,,26.98,-3.16,26.93,21.27,0.0,0.0,-70.07,-69.83
2018-06-14 02:00:00,,,18.41,-7.54,24.61,34.74,100.0,33.33,-71.52,-71.3
2018-06-14 08:00:00,,,13.3,-9.59,22.48,41.0,100.0,66.67,-72.29,-72.08
2018-06-14 14:00:00,,,10.85,-9.33,20.03,41.98,100.0,100.0,-72.42,-72.2
2018-06-14 20:00:00,,,8.48,-8.87,17.38,42.86,100.0,100.0,-72.52,-72.3
2018-06-15 02:00:00,,,9.02,-6.71,15.56,39.7,61.11,87.04,-72.0,-71.78
2018-06-15 08:00:00,,,7.61,-5.5,12.97,38.95,0.0,53.7,-71.87,-71.65
2018-06-15 14:00:00,,,7.95,-5.0,12.76,37.86,0.0,20.37,-71.69,-71.47
