timestamp,ema50_dist_eos_btc_1D,ema200_dist_eos_btc_1D,upper_bb_dist_eos_btc_1D,lower_bb_dist_eos_btc_1D,width_bb_eos_btc_1D,rsi_eos_btc_1D,stoch_rsi_fastk_eos_btc_1D,stoch_rsi_fastd_eos_btc_1D,kijun_dist_eos_btc_1D,tenkan_dist_eos_btc_1D
2017-12-19 01:00:00,,,,,,,,,0.31,6.82
2017-12-20 01:00:00,,,,,,,,,4.17,10.93
2017-12-21 01:00:00,,,,,,,,,-2.32,4.01
2017-12-22 01:00:00,,,,,,,,,14.13,21.53
2017-12-23 01:00:00,,,,,,,,,11.95,19.21
2017-12-24 01:00:00,,,,,,,,,12.59,19.9
2017-12-25 01:00:00,,,,,,,,,11.65,18.89
2017-12-26 01:00:00,,,,,,,,,20.39,28.2
2017-12-27 01:00:00,,,,,,,,,17.18,24.78
2017-12-28 01:00:00,,,,,,,,,16.21,23.75
2017-12-29 01:00:00,,,,,,,,,16.0,23.52
2017-12-30 01:00:00,,,,,,,,,15.26,22.74
2017-12-31 01:00:00,,,,,,,,,18.64,26.34
2018-01-01 01:00:00,,,,,,,,,15.91,23.43
2018-01-02 01:00:00,,,,,,33.82,,,16.56,24.12
2018-01-03 01:00:00,,,,,,45.61,,,5.89,12.76
2018-01-04 01:00:00,,,,,,45.93,,,5.59,12.44
2018-01-05 01:00:00,,,,,,35.86,,,20.65,28.48
2018-01-06 01:00:00,,,,,,39.9,,,15.94,23.47
2018-01-07 01:00:00,,,5.98,-16.94,24.25,48.65,,,5.6,12.45
2018-01-08 01:00:00,,,2.06,-19.49,23.6,51.58,100.0,83.4,2.08,8.71
2018-01-09 01:00:00,,,3.27,-18.75,23.88,50.64,94.03,98.01,3.12,9.81
2018-01-10 01:00:00,,,-8.83,-33.81,31.75,63.4,100.0,98.01,-12.65,-6.99
2018-01-11 01:00:00,,,-11.09,-45.17,47.41,69.94,100.0,98.01,-21.96,-16.9
2018-01-12 01:00:00,,,-14.56,-59.04,70.38,77.15,100.0,100.0,-33.59,-29.28
2018-01-13 01:00:00,,,-14.49,-69.3,94.32,81.47,100.0,100.0,-41.46,-37.67
2018-01-14 01:00:00,,,3.66,-65.45,100.01,66.18,15.37,71.79,-32.37,-27.98
2018-01-15 01:00:00,,,10.8,-63.68,101.24,63.45,0.0,38.46,-30.06,-25.52
2018-01-16 01:00:00,,,18.98,-60.52,100.34,59.64,0.0,5.12,-26.44,-21.67
2018-01-17 01:00:00,,,18.48,-60.09,99.22,60.88,5.65,1.88,-28.25,-23.59
2018-01-18 01:00:00,,,20.3,-58.44,97.3,60.99,20.64,8.76,-28.41,-23.76
2018-01-19 01:00:00,,,17.25,-58.55,95.53,63.45,100.0,42.1,-31.61,-27.17
2018-01-20 01:00:00,,,-1.9,-67.74,101.01,74.11,100.0,73.55,-46.17,-42.68
2018-01-21 01:00:00,,,7.09,-64.83,101.11,69.07,61.9,87.3,-43.37,-39.7
2018-01-22 01:00:00,,,4.48,-65.88,101.52,71.78,82.27,81.39,-47.0,-43.56
2018-01-23 01:00:00,,,12.12,-62.65,100.06,67.58,38.74,60.97,-44.67,-41.08
2018-01-24 01:00:00,,,12.22,-61.5,97.82,68.7,17.1,46.04,-46.01,-42.51
2018-01-25 01:00:00,,,9.83,-59.44,92.12,70.58,71.28,42.38,-48.18,-44.81
