timestamp,ema50_dist_eos_btc_6h,ema200_dist_eos_btc_6h,upper_bb_dist_eos_btc_6h,lower_bb_dist_eos_btc_6h,width_bb_eos_btc_6h,rsi_eos_btc_6h,stoch_rsi_fastk_eos_btc_6h,stoch_rsi_fastd_eos_btc_6h,kijun_dist_eos_btc_6h,tenkan_dist_eos_btc_6h
2018-10-24 20:00:00,,,,,,,,,-14.88,-11.78
2018-10-25 02:00:00,,,,,,,,,-15.05,-11.96
2018-10-25 08:00:00,,,,,,,,,-15.1,-12.01
2018-10-25 14:00:00,,,,,,,,,-15.29,-12.21
2018-10-25 20:00:00,,,,,,,,,-15.18,-12.1
2018-10-26 02:00:00,,,,,,,,,-15.12,-12.03
2018-10-26 08:00:00,,,,,,,,,-15.34,-12.26
2018-10-26 14:00:00,,,,,,,,,-15.21,-12.13
2018-10-26 20:00:00,,,,,,,,,-15.28,-12.2
2018-10-27 02:00:00,,,,,,,,,-15.29,-12.21
2018-10-27 08:00:00,,,,,,,,,-15.15,-12.07
2018-10-27 14:00:00,,,,,,,,,-15.62,-12.55
2018-10-27 20:00:00,,,,,,,,,-15.35,-12.27
2018-10-28 02:00:00,,,,,,,,,-15.46,-12.38
2018-10-28 07:00:00,,,,,,65.85,,,-15.54,-12.47
2018-10-28 13:00:00,,,,,,69.68,,,-15.78,-12.72
2018-10-28 19:00:00,,,,,,70.13,,,-15.81,-12.75
2018-10-29 01:00:00,,,,,,61.3,,,-15.54,-12.47
2018-10-29 07:00:00,,,,,,66.07,,,-15.82,-12.76
2018-10-29 13:00:00,,,3.92,1.25,2.61,29.23,,,-13.06,-9.9
2018-10-29 19:00:00,,,3.98,0.61,3.3,31.55,5.67,19.9,-13.22,-10.06
2018-10-30 01:00:00,,,4.03,0.15,3.8,32.81,9.72,5.13,-13.31,-10.15
2018-10-30 07:00:00,,,4.3,-0.04,4.26,31.86,7.14,7.51,-13.18,-10.02
2018-10-30 13:00:00,,,4.74,-0.1,4.73,29.84,17.16,11.34,-12.9,-9.73
2018-10-30 19:00:00,,,4.44,-0.67,5.02,34.16,100.0,41.43,-13.17,-10.01
2018-10-31 01:00:00,,,4.3,-1.01,5.23,35.86,100.0,72.39,-13.27,-10.12
2018-10-31 07:00:00,,,4.05,-1.35,5.32,38.43,100.0,100.0,-13.43,-10.28
2018-10-31 13:00:00,,,2.58,-2.7,5.28,53.42,100.0,100.0,-14.61,-11.5
