timestamp,ema50_dist_eos_usd_1D,ema200_dist_eos_usd_1D,upper_bb_dist_eos_usd_1D,lower_bb_dist_eos_usd_1D,width_bb_eos_usd_1D,rsi_eos_usd_1D,stoch_rsi_fastk_eos_usd_1D,stoch_rsi_fastd_eos_usd_1D,kijun_dist_eos_usd_1D,tenkan_dist_eos_usd_1D
2017-12-19 01:00:00,,,,,,,,,-78.34,-77.87
2017-12-20 01:00:00,,,,,,,,,-76.16,-75.64
2017-12-21 01:00:00,,,,,,,,,-76.61,-76.1
2017-12-22 01:00:00,,,,,,,,,-67.53,-66.82
2017-12-23 01:00:00,,,,,,,,,-69.82,-69.16
2017-12-24 01:00:00,,,,,,,,,-68.85,-68.17
2017-12-25 01:00:00,,,,,,,,,-69.45,-68.78
2017-12-26 01:00:00,,,,,,,,,-71.03,-70.4
2017-12-27 01:00:00,,,,,,,,,-71.39,-70.76
2017-12-28 01:00:00,,,,,,,,,-69.24,-68.57
2017-12-29 01:00:00,,,,,,,,,-69.32,-68.65
2017-12-30 01:00:00,,,,,,,,,-64.81,-64.04
2017-12-31 01:00:00,,,,,,,,,-67.6,-66.89
2018-01-01 01:00:00,,,,,,,,,-67.35,-66.64
2018-01-02 01:00:00,,,,,,31.73,,,-69.97,-69.31
2018-01-03 01:00:00,,,,,,40.07,,,-73.58,-73.0
2018-01-04 01:00:00,,,,,,40.36,,,-73.69,-73.12
2018-01-05 01:00:00,,,,,,39.47,,,-73.18,-72.6
2018-01-06 01:00:00,,,,,,43.46,,,-74.65,-74.1
2018-01-07 01:00:00,,,9.9,-35.69,52.33,45.86,,,-75.49,-74.96
2018-01-08 01:00:00,,,12.2,-29.69,45.9,42.58,48.75,82.92,-74.04,-73.48
2018-01-09 01:00:00,,,14.51,-26.02,43.0,40.55,16.95,55.23,-73.01,-72.42
2018-01-10 01:00:00,,,-4.27,-39.92,45.76,53.35,100.0,55.23,-77.76,-77.27
2018-01-11 01:00:00,,,-1.3,-40.69,49.86,53.74,100.0,72.32,-77.9,-77.42
2018-01-12 01:00:00,,,-11.33,-55.6,66.54,64.9,100.0,100.0,-81.95,-81.56
2018-01-13 01:00:00,,,-13.81,-66.41,87.82,71.37,100.0,100.0,-84.43,-84.09
2018-01-14 01:00:00,,,7.9,-59.2,90.24,57.1,20.78,73.59,-81.17,-80.76
2018-01-15 01:00:00,,,14.42,-57.21,91.13,55.17,8.07,42.95,-80.51,-80.08
2018-01-16 01:00:00,,,46.47,-44.26,89.73,45.04,0.0,9.62,-75.09,-74.54
2018-01-17 01:00:00,,,44.38,-43.14,86.98,45.62,2.2,3.42,-75.45,-74.92
2018-01-18 01:00:00,,,43.91,-41.28,84.08,45.75,5.9,2.7,-75.53,-75.0
2018-01-19 01:00:00,,,31.93,-41.86,77.65,49.39,42.95,17.02,-77.48,-76.99
2018-01-20 01:00:00,,,-1.24,-58.11,80.86,62.88,100.0,49.62,-83.94,-83.59
2018-01-21 01:00:00,,,14.82,-48.63,76.36,55.58,57.73,66.89,-81.51,-81.11
2018-01-22 01:00:00,,,16.64,-45.49,72.61,55.27,55.56,71.1,-81.39,-80.98
2018-01-23 01:00:00,,,22.08,-41.5,70.42,53.48,30.32,47.87,-80.65,-80.23
2018-01-24 01:00:00,,,14.61,-44.14,68.92,56.53,32.46,39.44,-82.08,-81.68
2018-01-25 01:00:00,,,13.17,-43.43,66.69,57.56,100.0,54.26,-82.52,-82.14
2018-01-26 01:00:00,,,14.54,-41.58,64.89,57.52,98.98,77.14,-82.51,-82.12
2018-01-27 01:00:00,,,14.68,-40.46,63.3,57.98,100.0,99.66,-82.67,-82.3
2018-01-28 01:00:00,,,12.67,-39.35,60.04,59.24,100.0,99.66,-83.11,-82.74
2018-01-29 01:00:00,,,21.75,-29.7,53.58,53.58,0.0,66.67,-81.6,-81.19
2018-01-30 01:00:00,,,44.96,-16.04,53.3,45.25,0.0,33.33,-78.08,-77.6
2018-01-31 01:00:00,,,37.41,-19.54,52.28,47.7,17.54,5.85,-79.19,-78.74
2018-02-01 01:00:00,,,64.52,-7.97,56.51,41.31,0.0,5.85,-75.14,-74.59
2018-02-02 01:00:00,,,57.17,-11.34,55.74,42.17,7.04,8.19,-75.63,-75.1
2018-02-03 01:00:00,,,50.53,-16.83,57.64,44.02,42.34,16.46,-76.59,-76.08
2018-02-04 01:00:00,,,81.52,-6.14,63.67,38.5,0.0,16.46,-71.98,-71.36
2018-02-05 01:00:00,,,134.24,8.96,73.01,33.72,0.0,14.11,-64.65,-63.88
2018-02-06 01:00:00,29.06,,101.04,-11.22,77.47,39.17,52.9,17.63,-69.91,-69.26
2018-02-07 01:00:00,37.88,,119.67,-9.85,83.61,37.51,36.81,29.9,-67.5,-66.79
2018-02-08 01:00:00,26.2,,103.88,-21.22,88.52,40.33,100.0,63.24,-70.0,-69.34
2018-02-09 01:00:00,10.21,,73.26,-31.86,87.09,45.21,100.0,78.94,-73.7,-73.13
2018-02-10 01:00:00,16.66,,82.17,-30.3,89.31,43.33,75.6,91.87,-72.0,-71.39
2018-02-11 01:00:00,23.69,,92.17,-29.09,92.19,41.49,51.69,75.76,-70.08,-69.43
2018-02-12 01:00:00,12.3,,72.96,-37.15,93.39,45.03,96.33,74.54,-72.71,-72.12
2018-02-13 01:00:00,14.28,,72.38,-36.77,92.65,44.3,75.53,74.52,-72.09,-71.48
2018-02-14 01:00:00,3.42,,50.87,-41.82,88.67,48.39,100.0,90.62,-74.71,-74.16
2018-02-15 01:00:00,3.48,,45.13,-40.15,83.21,48.31,98.84,91.46,-74.66,-74.11
2018-02-16 01:00:00,3.26,,37.67,-37.49,75.09,48.36,99.09,99.31,-74.68,-74.13
2018-02-17 01:00:00,1.41,,25.36,-33.37,61.18,49.23,100.0,99.31,-75.12,-74.58
2018-02-18 01:00:00,11.73,,29.46,-22.01,49.62,44.71,0.0,66.36,-72.47,-71.87
2018-02-19 01:00:00,6.36,,20.64,-24.64,46.21,47.06,52.08,50.69,-73.73,-73.16
2018-02-20 01:00:00,13.3,,23.05,-16.79,38.63,44.15,0.0,17.36,-71.88,-71.27
2018-02-21 01:00:00,20.22,,30.28,-11.99,38.73,41.63,0.0,17.36,-69.96,-69.3
2018-02-22 01:00:00,27.43,,37.71,-7.49,39.26,39.33,0.0,0.0,-67.88,-67.18
2018-02-23 01:00:00,19.2,,26.21,-12.35,36.06,42.39,39.61,13.2,-69.75,-69.09
2018-02-24 01:00:00,23.6,,31.87,-9.68,37.4,40.76,29.69,23.1,-68.39,-67.71
2018-02-25 01:00:00,25.82,,34.32,-5.4,34.7,39.81,15.7,28.33,-67.56,-66.85
2018-02-26 01:00:00,20.18,,29.29,-9.53,35.33,42.0,87.07,44.15,-68.8,-68.12
2018-02-27 01:00:00,13.94,,22.76,-12.5,33.54,44.78,100.0,67.59,-70.27,-69.62
2018-02-28 01:00:00,16.13,,25.87,-10.51,33.78,43.62,76.51,87.86,-69.53,-68.86
2018-03-01 01:00:00,10.67,,19.54,-14.59,33.3,46.34,100.0,92.17,-70.84,-70.21
2018-03-02 01:00:00,17.42,,27.46,-9.82,34.26,43.07,24.73,67.08,-68.88,-68.2
2018-03-03 01:00:00,18.2,,29.28,-9.33,35.1,42.46,0.0,41.58,-68.48,-67.79
2018-03-04 01:00:00,14.22,,25.0,-12.6,35.4,44.4,50.15,24.96,-69.38,-68.72
2018-03-05 01:00:00,16.54,,27.95,-11.24,36.18,43.01,14.31,21.49,-68.58,-67.9
2018-03-06 01:00:00,28.62,,40.77,-3.26,37.08,38.02,0.0,21.49,-65.01,-64.25
2018-03-07 01:00:00,41.19,,55.34,3.14,40.38,34.26,0.0,4.77,-61.13,-60.29
2018-03-08 01:00:00,46.72,,62.06,3.88,43.75,32.69,0.0,0.0,-59.08,-58.19
2018-03-09 01:00:00,47.04,,61.12,2.19,44.76,32.23,0.0,0.0,-58.46,-57.55
2018-03-10 01:00:00,54.32,,71.56,2.69,50.22,30.42,0.0,0.0,-55.78,-54.81
2018-03-11 01:00:00,42.23,,56.45,-6.33,50.21,34.82,100.0,33.33,-58.75,-57.85
2018-03-12 01:00:00,48.33,,63.66,-4.83,52.92,33.02,59.11,53.04,-56.41,-55.45
2018-03-13 01:00:00,44.81,,60.91,-9.38,55.89,33.77,76.14,78.42,-56.9,-55.96
2018-03-14 01:00:00,56.83,,77.61,-5.92,61.49,30.84,9.5,48.25,-52.64,-51.6
2018-03-15 01:00:00,59.01,,81.88,-8.37,65.99,30.03,0.0,28.55,-51.25,-50.19
2018-03-16 01:00:00,59.2,,84.25,-11.93,70.63,29.57,0.0,3.17,-50.45,-49.37
