timestamp,ema50_dist_eos_usd_6h,ema200_dist_eos_usd_6h,upper_bb_dist_eos_usd_6h,lower_bb_dist_eos_usd_6h,width_bb_eos_usd_6h,rsi_eos_usd_6h,stoch_rsi_fastk_eos_usd_6h,stoch_rsi_fastd_eos_usd_6h,kijun_dist_eos_usd_6h,tenkan_dist_eos_usd_6h
2018-06-06 20:00:00,,,,,,,,,-81.72,-81.12
2018-06-07 02:00:00,,,,,,,,,-81.8,-81.2
2018-06-07 08:00:00,,,,,,,,,-81.52,-80.91
2018-06-07 14:00:00,,,,,,,,,-82.16,-81.57
2018-06-07 20:00:00,,,,,,,,,-82.66,-82.09
2018-06-08 02:00:00,,,,,,,,,-81.72,-81.12
2018-06-08 08:00:00,,,,,,,,,-81.65,-81.05
2018-06-08 14:00:00,,,,,,,,,-81.91,-81.32
2018-06-08 20:00:00,,,,,,,,,-81.84,-81.24
2018-06-09 02:00:00,,,,,,,,,-82.6,-82.02
2018-06-09 08:00:00,,,,,,,,,-82.66,-82.09
2018-06-09 14:00:00,,,,,,,,,-82.2,-81.61
2018-06-09 20:00:00,,,,,,,,,-81.98,-81.39
2018-06-10 02:00:00,,,,,,,,,-80.67,-80.03
2018-06-10 08:00:00,,,,,,41.19,,,-80.64,-80.0
2018-06-10 14:00:00,,,,,,32.5,,,-78.87,-78.17
2018-06-10 20:00:00,,,,,,26.58,,,-76.79,-76.03
2018-06-11 02:00:00,,,,,,25.88,,,-76.47,-75.7
2018-06-11 08:00:00,,,,,,28.73,,,-76.92,-76.16
2018-06-11 14:00:00,,,48.15,-1.43,40.19,27.44,,,-76.41,-75.63
2018-06-11 20:00:00,,,41.76,-7.92,42.49,33.9,100.0,47.42,-77.42,-76.67
2018-06-12 02:00:00,,,44.59,-8.39,44.86,32.37,80.86,68.16,-76.93,-76.17
2018-06-12 08:00:00,,,46.2,-9.66,47.23,31.48,62.45,81.1,-76.64,-75.87
2018-06-12 14:00:00,,,51.75,-8.6,49.64,28.69,19.27,54.19,-75.63,-74.82
2018-06-12 20:00:00,,,57.23,-7.42,51.76,26.12,0.0,27.24,-74.49,-73.64
2018-06-13 02:00:00,,,54.28,-11.25,53.92,27.92,28.75,16.0,-74.79,-73.96
2018-06-13 08:00:00,,,58.22,-11.23,56.24,26.06,0.0,9.58,-73.94,-73.08
2018-06-13 14:00:00,,,57.34,-13.01,57.59,25.65,0.0,9.58,-73.75,-72.88
2018-06-13 20:00:00,,,50.06,-16.97,57.52,30.4,100.0,33.33,-74.52,-73.68
2018-06-14 02:00:00,,,43.84,-17.82,54.56,32.17,100.0,66.67,-74.81,-73.97
2018-06-14 08:00:00,,,35.99,-17.86,49.37,34.77,100.0,100.0,-75.21,-74.39
2018-06-14 14:00:00,,,24.34,-19.71,43.05,42.17,100.0,100.0,-76.37,-75.59
2018-06-14 20:00:00,,,13.62,-20.24,35.01,48.17,100.0,100.0,-77.37,-76.62
2018-06-15 02:00:00,,,13.17,-15.94,29.52,44.68,78.21,92.74,-76.68,-75.91
2018-06-15 08:00:00,,,9.94,-11.56,21.68,42.83,60.18,79.46,-76.28,-75.49
2018-06-15 14:00:00,,,6.76,-11.06,18.21,43.97,29.92,56.1,-76.46,-75.68
2018-06-15 20:00:00,,,9.28,-8.7,17.93,41.0,0.0,30.03,-75.82,-75.03
2018-06-16 02:00:00,,,7.91,-9.75,17.83,42.75,47.59,25.84,-76.1,-75.31
2018-06-16 08:00:00,,,8.34,-8.98,17.38,41.77,26.03,24.54,-75.9,-75.1
2018-06-16 14:00:00,,,6.95,-10.07,17.29,43.79,94.02,55.88,-76.19,-75.4
2018-06-16 20:00:00,,,7.54,-8.46,16.07,41.89,32.15,50.74,-75.84,-75.04
2018-06-17 02:00:00,,,6.8,-8.46,15.39,42.16,19.09,48.42,-75.87,-75.07
2018-06-17 08:00:00,,,6.04,-8.74,14.99,42.89,55.55,35.6,-75.96,-75.17
2018-06-17 14:00:00,,,7.84,-7.2,15.0,40.43,0.0,24.88,-75.55,-74.74
2018-06-17 20:00:00,,,8.72,-5.94,14.45,39.16,0.0,18.52,-75.33,-74.51
2018-06-18 02:00:00,,,10.03,-4.65,14.29,37.45,0.0,0.0,-75.03,-74.2
2018-06-18 08:00:00,,,9.04,-4.33,13.06,38.75,23.96,7.99,-75.16,-74.34
2018-06-18 14:00:00,,,4.07,-6.86,11.08,47.8,100.0,41.32,-76.19,-75.4
2018-06-18 20:00:00,,,3.66,-6.25,10.04,48.29,100.0,74.65,-76.24,-75.46
2018-06-19 02:00:00,10.34,,5.15,-4.05,9.16,45.23,71.83,90.61,-75.85,-75.05
2018-06-19 08:00:00,8.98,,4.16,-4.51,8.68,47.19,88.45,86.76,-76.07,-75.27
2018-06-19 14:00:00,9.27,,4.65,-3.97,8.59,45.98,24.39,61.55,-75.92,-75.12
2018-06-19 20:00:00,7.77,,2.27,-4.29,6.63,48.51,100.0,70.95,-76.18,-75.39
2018-06-20 02:00:00,12.01,,6.37,-0.37,6.55,40.58,0.0,41.46,-75.13,-74.31
2018-06-20 08:00:00,10.68,,5.35,-1.38,6.6,42.43,23.34,41.11,-75.33,-74.52
2018-06-20 14:00:00,8.45,,3.15,-2.96,6.11,46.36,72.87,32.07,-75.75,-74.95
2018-06-20 20:00:00,8.84,,3.83,-2.36,6.14,45.03,56.09,50.77,-75.59,-74.78
2018-06-21 02:00:00,6.33,,1.68,-4.37,6.14,49.77,100.0,76.32,-76.09,-75.3
2018-06-21 08:00:00,7.88,,3.42,-2.73,6.13,46.18,51.1,69.06,-75.67,-74.87
2018-06-21 14:00:00,9.1,,4.73,-1.46,6.09,43.4,0.0,50.37,-75.31,-74.5
2018-06-21 20:00:00,7.9,,3.84,-2.32,6.11,45.34,30.4,27.17,-75.51,-74.7
2018-06-22 02:00:00,10.4,,6.76,-0.21,6.75,40.41,0.0,10.13,-74.84,-74.01
2018-06-22 08:00:00,19.59,,18.53,5.29,11.83,29.75,0.0,10.13,-72.57,-71.66
2018-06-22 14:00:00,27.61,,30.84,8.02,19.11,24.33,0.0,0.0,-70.47,-69.5
2018-06-22 20:00:00,27.87,,34.34,5.03,24.48,23.67,0.0,0.0,-70.15,-69.16
2018-06-23 02:00:00,30.96,,40.94,4.23,29.95,21.76,0.0,0.0,-69.13,-68.11
2018-06-23 08:00:00,29.2,,41.48,0.25,34.12,22.63,10.83,3.61,-69.27,-68.25
2018-06-23 14:00:00,28.13,,41.65,-2.68,37.1,22.59,32.2,14.34,-69.25,-68.23
2018-06-23 20:00:00,25.87,,39.8,-5.9,39.07,24.68,100.0,47.68,-69.53,-68.53
2018-06-24 02:00:00,42.73,,61.66,2.33,44.94,17.64,0.0,44.07,-65.03,-63.88
2018-06-24 08:00:00,42.18,,63.12,-1.7,49.59,17.35,0.0,33.33,-64.75,-63.58
2018-06-24 14:00:00,28.15,,47.02,-12.59,50.85,32.11,100.0,33.33,-67.94,-66.88
2018-06-24 20:00:00,25.41,,43.07,-15.04,50.97,33.99,100.0,66.67,-68.36,-67.32
2018-06-25 02:00:00,27.25,,45.1,-14.72,51.93,32.32,89.94,96.65,-67.62,-66.55
2018-06-25 08:00:00,19.73,,35.59,-19.8,51.33,39.87,100.0,96.65,-69.33,-68.32
2018-06-25 14:00:00,19.4,,33.6,-19.68,49.81,39.52,95.53,95.16,-69.21,-68.19
2018-06-25 20:00:00,19.98,,32.46,-18.81,47.99,38.45,81.24,92.26,-68.85,-67.82
2018-06-26 02:00:00,19.65,,29.22,-17.79,44.47,38.07,76.22,84.33,-68.73,-67.69
2018-06-26 08:00:00,21.9,,28.73,-14.93,40.84,35.64,0.0,52.49,-67.91,-66.85
2018-06-26 14:00:00,23.2,,26.96,-12.47,36.77,34.03,0.0,25.41,-67.32,-66.24
2018-06-26 20:00:00,29.27,,28.88,-5.87,31.16,29.67,0.0,0.0,-65.39,-64.24
2018-06-27 02:00:00,25.62,,20.32,-5.29,23.82,32.9,38.45,12.82,-66.08,-64.96
2018-06-27 08:00:00,22.92,,15.46,-5.65,20.12,35.18,92.21,43.55,-66.56,-65.46
2018-06-27 14:00:00,15.58,,8.15,-10.48,18.85,43.6,100.0,76.89,-68.38,-67.34
2018-06-27 20:00:00,15.87,,8.11,-9.51,17.74,42.71,93.67,95.29,-68.13,-67.08
2018-06-28 02:00:00,18.96,,11.24,-6.7,17.54,39.31,59.94,84.54,-67.07,-65.98
2018-06-28 08:00:00,16.32,,8.85,-8.23,17.03,41.84,79.14,77.59,-67.61,-66.54
2018-06-28 14:00:00,16.33,,8.87,-7.68,16.46,41.2,44.0,61.03,-67.43,-66.35
2018-06-28 20:00:00,22.43,,14.67,-2.67,16.36,35.44,0.0,41.05,-65.46,-64.32
2018-06-29 02:00:00,20.48,,13.42,-3.14,15.75,36.89,22.64,22.22,-65.77,-64.64
2018-06-29 08:00:00,23.62,,17.34,0.06,15.9,33.93,0.0,7.55,-64.61,-63.44
2018-06-29 14:00:00,19.77,,14.42,-3.14,16.63,37.9,54.67,25.77,-65.48,-64.34
2018-06-29 20:00:00,13.4,,8.53,-7.9,16.38,45.26,100.0,51.56,-67.16,-66.07
2018-06-30 02:00:00,9.15,,5.03,-11.05,16.58,49.92,100.0,84.89,-68.28,-67.23
2018-06-30 08:00:00,8.64,,4.31,-10.94,15.77,50.11,100.0,100.0,-68.33,-67.28
2018-06-30 14:00:00,8.36,,3.84,-10.66,15.01,50.03,99.37,99.79,-68.31,-67.26
2018-06-30 20:00:00,6.98,,2.65,-11.5,14.81,51.57,100.0,99.79,-68.63,-67.59
2018-07-01 02:00:00,7.64,,3.38,-10.61,14.52,50.09,10.33,69.9,-68.34,-67.3
2018-07-01 08:00:00,6.84,,3.14,-11.11,14.84,50.9,56.19,55.51,-68.5,-67.46
2018-07-01 14:00:00,7.95,,4.73,-9.9,15.02,48.58,0.0,22.17,-68.07,-67.02
2018-07-01 20:00:00,5.74,,3.13,-10.92,14.62,51.86,100.0,52.06,-68.66,-67.62
2018-07-02 02:00:00,8.05,,5.77,-8.25,14.19,47.53,0.0,33.33,-67.88,-66.82
2018-07-02 08:00:00,6.21,,4.47,-9.31,14.12,50.2,61.77,53.92,-68.35,-67.3
2018-07-02 14:00:00,-4.2,,-3.53,-19.77,18.38,64.8,100.0,53.92,-71.5,-70.56
2018-07-02 20:00:00,-4.5,,-1.89,-21.19,21.81,65.35,100.0,87.26,-71.65,-70.71
