timestamp,ema50_dist_etc_btc_1D,ema200_dist_etc_btc_1D,upper_bb_dist_etc_btc_1D,lower_bb_dist_etc_btc_1D,width_bb_etc_btc_1D,rsi_etc_btc_1D,stoch_rsi_fastk_etc_btc_1D,stoch_rsi_fastd_etc_btc_1D,kijun_dist_etc_btc_1D,tenkan_dist_etc_btc_1D
2017-12-19 01:00:00,,,,,,,,,-40.52,-46.79
2017-12-20 01:00:00,,,,,,,,,-45.95,-51.64
2017-12-21 01:00:00,,,,,,,,,-46.06,-51.74
2017-12-22 01:00:00,,,,,,,,,-37.64,-44.21
2017-12-23 01:00:00,,,,,,,,,-36.53,-43.22
2017-12-24 01:00:00,,,,,,,,,-36.44,-43.13
2017-12-25 01:00:00,,,,,,,,,-38.8,-45.24
2017-12-26 01:00:00,,,,,,,,,-32.47,-39.58
2017-12-27 01:00:00,,,,,,,,,-31.2,-38.45
2017-12-28 01:00:00,,,,,,,,,-31.71,-38.91
2017-12-29 01:00:00,,,,,,,,,-32.4,-39.52
2017-12-30 01:00:00,,,,,,,,,-32.99,-40.05
2017-12-31 01:00:00,,,,,,,,,-31.86,-39.04
2018-01-01 01:00:00,,,,,,,,,-41.2,-47.39
2018-01-02 01:00:00,,,,,,49.66,,,-40.27,-46.56
2018-01-03 01:00:00,,,,,,50.75,,,-41.01,-47.23
2018-01-04 01:00:00,,,,,,51.42,,,-41.44,-47.61
2018-01-05 01:00:00,,,,,,38.7,,,-30.08,-37.45
2018-01-06 01:00:00,,,,,,44.87,,,-35.35,-42.16
2018-01-07 01:00:00,,,8.86,-20.49,31.16,51.84,,,-41.26,-47.44
2018-01-08 01:00:00,,,5.89,-23.31,31.98,54.17,100.0,82.84,-43.2,-49.18
2018-01-09 01:00:00,,,-5.94,-35.58,37.41,63.36,100.0,100.0,-50.99,-56.15
2018-01-10 01:00:00,,,1.14,-31.53,38.53,57.56,68.62,89.54,-47.64,-53.15
2018-01-11 01:00:00,,,3.53,-31.72,41.03,57.26,47.05,71.89,-47.45,-52.98
2018-01-12 01:00:00,,,0.44,-36.54,45.12,61.01,74.4,63.36,-50.54,-55.75
2018-01-13 01:00:00,,,-6.69,-47.18,55.42,68.45,100.0,73.82,-56.87,-61.41
2018-01-14 01:00:00,,,-5.16,-51.82,65.26,70.6,100.0,91.47,-58.75,-63.1
2018-01-15 01:00:00,,,3.61,-48.95,67.96,64.76,56.23,85.41,-56.42,-61.01
2018-01-16 01:00:00,,,22.0,-38.18,65.48,52.61,0.0,52.08,-48.93,-54.31
2018-01-17 01:00:00,,,18.17,-38.5,63.09,54.7,11.63,22.62,-50.86,-56.04
2018-01-18 01:00:00,,,16.84,-37.48,60.57,55.7,17.19,9.61,-51.73,-56.81
2018-01-19 01:00:00,,,14.02,-37.31,58.1,57.57,40.82,23.21,-53.25,-58.18
2018-01-20 01:00:00,,,14.31,-34.58,54.4,57.62,100.0,52.67,-53.29,-58.21
2018-01-21 01:00:00,,,19.94,-30.4,53.11,54.01,0.0,46.94,-51.18,-56.32
2018-01-22 01:00:00,,,17.95,-30.28,51.4,55.4,38.53,46.18,-52.17,-57.21
2018-01-23 01:00:00,,,21.71,-26.58,49.5,52.86,0.0,12.84,-50.69,-55.88
2018-01-24 01:00:00,,,21.77,-24.99,47.52,52.83,0.0,12.84,-50.67,-55.87
2018-01-25 01:00:00,,,19.57,-19.63,39.21,52.73,0.0,-0.0,-50.61,-55.82
2018-01-26 01:00:00,,,18.03,-14.84,32.36,52.29,0.0,-0.0,-50.39,-55.61
2018-01-27 01:00:00,,,16.85,-12.1,28.28,52.29,0.0,0.0,-50.39,-55.61
2018-01-28 01:00:00,,,9.73,-14.43,24.74,57.45,100.0,33.33,-53.1,-58.04
2018-01-29 01:00:00,,,8.9,-15.12,24.78,58.39,100.0,66.67,-53.59,-58.48
2018-01-30 01:00:00,,,12.79,-10.88,23.44,53.93,26.95,75.65,-51.83,-56.91
2018-01-31 01:00:00,,,7.55,-13.69,21.91,58.31,98.69,75.21,-54.05,-58.89
2018-02-01 01:00:00,,,10.88,-10.67,21.53,54.71,17.4,47.68,-52.65,-57.64
2018-02-02 01:00:00,,,13.53,-7.07,19.96,50.65,0.0,38.7,-50.84,-56.02
2018-02-03 01:00:00,,,8.36,-6.02,14.21,51.8,15.08,10.83,-51.4,-56.52
2018-02-04 01:00:00,,,10.35,-1.57,11.42,47.75,0.0,5.03,-49.47,-54.79
2018-02-05 01:00:00,,,19.23,3.61,14.02,41.91,0.0,5.03,-45.92,-51.62
2018-02-06 01:00:00,-2.95,,14.26,-1.7,15.02,46.51,46.48,15.49,-48.29,-53.74
2018-02-07 01:00:00,0.9,,19.44,0.5,17.22,43.26,13.65,20.04,-46.22,-51.88
2018-02-08 01:00:00,-0.13,,17.96,-1.68,18.17,44.35,41.79,33.98,-46.77,-52.38
2018-02-09 01:00:00,-17.94,,-2.22,-20.93,21.16,61.78,100.0,51.82,-56.65,-61.22
2018-02-10 01:00:00,-13.28,,3.51,-17.1,22.11,56.84,73.32,71.71,-54.48,-59.27
2018-02-11 01:00:00,-16.31,,0.58,-21.24,24.33,59.9,89.87,87.73,-56.42,-61.01
2018-02-12 01:00:00,-24.52,,-6.05,-32.2,32.34,67.17,100.0,87.73,-61.21,-65.3
2018-02-13 01:00:00,-34.27,,-11.94,-46.91,49.55,74.89,100.0,96.62,-66.95,-70.43
2018-02-14 01:00:00,-29.07,,-2.24,-45.09,56.13,68.17,62.74,87.58,-64.93,-68.62
2018-02-15 01:00:00,-21.82,,8.59,-39.93,57.55,60.3,2.67,55.14,-61.78,-65.81
2018-02-16 01:00:00,-21.95,,9.19,-40.35,58.69,61.02,4.95,23.45,-62.28,-66.26
2018-02-17 01:00:00,-14.57,,19.47,-34.69,58.61,54.55,0.0,2.54,-59.0,-63.32
2018-02-18 01:00:00,-17.55,,15.48,-37.15,59.03,57.1,18.73,7.89,-60.78,-64.91
2018-02-19 01:00:00,-20.64,,11.69,-39.61,59.62,59.9,82.6,33.78,-62.65,-66.58
2018-02-20 01:00:00,-15.2,,19.31,-35.41,59.5,55.23,10.62,37.32,-60.38,-64.55
2018-02-21 01:00:00,-15.77,,18.5,-35.47,58.98,56.11,29.27,40.83,-60.94,-65.06
2018-02-22 01:00:00,-12.69,,22.5,-32.11,57.36,53.77,0.0,13.3,-59.76,-64.0
