timestamp,ema50_dist_etc_usd_1D,ema200_dist_etc_usd_1D,upper_bb_dist_etc_usd_1D,lower_bb_dist_etc_usd_1D,width_bb_etc_usd_1D,rsi_etc_usd_1D,stoch_rsi_fastk_etc_usd_1D,stoch_rsi_fastd_etc_usd_1D,kijun_dist_etc_usd_1D,tenkan_dist_etc_usd_1D
2017-12-19 01:00:00,,,,,,,,,-87.37,-89.04
2017-12-20 01:00:00,,,,,,,,,-87.89,-89.48
2017-12-21 01:00:00,,,,,,,,,-87.29,-88.97
2017-12-22 01:00:00,,,,,,,,,-82.56,-84.86
2017-12-23 01:00:00,,,,,,,,,-83.34,-85.54
2017-12-24 01:00:00,,,,,,,,,-82.77,-85.04
2017-12-25 01:00:00,,,,,,,,,-83.4,-85.59
2017-12-26 01:00:00,,,,,,,,,-84.22,-86.3
2017-12-27 01:00:00,,,,,,,,,-83.54,-85.71
2017-12-28 01:00:00,,,,,,,,,-82.46,-84.77
2017-12-29 01:00:00,,,,,,,,,-82.63,-84.92
2017-12-30 01:00:00,,,,,,,,,-80.03,-82.67
2017-12-31 01:00:00,,,,,,,,,-81.76,-84.16
2018-01-01 01:00:00,,,,,,,,,-83.82,-85.95
2018-01-02 01:00:00,,,,,,41.53,,,-85.14,-87.1
2018-01-03 01:00:00,,,,,,43.87,,,-85.72,-87.6
2018-01-04 01:00:00,,,,,,44.91,,,-85.96,-87.81
2018-01-05 01:00:00,,,,,,41.19,,,-84.81,-86.81
2018-01-06 01:00:00,,,,,,46.53,,,-86.08,-87.92
2018-01-07 01:00:00,,,10.37,-36.52,53.94,49.07,,,-86.65,-88.41
2018-01-08 01:00:00,,,14.02,-32.55,51.33,46.31,65.03,88.34,-85.98,-87.83
2018-01-09 01:00:00,,,1.67,-38.61,49.4,52.6,100.0,88.34,-87.37,-89.04
2018-01-10 01:00:00,,,4.17,-36.52,48.54,50.74,70.49,78.51,-87.0,-88.71
2018-01-11 01:00:00,,,17.29,-27.59,47.32,44.53,0.0,56.83,-85.42,-87.34
2018-01-12 01:00:00,,,7.79,-34.13,48.28,50.23,70.6,47.03,-86.81,-88.55
2018-01-13 01:00:00,,,-4.03,-45.38,54.93,58.84,100.0,56.87,-88.83,-90.3
2018-01-14 01:00:00,,,-0.34,-46.2,59.76,58.97,100.0,90.2,-88.86,-90.33
2018-01-15 01:00:00,,,8.27,-42.62,61.44,54.72,70.53,90.18,-88.16,-89.72
2018-01-16 01:00:00,,,56.25,-17.81,62.12,39.74,0.0,56.84,-82.93,-85.18
2018-01-17 01:00:00,,,49.22,-20.3,60.73,41.48,9.08,26.54,-83.66,-85.81
2018-01-18 01:00:00,,,46.18,-20.61,59.22,42.25,13.08,7.39,-83.95,-86.07
2018-01-19 01:00:00,,,34.13,-21.79,52.67,45.48,38.36,20.18,-85.07,-87.04
2018-01-20 01:00:00,,,20.85,-25.7,47.7,49.92,100.0,50.48,-86.46,-88.25
2018-01-21 01:00:00,,,39.06,-13.81,46.94,44.39,34.5,57.62,-84.4,-86.46
2018-01-22 01:00:00,,,45.15,-11.55,48.54,43.06,10.54,48.35,-83.76,-85.9
2018-01-23 01:00:00,,,50.48,-10.81,51.15,41.99,0.0,15.01,-83.21,-85.43
2018-01-24 01:00:00,,,42.81,-16.61,52.54,44.36,29.81,13.45,-84.06,-86.16
2018-01-25 01:00:00,,,46.17,-15.69,53.67,43.54,64.38,31.4,-83.71,-85.86
2018-01-26 01:00:00,,,47.67,-16.47,55.48,43.11,47.43,47.21,-83.53,-85.7
2018-01-27 01:00:00,,,42.32,-20.26,56.36,44.79,100.0,70.6,-84.04,-86.14
2018-01-28 01:00:00,,,29.69,-27.39,56.43,49.7,100.0,82.48,-85.43,-87.35
2018-01-29 01:00:00,,,33.03,-24.82,55.57,47.73,70.1,90.03,-84.86,-86.86
2018-01-30 01:00:00,,,51.82,-15.57,57.05,41.75,0.0,56.7,-82.58,-84.87
2018-01-31 01:00:00,,,42.54,-21.56,58.02,44.86,39.14,36.41,-83.61,-85.77
2018-02-01 01:00:00,,,63.13,-12.86,60.72,39.77,0.0,13.05,-81.12,-83.61
2018-02-02 01:00:00,,,68.84,-6.47,57.41,37.5,0.0,13.05,-79.58,-82.27
2018-02-03 01:00:00,,,50.72,-8.08,48.47,39.73,30.26,10.09,-80.53,-83.1
2018-02-04 01:00:00,,,67.74,6.52,44.65,35.53,0.0,10.09,-77.26,-80.26
2018-02-05 01:00:00,,,118.51,19.12,58.87,31.22,0.0,10.09,-71.45,-75.21
2018-02-06 01:00:00,59.23,,91.03,-3.77,66.01,36.26,59.18,19.73,-75.27,-78.53
2018-02-07 01:00:00,65.33,,102.9,-6.08,73.43,35.18,46.48,35.22,-73.91,-77.35
2018-02-08 01:00:00,36.3,,66.75,-23.96,74.72,41.94,100.0,68.55,-78.26,-81.13
2018-02-09 01:00:00,14.65,,36.07,-34.35,69.81,48.31,100.0,82.16,-81.62,-84.04
2018-02-10 01:00:00,21.63,,43.28,-30.33,69.14,46.05,82.8,94.27,-80.36,-82.95
2018-02-11 01:00:00,22.36,,43.62,-30.04,68.97,45.6,79.39,87.4,-80.09,-82.72
2018-02-12 01:00:00,-1.41,,16.23,-43.79,69.61,54.17,100.0,87.4,-83.97,-86.08
2018-02-13 01:00:00,-11.89,,5.21,-50.89,72.71,58.67,100.0,93.13,-85.75,-87.63
2018-02-14 01:00:00,-15.06,,3.56,-54.24,77.42,60.36,100.0,100.0,-86.36,-88.16
2018-02-15 01:00:00,-12.11,,8.79,-53.68,80.55,58.67,88.54,96.18,-85.97,-87.82
2018-02-16 01:00:00,-13.95,,8.11,-55.8,83.92,59.86,91.79,93.44,-86.35,-88.15
2018-02-17 01:00:00,-13.48,,9.15,-56.34,85.71,59.9,72.47,84.27,-86.37,-88.16
2018-02-18 01:00:00,-12.02,,11.78,-56.36,87.68,59.1,25.27,63.18,-86.21,-88.03
2018-02-19 01:00:00,-20.59,,4.09,-62.36,93.78,64.51,100.0,65.92,-87.69,-89.31
2018-02-20 01:00:00,-16.08,,11.93,-61.21,97.05,60.76,30.79,52.02,-87.09,-88.79
2018-02-21 01:00:00,-10.31,,21.21,-58.13,97.3,56.41,0.0,43.6,-86.27,-88.08
2018-02-22 01:00:00,-1.41,,34.07,-52.3,95.03,50.89,0.0,10.26,-84.91,-86.9
2018-02-23 01:00:00,-13.96,,18.55,-57.71,94.82,57.82,50.87,16.96,-86.92,-88.65
2018-02-24 01:00:00,-14.62,,18.53,-55.69,91.16,58.51,77.22,42.7,-87.11,-88.81
2018-02-25 01:00:00,-10.32,,22.88,-47.37,80.05,55.56,61.21,63.1,-86.53,-88.3
2018-02-26 01:00:00,-10.23,,21.59,-42.15,71.04,55.75,63.77,67.4,-86.58,-88.35
2018-02-27 01:00:00,-10.79,,17.79,-35.43,58.37,56.38,27.95,50.98,-86.73,-88.48
2018-02-28 01:00:00,-4.4,,23.58,-25.07,49.02,51.72,0.0,30.57,-85.8,-87.67
2018-03-01 01:00:00,-4.75,,21.85,-22.15,44.07,52.07,7.52,11.82,-85.88,-87.74
2018-03-02 01:00:00,4.6,,31.18,-9.38,36.58,46.27,0.0,2.51,-84.47,-86.52
2018-03-03 01:00:00,10.01,,34.46,1.45,27.99,43.53,0.0,2.51,-83.6,-85.77
2018-03-04 01:00:00,7.16,,31.31,-0.89,27.95,45.03,17.64,5.88,-83.99,-86.1
2018-03-05 01:00:00,18.56,,48.78,5.28,34.24,40.01,0.0,5.88,-82.17,-84.52
2018-03-06 01:00:00,25.75,,61.79,5.96,41.71,37.43,0.0,5.88,-80.93,-83.44
2018-03-07 01:00:00,41.01,,88.06,10.31,52.12,33.47,0.0,-0.0,-78.36,-81.21
2018-03-08 01:00:00,37.17,,86.95,0.91,59.77,34.4,8.05,2.68,-78.72,-81.52
2018-03-09 01:00:00,36.9,,89.57,-4.87,66.34,34.12,9.98,6.01,-78.53,-81.36
2018-03-10 01:00:00,44.06,,102.96,-6.23,73.59,32.2,0.0,6.01,-77.12,-80.14
2018-03-11 01:00:00,37.67,,92.62,-13.84,76.38,34.32,96.47,35.48,-77.89,-80.81
2018-03-12 01:00:00,43.03,,99.86,-14.68,80.33,32.71,23.29,39.92,-76.75,-79.81
2018-03-13 01:00:00,44.8,,103.08,-18.07,85.02,31.95,0.0,39.92,-76.16,-79.31
2018-03-14 01:00:00,65.87,,137.22,-13.84,93.43,28.01,0.0,7.76,-72.25,-75.91
2018-03-15 01:00:00,52.22,,115.68,-24.51,96.29,32.11,65.03,21.68,-74.18,-77.58
2018-03-16 01:00:00,56.03,,117.25,-25.26,97.61,31.06,64.76,43.26,-73.15,-76.69
2018-03-17 01:00:00,68.06,,131.29,-23.4,100.48,28.84,20.32,50.04,-70.6,-74.47
2018-03-18 01:00:00,59.3,,113.98,-28.78,100.11,31.03,73.59,52.89,-71.71,-75.44
2018-03-19 01:00:00,35.05,,73.17,-37.09,93.41,39.85,100.0,64.63,-75.76,-78.96
2018-03-20 01:00:00,30.2,,60.08,-36.94,86.96,41.4,100.0,91.2,-76.41,-79.52
2018-03-21 01:00:00,32.14,,53.39,-31.8,76.89,40.38,91.88,97.29,-75.82,-79.01
2018-03-22 01:00:00,30.87,,45.46,-29.46,69.37,40.38,90.2,94.03,-75.82,-79.01
2018-03-23 01:00:00,32.28,,41.38,-25.94,62.5,39.46,0.0,60.69,-75.32,-78.57
2018-03-24 01:00:00,36.61,,36.98,-18.14,50.37,37.59,0.0,30.07,-74.23,-77.63
2018-03-25 01:00:00,37.63,,32.27,-14.05,42.46,36.81,0.0,0.0,-73.75,-77.21
2018-03-26 02:00:00,49.9,,40.47,-4.78,38.39,33.08,0.0,0.0,-71.02,-74.84
2018-03-27 02:00:00,52.35,,43.35,-4.24,39.81,32.07,0.0,0.0,-70.13,-74.07
2018-03-28 02:00:00,48.2,,38.62,-6.78,39.16,33.11,18.77,6.26,-70.56,-74.44
2018-03-29 02:00:00,59.31,,48.99,-0.93,40.24,30.21,0.0,6.26,-67.87,-72.11
2018-03-30 02:00:00,60.74,,51.8,-2.04,43.11,29.48,0.0,6.26,-67.09,-71.43
