timestamp,ema50_dist_etc_usd_6h,ema200_dist_etc_usd_6h,upper_bb_dist_etc_usd_6h,lower_bb_dist_etc_usd_6h,width_bb_etc_usd_6h,rsi_etc_usd_6h,stoch_rsi_fastk_etc_usd_6h,stoch_rsi_fastd_etc_usd_6h,kijun_dist_etc_usd_6h,tenkan_dist_etc_usd_6h
2018-06-06 20:00:00,,,,,,,,,-73.4,-73.2
2018-06-07 02:00:00,,,,,,,,,-73.64,-73.44
2018-06-07 08:00:00,,,,,,,,,-73.51,-73.31
2018-06-07 14:00:00,,,,,,,,,-73.54,-73.34
2018-06-07 20:00:00,,,,,,,,,-73.51,-73.31
2018-06-08 02:00:00,,,,,,,,,-73.4,-73.2
2018-06-08 08:00:00,,,,,,,,,-73.8,-73.6
2018-06-08 14:00:00,,,,,,,,,-73.86,-73.66
2018-06-08 20:00:00,,,,,,,,,-73.74,-73.54
2018-06-09 02:00:00,,,,,,,,,-73.82,-73.62
2018-06-09 08:00:00,,,,,,,,,-73.65,-73.45
2018-06-09 14:00:00,,,,,,,,,-73.32,-73.12
2018-06-09 20:00:00,,,,,,,,,-73.1,-72.89
2018-06-10 02:00:00,,,,,,,,,-72.05,-71.83
2018-06-10 08:00:00,,,,,,27.18,,,-71.94,-71.73
2018-06-10 14:00:00,,,,,,18.36,,,-70.35,-70.13
2018-06-10 20:00:00,,,,,,12.31,,,-67.79,-67.55
2018-06-11 02:00:00,,,,,,19.26,,,-68.45,-68.21
2018-06-11 08:00:00,,,,,,19.45,,,-68.47,-68.23
2018-06-11 14:00:00,,,34.14,0.1,29.07,17.29,,,-67.56,-67.32
2018-06-11 20:00:00,,,29.74,-4.87,30.78,27.37,100.0,72.57,-68.61,-68.37
2018-06-12 02:00:00,,,4.1,-24.59,31.97,64.42,100.0,89.91,-75.02,-74.83
2018-06-12 08:00:00,,,9.29,-20.95,32.11,57.28,84.84,94.95,-73.8,-73.6
2018-06-12 14:00:00,,,11.34,-19.38,32.01,54.68,79.33,88.06,-73.29,-73.08
2018-06-12 20:00:00,,,13.95,-17.29,31.77,51.41,64.88,76.35,-72.58,-72.37
2018-06-13 02:00:00,,,15.32,-16.09,31.53,49.57,0.0,48.07,-72.16,-71.95
2018-06-13 08:00:00,,,23.38,-10.33,31.65,42.08,0.0,21.63,-70.03,-69.8
2018-06-13 14:00:00,,,19.58,-12.69,31.19,44.87,22.13,7.38,-70.73,-70.5
2018-06-13 20:00:00,,,18.54,-12.95,30.64,44.97,30.94,17.69,-70.75,-70.53
2018-06-14 02:00:00,,,18.81,-12.11,29.92,43.75,22.32,25.13,-70.41,-70.18
2018-06-14 08:00:00,,,17.28,-12.5,29.08,44.24,74.75,42.67,-70.51,-70.29
2018-06-14 14:00:00,,,14.32,-14.0,28.27,46.77,100.0,65.69,-71.03,-70.81
2018-06-14 20:00:00,,,12.84,-14.46,27.52,47.67,100.0,91.58,-71.21,-70.99
2018-06-15 02:00:00,,,14.59,-13.0,27.37,45.22,37.31,79.1,-70.67,-70.45
2018-06-15 08:00:00,,,13.82,-13.45,27.22,45.87,47.48,61.6,-70.79,-70.56
2018-06-15 14:00:00,,,13.67,-13.5,27.15,46.18,39.23,41.34,-70.84,-70.62
2018-06-15 20:00:00,,,13.6,-12.18,25.59,45.93,29.11,38.61,-70.79,-70.57
2018-06-16 02:00:00,,,9.53,-14.35,24.47,52.47,100.0,56.11,-71.86,-71.64
2018-06-16 08:00:00,,,8.89,-13.71,23.16,53.43,100.0,76.37,-72.02,-71.8
2018-06-16 14:00:00,,,7.83,-12.24,20.52,54.34,100.0,100.0,-72.16,-71.95
2018-06-16 20:00:00,,,7.98,-10.39,18.59,53.34,88.18,96.06,-72.03,-71.82
2018-06-17 02:00:00,,,4.9,-9.04,14.23,53.9,76.53,88.24,-72.11,-71.9
2018-06-17 08:00:00,,,3.92,-7.81,11.96,52.74,0.0,54.9,-71.98,-71.76
2018-06-17 14:00:00,,,3.88,-6.19,10.19,50.12,0.0,25.51,-71.66,-71.45
2018-06-17 20:00:00,,,3.6,-5.66,9.35,49.38,0.0,-0.0,-71.58,-71.36
2018-06-18 02:00:00,,,3.34,-5.53,8.96,49.28,0.0,-0.0,-71.56,-71.35
2018-06-18 08:00:00,,,3.93,-4.19,8.13,47.35,0.0,-0.0,-71.35,-71.13
2018-06-18 14:00:00,,,-2.37,-12.3,10.71,64.13,100.0,33.33,-73.56,-73.35
2018-06-18 20:00:00,,,-0.34,-11.56,11.94,61.36,83.46,61.15,-73.29,-73.08
2018-06-19 02:00:00,-5.02,,0.1,-11.81,12.65,62.11,87.94,90.47,-73.4,-73.2
2018-06-19 08:00:00,-7.52,,-1.4,-14.64,14.4,66.97,100.0,90.47,-74.19,-73.99
2018-06-19 14:00:00,-5.24,,1.59,-12.61,15.02,60.75,0.0,62.65,-73.61,-73.41
2018-06-19 20:00:00,-6.69,,0.78,-14.25,16.11,63.76,48.42,49.47,-74.09,-73.89
2018-06-20 02:00:00,-2.89,,4.9,-10.19,15.5,54.43,0.0,16.14,-73.07,-72.86
2018-06-20 08:00:00,-5.21,,2.63,-11.97,15.31,58.82,35.07,27.83,-73.77,-73.57
2018-06-20 14:00:00,-10.55,,-1.86,-17.53,17.35,67.28,100.0,45.02,-75.37,-75.18
2018-06-20 20:00:00,-14.53,,-4.05,-22.58,21.38,72.64,100.0,78.36,-76.63,-76.45
