timestamp,ema50_dist_eth_btc_1D,ema200_dist_eth_btc_1D,upper_bb_dist_eth_btc_1D,lower_bb_dist_eth_btc_1D,width_bb_eth_btc_1D,rsi_eth_btc_1D,stoch_rsi_fastk_eth_btc_1D,stoch_rsi_fastd_eth_btc_1D,kijun_dist_eth_btc_1D,tenkan_dist_eth_btc_1D
2017-12-19 01:00:00,,,,,,,,,-26.89,-30.75
2017-12-20 01:00:00,,,,,,,,,-30.01,-33.7
2017-12-21 01:00:00,,,,,,,,,-33.27,-36.79
2017-12-22 01:00:00,,,,,,,,,-29.04,-32.78
2017-12-23 01:00:00,,,,,,,,,-29.82,-33.52
2017-12-24 01:00:00,,,,,,,,,-30.76,-34.41
2017-12-25 01:00:00,,,,,,,,,-35.22,-38.64
2017-12-26 01:00:00,,,,,,,,,-29.33,-33.06
2017-12-27 01:00:00,,,,,,,,,-29.33,-33.05
2017-12-28 01:00:00,,,,,,,,,-32.23,-35.81
2017-12-29 01:00:00,,,,,,,,,-33.78,-37.27
2017-12-30 01:00:00,,,,,,,,,-38.72,-41.95
2017-12-31 01:00:00,,,,,,,,,-36.95,-40.28
2018-01-01 01:00:00,,,,,,,,,-40.07,-43.22
2018-01-02 01:00:00,,,,,,70.16,,,-42.01,-45.07
2018-01-03 01:00:00,,,,,,74.2,,,-46.03,-48.88
2018-01-04 01:00:00,,,,,,73.3,,,-45.72,-48.58
2018-01-05 01:00:00,,,,,,60.99,,,-40.29,-43.44
2018-01-06 01:00:00,,,,,,63.59,,,-42.56,-45.59
2018-01-07 01:00:00,,,-5.17,-40.29,45.46,72.78,,,-51.26,-53.83
2018-01-08 01:00:00,,,-7.66,-47.5,55.02,76.81,100.0,69.66,-55.56,-57.9
2018-01-09 01:00:00,,,-12.82,-59.75,73.66,82.48,100.0,96.42,-62.32,-64.3
2018-01-10 01:00:00,,,-1.56,-58.29,80.97,74.21,56.21,85.4,-59.73,-61.85
2018-01-11 01:00:00,,,0.81,-59.6,85.57,75.18,24.73,60.32,-60.7,-62.77
2018-01-12 01:00:00,,,0.03,-62.37,90.65,77.52,39.95,40.3,-63.01,-64.96
2018-01-13 01:00:00,,,-0.87,-65.34,96.37,79.91,68.91,44.53,-65.39,-67.22
2018-01-14 01:00:00,,,2.06,-66.5,101.14,80.7,100.0,69.62,-66.17,-67.95
2018-01-15 01:00:00,,,11.34,-62.6,99.42,72.82,0.0,56.3,-64.11,-66.0
2018-01-16 01:00:00,,,16.14,-58.93,95.49,69.92,0.0,33.33,-63.22,-65.16
2018-01-17 01:00:00,,,18.5,-55.65,91.07,69.09,0.0,0.0,-62.96,-64.92
2018-01-18 01:00:00,,,20.3,-52.01,85.93,68.26,0.0,0.0,-62.72,-64.68
2018-01-19 01:00:00,,,21.87,-48.7,81.5,67.49,0.0,0.0,-62.5,-64.47
2018-01-20 01:00:00,,,21.94,-44.87,75.46,67.55,2.62,0.87,-62.53,-64.51
2018-01-21 01:00:00,,,20.9,-41.65,69.8,68.2,44.53,15.72,-62.88,-64.83
2018-01-22 01:00:00,,,19.27,-38.65,64.13,69.15,100.0,49.05,-63.35,-65.29
2018-01-23 01:00:00,,,20.74,-34.51,59.34,66.89,0.0,48.18,-62.85,-64.81
2018-01-24 01:00:00,,,17.1,-32.47,53.69,69.04,95.28,65.09,-63.83,-65.74
2018-01-25 01:00:00,,,13.54,-26.64,43.0,69.8,100.0,65.09,-64.17,-66.06
2018-01-26 01:00:00,,,9.1,-19.46,30.11,70.28,100.0,98.43,-64.37,-66.25
2018-01-27 01:00:00,,,4.16,-16.54,22.07,72.46,100.0,100.0,-65.29,-67.12
2018-01-28 01:00:00,,,-3.09,-20.6,19.87,77.96,100.0,100.0,-67.9,-69.59
2018-01-29 01:00:00,,,-0.58,-20.5,22.27,76.49,82.05,94.02,-67.68,-69.39
2018-01-30 01:00:00,,,-0.62,-20.96,22.81,77.49,93.91,91.99,-68.15,-69.83
2018-01-31 01:00:00,,,-1.66,-23.27,24.68,79.53,100.0,91.99,-69.13,-70.76
2018-02-01 01:00:00,,,-2.16,-26.61,28.55,81.53,100.0,97.97,-70.15,-71.73
2018-02-02 01:00:00,,,7.2,-20.07,29.15,64.62,0.0,66.67,-67.48,-69.2
2018-02-03 01:00:00,,,6.23,-21.42,29.92,65.94,7.83,35.94,-67.98,-69.67
2018-02-04 01:00:00,,,11.44,-17.45,29.79,59.1,0.0,2.61,-66.51,-68.27
2018-02-05 01:00:00,,,11.74,-16.75,29.21,59.01,0.0,2.61,-66.49,-68.25
2018-02-06 01:00:00,-22.49,,10.77,-16.82,28.45,60.13,16.18,5.39,-66.85,-68.59
2018-02-07 01:00:00,-19.71,,13.53,-13.74,27.29,56.26,0.0,5.39,-66.0,-67.79
2018-02-08 01:00:00,-19.65,,12.31,-13.37,25.81,57.36,28.27,14.81,-66.32,-68.09
2018-02-09 01:00:00,-19.45,,11.26,-12.7,24.13,58.24,51.02,26.43,-66.56,-68.32
2018-02-10 01:00:00,-17.63,,12.44,-10.31,22.51,55.95,0.0,26.43,-66.11,-67.9
2018-02-11 01:00:00,-17.48,,11.39,-9.81,21.04,56.87,40.03,30.35,-66.34,-68.11
2018-02-12 01:00:00,-14.35,,14.22,-5.78,19.19,51.75,0.0,13.34,-65.3,-67.13
2018-02-13 01:00:00,-14.78,,12.49,-6.03,17.94,53.53,27.34,22.46,-65.72,-67.53
2018-02-14 01:00:00,-13.11,,13.73,-4.22,17.13,51.3,0.0,9.11,-65.26,-67.09
2018-02-15 01:00:00,-8.21,,20.05,0.2,18.02,43.92,0.0,9.11,-63.44,-65.36
2018-02-16 01:00:00,-7.85,,20.6,-0.79,19.46,43.86,0.0,0.0,-63.42,-65.35
2018-02-17 01:00:00,-2.96,,27.54,1.65,22.59,37.94,0.0,0.0,-61.53,-63.56
2018-02-18 01:00:00,-2.72,,28.07,-0.49,25.1,37.8,0.0,0.0,-61.48,-63.51
2018-02-19 01:00:00,1.32,,33.79,0.77,28.15,33.7,0.0,0.0,-59.86,-61.97
2018-02-20 01:00:00,7.86,,42.91,3.64,31.86,28.66,0.0,0.0,-57.14,-59.4
2018-02-21 01:00:00,5.87,,38.37,0.06,32.13,31.35,28.98,9.66,-57.83,-60.06
2018-02-22 01:00:00,3.74,,35.18,-3.93,33.82,34.47,63.64,30.87,-58.62,-60.8
2018-02-23 01:00:00,0.65,,29.61,-7.73,33.66,39.32,100.0,64.21,-59.84,-61.96
2018-02-24 01:00:00,-1.52,,25.76,-10.53,33.73,42.83,100.0,87.88,-60.74,-62.81
2018-02-25 01:00:00,-3.42,,22.02,-12.73,33.21,46.03,100.0,100.0,-61.55,-63.58
2018-02-26 01:00:00,0.91,,26.06,-9.43,32.76,40.88,55.47,85.16,-59.81,-61.93
2018-02-27 01:00:00,2.9,,27.6,-8.5,32.96,38.77,0.0,51.82,-58.97,-61.13
2018-02-28 01:00:00,2.46,,25.62,-9.38,32.37,39.3,7.3,20.92,-59.1,-61.26
2018-03-01 01:00:00,5.93,,28.23,-6.83,31.68,35.74,0.0,2.43,-57.62,-59.86
2018-03-02 01:00:00,8.59,,30.08,-5.24,31.42,33.26,0.0,2.43,-56.42,-58.71
2018-03-03 01:00:00,12.15,,32.68,-2.89,30.96,30.39,0.0,0.0,-54.79,-57.17
2018-03-04 01:00:00,10.88,,29.78,-4.61,30.55,31.65,14.12,4.71,-55.12,-57.49
2018-03-05 01:00:00,12.49,,29.49,-3.36,29.05,30.15,0.0,4.71,-54.27,-56.68
2018-03-06 01:00:00,8.99,,22.71,-5.68,26.16,35.12,100.0,38.04,-55.54,-57.88
2018-03-07 01:00:00,9.03,,21.22,-5.58,24.85,34.76,92.76,64.25,-55.37,-57.72
2018-03-08 01:00:00,9.64,,19.99,-4.68,22.91,33.86,74.66,89.14,-54.96,-57.34
2018-03-09 01:00:00,4.61,,13.4,-8.78,21.68,41.99,100.0,89.14,-56.95,-59.22
2018-03-10 01:00:00,5.56,,13.22,-7.59,20.24,40.63,83.26,85.97,-56.46,-58.76
2018-03-11 01:00:00,7.82,,15.32,-5.79,20.14,37.85,49.03,77.43,-55.4,-57.75
2018-03-12 01:00:00,6.57,,14.24,-6.93,20.42,39.53,69.7,67.33,-55.81,-58.14
2018-03-13 01:00:00,7.79,,15.78,-6.12,20.89,37.81,0.0,39.58,-55.17,-57.54
2018-03-14 01:00:00,8.69,,16.84,-5.67,21.32,36.44,0.0,23.23,-54.65,-57.04
2018-03-15 01:00:00,9.24,,16.93,-5.37,21.08,35.45,0.0,0.0,-54.26,-56.67
2018-03-16 01:00:00,10.88,,17.54,-3.81,19.98,33.29,0.0,0.0,-53.39,-55.85
2018-03-17 01:00:00,14.38,,19.26,-0.23,17.79,29.67,0.0,0.0,-51.67,-54.22
2018-03-18 01:00:00,20.95,,26.59,3.87,19.72,24.85,0.0,0.0,-48.53,-51.25
2018-03-19 01:00:00,21.78,,28.18,2.82,21.96,23.95,0.0,0.0,-47.8,-50.56
2018-03-20 01:00:00,24.89,,32.17,3.48,24.35,21.96,0.0,0.0,-46.03,-48.88
2018-03-21 01:00:00,23.12,,31.08,0.35,26.56,23.31,17.57,5.86,-46.39,-49.22
2018-03-22 01:00:00,24.26,,33.48,-0.57,29.24,22.25,10.18,9.25,-45.47,-48.34
2018-03-23 01:00:00,25.11,,35.98,-1.78,32.25,21.35,0.0,9.25,-44.64,-47.56
2018-03-24 01:00:00,24.28,,36.15,-4.02,34.61,21.27,0.0,3.39,-44.57,-47.49
2018-03-25 01:00:00,21.52,,33.92,-7.23,36.31,24.84,100.0,33.33,-45.41,-48.29
2018-03-26 02:00:00,24.92,,38.22,-6.02,38.1,22.32,29.22,43.07,-43.43,-46.41
2018-03-27 02:00:00,28.54,,42.99,-5.06,40.39,20.08,0.0,43.07,-41.26,-44.36
2018-03-28 02:00:00,30.47,,45.97,-5.53,42.84,18.81,0.0,9.74,-39.81,-42.98
2018-03-29 02:00:00,34.08,,49.68,-4.54,44.24,17.06,0.0,0.0,-37.5,-40.8
2018-03-30 02:00:00,25.2,,38.31,-11.03,43.41,28.62,100.0,33.33,-41.16,-44.26
2018-03-31 02:00:00,25.39,,37.27,-11.09,42.76,27.93,93.99,64.66,-40.58,-43.72
2018-04-01 02:00:00,27.24,,37.39,-9.62,41.28,26.31,79.96,91.32,-39.18,-42.39
