timestamp,ema50_dist_eth_btc_6h,ema200_dist_eth_btc_6h,upper_bb_dist_eth_btc_6h,lower_bb_dist_eth_btc_6h,width_bb_eth_btc_6h,rsi_eth_btc_6h,stoch_rsi_fastk_eth_btc_6h,stoch_rsi_fastd_eth_btc_6h,kijun_dist_eth_btc_6h,tenkan_dist_eth_btc_6h
2018-10-24 20:00:00,,,,,,,,,2.33,3.43
2018-10-25 02:00:00,,,,,,,,,2.7,3.8
2018-10-25 08:00:00,,,,,,,,,2.5,3.6
2018-10-25 14:00:00,,,,,,,,,2.52,3.62
2018-10-25 20:00:00,,,,,,,,,2.5,3.6
2018-10-26 02:00:00,,,,,,,,,2.46,3.56
2018-10-26 08:00:00,,,,,,,,,1.89,2.98
2018-10-26 14:00:00,,,,,,,,,2.41,3.51
2018-10-26 20:00:00,,,,,,,,,2.09,3.19
2018-10-27 02:00:00,,,,,,,,,2.01,3.1
2018-10-27 08:00:00,,,,,,,,,2.07,3.16
2018-10-27 14:00:00,,,,,,,,,1.89,2.98
2018-10-27 20:00:00,,,,,,,,,1.83,2.92
2018-10-28 02:00:00,,,,,,,,,1.82,2.92
2018-10-28 07:00:00,,,,,,61.31,,,1.77,2.86
2018-10-28 13:00:00,,,,,,68.24,,,1.27,2.36
2018-10-28 19:00:00,,,,,,68.82,,,1.22,2.31
2018-10-29 01:00:00,,,,,,63.32,,,1.43,2.52
2018-10-29 07:00:00,,,,,,67.99,,,1.08,2.16
2018-10-29 13:00:00,,,2.14,0.06,2.06,38.06,,,3.17,4.27
2018-10-29 19:00:00,,,2.13,-0.13,2.24,38.96,2.93,30.65,3.1,4.21
2018-10-30 01:00:00,,,2.12,-0.23,2.33,39.48,4.75,2.56,3.06,4.17
2018-10-30 07:00:00,,,2.08,-0.38,2.43,40.53,8.25,5.31,2.99,4.1
2018-10-30 13:00:00,,,2.12,-0.43,2.53,40.31,91.32,34.77,3.01,4.12
2018-10-30 19:00:00,,,1.8,-0.76,2.55,45.39,100.0,66.52,2.69,3.79
2018-10-31 01:00:00,,,1.99,-0.64,2.61,43.21,63.08,84.8,2.87,3.97
2018-10-31 07:00:00,,,2.0,-0.69,2.67,42.8,48.96,70.68,2.9,4.0
2018-10-31 13:00:00,,,1.96,-0.77,2.72,43.49,62.61,58.22,2.86,3.96
2018-10-31 19:00:00,,,1.69,-1.05,2.73,47.91,100.0,70.52,2.61,3.7
2018-11-01 01:00:00,,,1.7,-1.05,2.74,47.3,88.01,83.54,2.64,3.74
2018-11-01 07:00:00,,,1.69,-1.06,2.74,47.03,82.73,90.25,2.66,3.76
2018-11-01 13:00:00,,,1.71,-1.03,2.73,45.9,54.49,75.08,2.73,3.83
2018-11-01 19:00:00,,,1.55,-1.15,2.69,47.98,100.0,79.07,2.62,3.72
2018-11-02 01:00:00,,,1.37,-1.27,2.64,50.31,100.0,84.83,2.51,3.61
2018-11-02 07:00:00,,,1.26,-1.31,2.57,51.25,100.0,100.0,2.46,3.56
2018-11-02 13:00:00,,,0.5,-1.89,2.41,62.32,100.0,100.0,1.81,2.9
2018-11-02 19:00:00,,,0.3,-1.92,2.23,63.59,100.0,100.0,1.71,2.8
2018-11-03 01:00:00,,,0.45,-1.6,2.06,57.58,54.7,84.9,1.98,3.07
2018-11-03 07:00:00,,,0.18,-1.47,1.66,57.94,54.18,69.63,1.96,3.05
2018-11-03 13:00:00,,,0.32,-1.32,1.65,55.96,0.0,36.3,2.05,3.14
2018-11-03 19:00:00,,,0.39,-1.24,1.63,55.35,0.0,18.06,2.07,3.17
2018-11-04 01:00:00,,,0.47,-1.11,1.58,53.79,0.0,-0.0,2.14,3.23
2018-11-04 07:00:00,,,-0.04,-1.74,1.71,64.69,100.0,33.33,1.48,2.57
2018-11-04 13:00:00,,,-0.88,-3.4,2.58,77.41,100.0,66.67,0.05,1.12
2018-11-04 19:00:00,,,-1.83,-6.27,4.63,86.05,100.0,100.0,-2.15,-1.1
2018-11-05 01:00:00,,,-0.15,-5.22,5.21,70.1,50.56,83.52,-0.95,0.12
2018-11-05 07:00:00,,,0.02,-5.56,5.74,71.44,31.59,60.72,-1.23,-0.17
2018-11-05 13:00:00,,,0.71,-5.14,5.98,67.16,0.0,27.38,-0.85,0.21
2018-11-05 19:00:00,,,0.26,-6.03,6.48,71.56,23.27,18.29,-1.75,-0.7
2018-11-06 01:00:00,-3.32,,0.76,-5.83,6.76,69.92,62.69,28.65,-1.61,-0.55
2018-11-06 07:00:00,-4.31,,0.09,-7.0,7.34,75.04,100.0,61.98,-2.8,-1.76
2018-11-06 13:00:00,-5.17,,-0.3,-8.12,8.16,78.68,100.0,87.56,-3.88,-2.85
