timestamp,ema50_dist_eth_usd_1D,ema200_dist_eth_usd_1D,upper_bb_dist_eth_usd_1D,lower_bb_dist_eth_usd_1D,width_bb_eth_usd_1D,rsi_eth_usd_1D,stoch_rsi_fastk_eth_usd_1D,stoch_rsi_fastd_eth_usd_1D,kijun_dist_eth_usd_1D,tenkan_dist_eth_usd_1D
2017-12-19 01:00:00,,,,,,,,,-84.36,-85.58
2017-12-20 01:00:00,,,,,,,,,-84.26,-85.49
2017-12-21 01:00:00,,,,,,,,,-84.11,-85.35
2017-12-22 01:00:00,,,,,,,,,-80.09,-81.64
2017-12-23 01:00:00,,,,,,,,,-81.4,-82.85
2017-12-24 01:00:00,,,,,,,,,-81.04,-82.52
2017-12-25 01:00:00,,,,,,,,,-82.38,-83.75
2017-12-26 01:00:00,,,,,,,,,-83.32,-84.62
2017-12-27 01:00:00,,,,,,,,,-83.02,-84.34
2017-12-28 01:00:00,,,,,,,,,-82.42,-83.79
2017-12-29 01:00:00,,,,,,,,,-82.9,-84.23
2017-12-30 01:00:00,,,,,,,,,-81.69,-83.12
2017-12-31 01:00:00,,,,,,,,,-83.02,-84.35
2018-01-01 01:00:00,,,,,,,,,-83.38,-84.67
2018-01-02 01:00:00,,,,,,54.89,,,-85.43,-86.57
2018-01-03 01:00:00,,,,,,60.74,,,-86.72,-87.76
2018-01-04 01:00:00,,,,,,60.62,,,-86.7,-87.74
2018-01-05 01:00:00,,,,,,62.12,,,-87.01,-88.02
2018-01-06 01:00:00,,,,,,64.84,,,-87.55,-88.52
2018-01-07 01:00:00,,,-5.58,-51.22,63.74,70.9,,,-88.79,-89.66
2018-01-08 01:00:00,,,-1.88,-53.68,71.74,71.53,100.0,100.0,-88.92,-89.79
2018-01-09 01:00:00,,,-6.83,-62.34,84.85,77.61,100.0,100.0,-90.26,-91.02
2018-01-10 01:00:00,,,1.02,-62.62,91.97,73.56,68.32,89.44,-89.97,-90.75
2018-01-11 01:00:00,,,13.33,-56.85,89.7,62.91,0.0,56.11,-88.98,-89.84
2018-01-12 01:00:00,,,6.09,-60.12,90.72,68.3,36.71,35.01,-90.05,-90.83
2018-01-13 01:00:00,,,1.3,-63.12,93.23,72.63,66.12,34.28,-90.94,-91.64
2018-01-14 01:00:00,,,7.2,-61.19,93.67,70.1,67.47,56.77,-90.73,-91.46
2018-01-15 01:00:00,,,15.64,-57.17,91.89,64.28,14.15,49.25,-90.2,-90.97
2018-01-16 01:00:00,,,44.49,-43.26,87.22,48.86,0.0,27.2,-87.73,-88.69
2018-01-17 01:00:00,,,43.4,-39.52,81.35,48.96,0.43,4.86,-87.76,-88.71
2018-01-18 01:00:00,,,46.32,-34.15,75.86,47.55,0.0,0.14,-87.42,-88.4
2018-01-19 01:00:00,,,38.9,-31.27,67.59,49.74,13.08,4.51,-87.89,-88.83
2018-01-20 01:00:00,,,24.0,-33.39,60.22,55.61,100.0,37.69,-89.09,-89.94
2018-01-21 01:00:00,,,33.44,-22.08,52.54,50.14,32.13,48.4,-88.06,-88.99
2018-01-22 01:00:00,,,39.05,-15.66,48.99,47.57,0.31,44.15,-87.46,-88.44
2018-01-23 01:00:00,,,41.02,-13.65,48.09,46.76,0.0,10.81,-87.26,-88.25
2018-01-24 01:00:00,,,29.97,-18.55,45.9,51.29,51.09,17.13,-88.22,-89.14
2018-01-25 01:00:00,,,31.27,-16.34,44.3,50.51,82.84,44.65,-88.07,-89.0
2018-01-26 01:00:00,,,31.3,-15.7,43.6,50.43,81.08,71.67,-88.05,-88.98
2018-01-27 01:00:00,,,23.4,-20.78,43.61,54.42,100.0,87.97,-88.77,-89.65
2018-01-28 01:00:00,,,11.25,-29.1,44.31,61.06,100.0,93.69,-89.96,-90.74
2018-01-29 01:00:00,,,16.79,-24.53,42.99,56.28,55.08,85.03,-89.35,-90.18
2018-01-30 01:00:00,,,26.08,-18.01,42.37,50.47,0.38,51.82,-88.38,-89.29
2018-01-31 01:00:00,,,21.15,-21.22,42.39,52.79,21.95,25.8,-88.83,-89.7
2018-02-01 01:00:00,,,29.44,-15.24,41.72,48.01,0.0,7.44,-87.91,-88.86
