timestamp,ema50_dist_iot_usd_1D,ema200_dist_iot_usd_1D,upper_bb_dist_iot_usd_1D,lower_bb_dist_iot_usd_1D,width_bb_iot_usd_1D,rsi_iot_usd_1D,stoch_rsi_fastk_iot_usd_1D,stoch_rsi_fastd_iot_usd_1D,kijun_dist_iot_usd_1D,tenkan_dist_iot_usd_1D
2017-12-19 01:00:00,,,,,,,,,-94.21,-94.82
2017-12-20 01:00:00,,,,,,,,,-93.68,-94.35
2017-12-21 01:00:00,,,,,,,,,-93.51,-94.2
2017-12-22 01:00:00,,,,,,,,,-90.9,-91.86
2017-12-23 01:00:00,,,,,,,,,-91.35,-92.26
2017-12-24 01:00:00,,,,,,,,,-91.01,-91.96
2017-12-25 01:00:00,,,,,,,,,-91.08,-92.02
2017-12-26 01:00:00,,,,,,,,,-91.83,-92.69
2017-12-27 01:00:00,,,,,,,,,-91.69,-92.57
2017-12-28 01:00:00,,,,,,,,,-91.56,-92.45
2017-12-29 01:00:00,,,,,,,,,-91.57,-92.46
2017-12-30 01:00:00,,,,,,,,,-90.5,-91.5
2017-12-31 01:00:00,,,,,,,,,-91.23,-92.16
2018-01-01 01:00:00,,,,,,,,,-92.12,-92.95
2018-01-02 01:00:00,,,,,,32.66,,,-92.26,-93.08
2018-01-03 01:00:00,,,,,,35.4,,,-92.55,-93.33
2018-01-04 01:00:00,,,,,,35.09,,,-92.49,-93.28
2018-01-05 01:00:00,,,,,,31.77,,,-91.81,-92.68
2018-01-06 01:00:00,,,,,,36.09,,,-92.28,-93.09
2018-01-07 01:00:00,,,21.24,-29.67,53.15,37.93,,,-92.46,-93.26
2018-01-08 01:00:00,,,22.59,-20.39,42.51,34.74,48.18,82.73,-91.88,-92.74
2018-01-09 01:00:00,,,25.75,-12.24,35.59,32.09,5.28,51.15,-91.28,-92.2
2018-01-10 01:00:00,,,12.64,-14.0,26.82,36.32,72.49,41.98,-91.78,-92.64
2018-01-11 01:00:00,,,25.93,-4.11,27.08,32.34,4.2,27.32,-90.81,-91.78
2018-01-12 01:00:00,,,15.95,-11.5,26.85,37.74,100.0,58.9,-91.54,-92.43
2018-01-13 01:00:00,,,8.54,-16.4,25.96,42.18,100.0,68.07,-92.1,-92.93
2018-01-14 01:00:00,,,13.67,-11.49,24.89,40.03,78.15,92.72,-91.72,-92.59
