timestamp,ema50_dist_iot_usd_6h,ema200_dist_iot_usd_6h,upper_bb_dist_iot_usd_6h,lower_bb_dist_iot_usd_6h,width_bb_iot_usd_6h,rsi_iot_usd_6h,stoch_rsi_fastk_iot_usd_6h,stoch_rsi_fastd_iot_usd_6h,kijun_dist_iot_usd_6h,tenkan_dist_iot_usd_6h
2018-06-06 20:00:00,,,,,,,,,-84.27,-84.21
2018-06-07 02:00:00,,,,,,,,,-84.42,-84.36
2018-06-07 08:00:00,,,,,,,,,-84.42,-84.36
2018-06-07 14:00:00,,,,,,,,,-84.41,-84.35
2018-06-07 20:00:00,,,,,,,,,-84.25,-84.19
2018-06-08 02:00:00,,,,,,,,,-84.03,-83.97
2018-06-08 08:00:00,,,,,,,,,-84.1,-84.05
2018-06-08 14:00:00,,,,,,,,,-84.57,-84.51
2018-06-08 20:00:00,,,,,,,,,-84.34,-84.29
2018-06-09 02:00:00,,,,,,,,,-84.58,-84.52
2018-06-09 08:00:00,,,,,,,,,-84.28,-84.22
2018-06-09 14:00:00,,,,,,,,,-84.06,-84.0
2018-06-09 20:00:00,,,,,,,,,-83.74,-83.68
2018-06-10 02:00:00,,,,,,,,,-82.76,-82.69
2018-06-10 08:00:00,,,,,,26.77,,,-82.46,-82.39
2018-06-10 14:00:00,,,,,,19.22,,,-80.72,-80.65
2018-06-10 20:00:00,,,,,,18.74,,,-80.55,-80.48
2018-06-11 02:00:00,,,,,,20.0,,,-80.65,-80.58
2018-06-11 08:00:00,,,,,,22.64,,,-80.84,-80.77
2018-06-11 14:00:00,,,38.12,-2.71,34.68,20.87,,,-80.37,-80.3
2018-06-11 20:00:00,,,29.16,-9.74,35.46,35.3,100.0,67.69,-81.56,-81.5
2018-06-12 02:00:00,,,33.98,-7.55,36.68,31.18,73.04,75.83,-80.78,-80.71
2018-06-12 08:00:00,,,32.17,-9.39,37.31,32.41,79.98,84.34,-80.9,-80.83
2018-06-12 14:00:00,,,37.59,-6.92,38.59,28.32,51.63,68.21,-79.98,-79.9
2018-06-12 20:00:00,,,46.11,-3.83,41.23,24.12,0.0,43.87,-78.66,-78.58
2018-06-13 02:00:00,,,42.91,-7.61,42.94,26.97,34.34,28.66,-79.0,-78.92
2018-06-13 08:00:00,,,49.83,-5.49,45.28,23.79,0.0,11.45,-77.84,-77.76
2018-06-13 14:00:00,,,49.43,-6.51,46.06,23.12,0.0,11.45,-77.56,-77.48
2018-06-13 20:00:00,,,45.46,-8.93,45.99,24.74,42.18,14.06,-77.76,-77.68
2018-06-14 02:00:00,,,33.55,-13.57,42.84,34.34,100.0,47.39,-78.97,-78.9
2018-06-14 08:00:00,,,28.7,-13.4,39.11,35.38,100.0,80.73,-79.11,-79.03
2018-06-14 14:00:00,,,23.12,-13.01,34.39,37.14,100.0,100.0,-79.32,-79.25
2018-06-14 20:00:00,,,20.69,-10.07,29.21,35.51,86.9,95.63,-78.98,-78.91
2018-06-15 02:00:00,,,19.6,-8.06,26.16,34.0,0.0,62.3,-78.65,-78.58
2018-06-15 08:00:00,,,17.69,-6.56,22.97,33.15,0.0,28.97,-78.47,-78.39
2018-06-15 14:00:00,,,19.23,-5.6,23.24,31.43,0.0,0.0,-78.07,-77.99
2018-06-15 20:00:00,,,22.74,-3.75,24.19,28.66,0.0,0.0,-77.35,-77.27
2018-06-16 02:00:00,,,20.89,-5.42,24.42,30.43,33.26,11.09,-77.55,-77.47
2018-06-16 08:00:00,,,19.22,-6.24,23.91,31.23,57.33,30.2,-77.63,-77.55
2018-06-16 14:00:00,,,16.95,-7.66,23.52,33.75,100.0,63.53,-77.89,-77.81
2018-06-16 20:00:00,,,15.1,-5.77,19.94,32.6,77.54,78.29,-77.66,-77.58
2018-06-17 02:00:00,,,13.73,-4.82,17.76,31.91,44.6,74.05,-77.53,-77.44
2018-06-17 08:00:00,,,11.12,-3.41,13.99,31.58,13.63,45.25,-77.46,-77.38
2018-06-17 14:00:00,,,11.75,-1.49,12.59,29.37,0.0,19.41,-77.02,-76.94
2018-06-17 20:00:00,,,11.1,-2.46,13.01,30.53,35.91,16.51,-77.12,-77.04
2018-06-18 02:00:00,,,12.27,-1.68,13.25,28.84,0.0,11.97,-76.79,-76.71
2018-06-18 08:00:00,,,16.25,0.05,14.98,25.66,0.0,11.97,-76.08,-75.99
2018-06-18 14:00:00,,,8.84,-6.31,14.97,41.1,100.0,33.33,-77.6,-77.52
2018-06-18 20:00:00,,,10.05,-5.42,15.11,39.55,89.99,63.33,-77.35,-77.27
2018-06-19 02:00:00,17.89,,10.08,-4.86,14.56,38.59,83.74,91.24,-77.19,-77.11
2018-06-19 08:00:00,12.3,,4.56,-8.66,13.5,47.48,100.0,91.24,-78.18,-78.1
2018-06-19 14:00:00,16.46,,7.57,-4.25,11.63,41.33,30.81,71.52,-77.24,-77.16
2018-06-19 20:00:00,15.46,,6.01,-4.12,10.04,41.92,37.49,56.1,-77.31,-77.23
2018-06-20 02:00:00,20.27,,10.54,0.05,9.96,36.1,0.0,22.77,-76.2,-76.12
2018-06-20 08:00:00,17.84,,8.21,-1.49,9.39,38.79,23.64,20.38,-76.54,-76.45
2018-06-20 14:00:00,14.44,,5.13,-3.78,8.86,43.23,100.0,41.21,-77.1,-77.01
2018-06-20 20:00:00,14.12,,5.31,-3.65,8.89,42.92,95.6,73.08,-77.05,-76.96
2018-06-21 02:00:00,13.0,,4.63,-4.19,8.81,43.95,100.0,98.53,-77.17,-77.08
2018-06-21 08:00:00,13.35,,5.25,-3.51,8.69,42.7,75.78,90.46,-76.99,-76.9
