timestamp,ema50_dist_iota_btc_1D,ema200_dist_iota_btc_1D,upper_bb_dist_iota_btc_1D,lower_bb_dist_iota_btc_1D,width_bb_iota_btc_1D,rsi_iota_btc_1D,stoch_rsi_fastk_iota_btc_1D,stoch_rsi_fastd_iota_btc_1D,kijun_dist_iota_btc_1D,tenkan_dist_iota_btc_1D
2017-12-19 01:00:00,,,,,,,,,-73.18,-74.79
2017-12-20 01:00:00,,,,,,,,,-72.32,-73.98
2017-12-21 01:00:00,,,,,,,,,-73.43,-75.02
2017-12-22 01:00:00,,,,,,,,,-69.28,-71.13
2017-12-23 01:00:00,,,,,,,,,-67.7,-69.64
2017-12-24 01:00:00,,,,,,,,,-68.02,-69.94
2017-12-25 01:00:00,,,,,,,,,-67.39,-69.35
2017-12-26 01:00:00,,,,,,,,,-66.24,-68.26
2017-12-27 01:00:00,,,,,,,,,-65.92,-67.97
2017-12-28 01:00:00,,,,,,,,,-68.06,-69.97
2017-12-29 01:00:00,,,,,,,,,-67.67,-69.61
2017-12-30 01:00:00,,,,,,,,,-68.98,-70.84
2017-12-31 01:00:00,,,,,,,,,-67.9,-69.83
2018-01-01 01:00:00,,,,,,,,,-72.27,-73.93
2018-01-02 01:00:00,,,,,,41.04,,,-69.62,-71.45
2018-01-03 01:00:00,,,,,,41.51,,,-69.79,-71.6
2018-01-04 01:00:00,,,,,,39.69,,,-68.87,-70.74
2018-01-05 01:00:00,,,,,,31.34,,,-62.48,-64.73
2018-01-06 01:00:00,,,,,,34.93,,,-64.27,-66.41
2018-01-07 01:00:00,,,23.21,-13.85,35.41,41.38,,,-67.31,-69.28
2018-01-08 01:00:00,,,17.63,-15.13,32.36,43.11,100.0,78.03,-68.09,-70.0
2018-01-09 01:00:00,,,22.09,-10.22,30.5,40.2,75.3,91.35,-66.27,-68.29
2018-01-10 01:00:00,,,12.39,-12.35,24.73,43.66,100.0,91.77,-67.81,-69.75
2018-01-11 01:00:00,,,12.86,-11.7,24.42,43.17,85.79,87.03,-67.54,-69.49
2018-01-12 01:00:00,,,6.08,-17.47,24.96,48.34,100.0,95.26,-69.67,-71.49
2018-01-13 01:00:00,,,4.9,-19.1,25.84,49.77,100.0,95.26,-70.23,-72.02
2018-01-14 01:00:00,,,7.7,-17.16,26.1,48.12,75.01,91.67,-69.58,-71.4
2018-01-15 01:00:00,,,14.1,-11.78,25.58,44.09,13.95,62.99,-67.77,-69.71
2018-01-16 01:00:00,,,25.77,-3.7,26.54,38.76,0.0,29.65,-64.56,-66.69
2018-01-17 01:00:00,,,16.39,-11.01,26.68,44.54,52.54,22.16,-67.18,-69.15
2018-01-18 01:00:00,,,17.29,-10.49,26.86,44.06,56.64,36.39,-66.91,-68.9
2018-01-19 01:00:00,,,21.43,-7.89,27.46,41.84,53.36,54.18,-65.66,-67.73
2018-01-20 01:00:00,,,22.97,-7.56,28.34,41.11,40.64,50.21,-65.23,-67.32
2018-01-21 01:00:00,,,17.66,-8.15,24.64,42.56,42.23,45.41,-65.81,-67.86
2018-01-22 01:00:00,,,24.96,-3.31,25.51,38.65,0.0,27.62,-63.5,-65.69
