timestamp,ema50_dist_ltc_btc_1D,ema200_dist_ltc_btc_1D,upper_bb_dist_ltc_btc_1D,lower_bb_dist_ltc_btc_1D,width_bb_ltc_btc_1D,rsi_ltc_btc_1D,stoch_rsi_fastk_ltc_btc_1D,stoch_rsi_fastd_ltc_btc_1D,kijun_dist_ltc_btc_1D,tenkan_dist_ltc_btc_1D
2017-12-19 01:00:00,,,,,,,,,-49.23,-44.5
2017-12-20 01:00:00,,,,,,,,,-45.92,-40.88
2017-12-21 01:00:00,,,,,,,,,-49.18,-44.44
2017-12-22 01:00:00,,,,,,,,,-47.12,-42.19
2017-12-23 01:00:00,,,,,,,,,-48.07,-43.23
2017-12-24 01:00:00,,,,,,,,,-48.8,-44.02
2017-12-25 01:00:00,,,,,,,,,-47.74,-42.87
2017-12-26 01:00:00,,,,,,,,,-43.86,-38.62
2017-12-27 01:00:00,,,,,,,,,-41.58,-36.14
2017-12-28 01:00:00,,,,,,,,,-42.28,-36.9
2017-12-29 01:00:00,,,,,,,,,-40.03,-34.44
2017-12-30 01:00:00,,,,,,,,,-40.5,-34.96
2017-12-31 01:00:00,,,,,,,,,-39.03,-33.35
2018-01-01 01:00:00,,,,,,,,,-40.14,-34.56
2018-01-02 01:00:00,,,,,,33.13,,,-41.02,-35.52
2018-01-03 01:00:00,,,,,,29.64,,,-37.75,-31.95
2018-01-04 01:00:00,,,,,,27.91,,,-35.81,-29.82
2018-01-05 01:00:00,,,,,,23.89,,,-29.97,-23.44
2018-01-06 01:00:00,,,,,,38.03,,,-38.24,-32.48
2018-01-07 01:00:00,,,22.14,-13.45,34.11,41.39,,,-40.27,-34.69
2018-01-08 01:00:00,,,18.4,-14.55,32.33,43.0,100.0,100.0,-41.2,-35.71
2018-01-09 01:00:00,,,17.08,-15.12,31.89,43.57,100.0,100.0,-41.5,-36.05
2018-01-10 01:00:00,,,17.69,-12.59,29.53,41.55,63.67,87.89,-40.08,-34.49
2018-01-11 01:00:00,,,14.0,-14.06,28.07,43.86,100.0,87.89,-41.26,-35.79
2018-01-12 01:00:00,,,11.76,-13.54,25.53,44.13,100.0,87.89,-41.39,-35.93
2018-01-13 01:00:00,,,2.7,-18.18,22.63,51.92,100.0,100.0,-45.23,-40.13
2018-01-14 01:00:00,,,5.64,-12.95,19.3,46.84,50.98,83.66,-42.51,-37.15
2018-01-15 01:00:00,,,6.77,-11.38,18.59,45.32,18.05,56.34,-41.59,-36.14
2018-01-16 01:00:00,,,10.46,-8.26,18.52,42.07,0.0,23.01,-39.44,-33.79
2018-01-17 01:00:00,,,8.35,-9.75,18.23,44.01,19.67,12.57,-40.42,-34.87
2018-01-18 01:00:00,,,6.52,-11.39,18.35,46.29,88.41,36.03,-41.54,-36.09
2018-01-19 01:00:00,,,8.45,-9.78,18.35,44.43,55.99,54.69,-40.48,-34.92
2018-01-20 01:00:00,,,10.0,-8.43,18.29,43.02,22.38,55.6,-39.64,-34.01
2018-01-21 01:00:00,,,9.72,-8.68,18.3,43.34,10.0,29.46,-39.78,-34.16
2018-01-22 01:00:00,,,9.38,-8.92,18.26,43.63,18.73,17.04,-39.9,-34.29
2018-01-23 01:00:00,,,10.53,-7.7,17.98,42.37,0.0,9.58,-39.26,-33.59
2018-01-24 01:00:00,,,13.62,-4.51,17.34,39.09,0.0,6.24,-37.45,-31.62
2018-01-25 01:00:00,,,10.39,-1.73,11.61,40.38,28.3,9.43,-37.93,-32.14
2018-01-26 01:00:00,,,11.88,-0.89,12.11,39.0,0.0,9.43,-37.18,-31.33
2018-01-27 01:00:00,,,11.93,-1.67,12.93,39.2,5.93,11.41,-37.25,-31.4
2018-01-28 01:00:00,,,6.97,-5.97,12.88,47.04,100.0,35.31,-39.95,-34.35
2018-01-29 01:00:00,,,9.71,-3.72,13.04,43.3,53.43,53.12,-38.3,-32.54
2018-01-30 01:00:00,,,7.62,-5.59,13.08,46.47,92.89,82.11,-39.45,-33.8
2018-01-31 01:00:00,,,10.0,-3.7,13.28,43.22,51.27,65.87,-38.01,-32.22
2018-02-01 01:00:00,,,13.07,-1.74,14.02,39.73,0.0,48.06,-36.23,-30.28
2018-02-02 01:00:00,,,17.36,2.59,13.43,34.59,0.0,17.09,-32.95,-26.7
2018-02-03 01:00:00,,,-0.08,-12.99,13.8,55.8,100.0,33.33,-43.05,-37.73
2018-02-04 01:00:00,,,-1.73,-16.3,16.02,58.71,100.0,66.67,-44.72,-39.57
2018-02-05 01:00:00,,,-0.87,-17.63,18.47,59.47,100.0,100.0,-45.15,-40.03
2018-02-06 01:00:00,-7.85,,-0.7,-19.62,21.06,61.01,100.0,100.0,-45.98,-40.94
2018-02-07 01:00:00,-6.28,,1.73,-18.87,22.53,58.79,57.32,85.77,-45.21,-40.1
2018-02-08 01:00:00,-6.32,,2.53,-19.42,23.97,59.15,18.96,58.76,-45.39,-40.29
2018-02-09 01:00:00,-9.02,,0.89,-22.52,26.25,62.86,100.0,58.76,-47.17,-42.25
2018-02-10 01:00:00,-5.27,,5.64,-19.45,26.96,56.53,0.0,39.65,-45.12,-40.0
2018-02-11 01:00:00,-6.23,,5.24,-20.45,27.8,58.05,24.06,41.35,-45.82,-40.77
2018-02-12 01:00:00,-4.96,,7.13,-19.27,28.11,56.2,0.0,8.02,-45.21,-40.1
2018-02-13 01:00:00,-7.23,,5.17,-20.91,28.3,59.59,50.98,25.01,-46.69,-41.72
