timestamp,ema50_dist_ltc_btc_6h,ema200_dist_ltc_btc_6h,upper_bb_dist_ltc_btc_6h,lower_bb_dist_ltc_btc_6h,width_bb_ltc_btc_6h,rsi_ltc_btc_6h,stoch_rsi_fastk_ltc_btc_6h,stoch_rsi_fastd_ltc_btc_6h,kijun_dist_ltc_btc_6h,tenkan_dist_ltc_btc_6h
2018-10-24 20:00:00,,,,,,,,,34.78,39.51
2018-10-25 02:00:00,,,,,,,,,34.73,39.46
2018-10-25 08:00:00,,,,,,,,,35.2,39.94
2018-10-25 14:00:00,,,,,,,,,34.94,39.68
2018-10-25 20:00:00,,,,,,,,,34.79,39.53
2018-10-26 02:00:00,,,,,,,,,35.01,39.75
2018-10-26 08:00:00,,,,,,,,,34.76,39.49
2018-10-26 14:00:00,,,,,,,,,35.11,39.85
2018-10-26 20:00:00,,,,,,,,,35.25,39.99
2018-10-27 02:00:00,,,,,,,,,35.3,40.04
2018-10-27 08:00:00,,,,,,,,,35.52,40.27
2018-10-27 14:00:00,,,,,,,,,35.6,40.36
2018-10-27 20:00:00,,,,,,,,,35.67,40.43
2018-10-28 02:00:00,,,,,,,,,35.35,40.1
2018-10-28 07:00:00,,,,,,33.15,,,35.82,40.59
2018-10-28 13:00:00,,,,,,30.64,,,36.06,40.83
2018-10-28 19:00:00,,,,,,37.22,,,35.75,40.52
2018-10-29 01:00:00,,,,,,37.01,,,35.77,40.53
2018-10-29 07:00:00,,,,,,29.63,,,36.47,41.25
2018-10-29 13:00:00,,,4.93,1.62,3.21,14.35,,,40.02,44.94
2018-10-29 19:00:00,,,5.76,1.19,4.42,13.23,0.0,0.0,40.58,45.52
2018-10-30 01:00:00,,,5.29,0.16,4.99,22.11,37.35,12.45,39.83,44.73
2018-10-30 07:00:00,,,5.35,-0.25,5.46,22.11,54.17,30.51,39.83,44.73
2018-10-30 13:00:00,,,5.75,-0.32,5.91,20.55,82.35,57.95,40.31,45.24
2018-10-30 19:00:00,,,5.35,-0.91,6.12,25.4,100.0,78.84,39.9,44.81
2018-10-31 01:00:00,,,5.21,-1.18,6.27,25.82,100.0,94.12,39.86,44.77
2018-10-31 07:00:00,,,5.06,-1.36,6.3,25.67,97.02,99.01,39.9,44.81
2018-10-31 13:00:00,,,3.58,-2.59,6.13,43.46,100.0,99.01,38.2,43.05
2018-10-31 19:00:00,,,3.98,-2.09,6.01,38.68,73.55,90.19,39.01,43.88
2018-11-01 01:00:00,,,3.52,-2.32,5.81,41.25,87.6,87.05,38.71,43.57
2018-11-01 07:00:00,,,3.59,-2.09,5.64,38.97,74.8,78.65,39.1,43.98
2018-11-01 13:00:00,,,2.71,-2.68,5.39,46.24,100.0,87.47,38.21,43.06
2018-11-01 19:00:00,,,2.31,-2.8,5.12,48.1,100.0,91.6,37.97,42.81
2018-11-02 01:00:00,,,1.43,-3.33,4.8,54.31,100.0,100.0,37.08,41.89
2018-11-02 07:00:00,,,1.33,-3.18,4.56,53.5,94.71,98.24,37.19,42.0
2018-11-02 13:00:00,,,-0.06,-4.76,4.82,65.1,100.0,98.24,35.08,39.82
2018-11-02 19:00:00,,,0.23,-4.57,4.91,62.52,84.86,93.19,35.4,40.15
2018-11-03 01:00:00,,,0.65,-4.12,4.86,57.86,37.58,74.15,36.01,40.78
2018-11-03 07:00:00,,,0.47,-4.47,5.04,60.0,56.06,59.5,35.6,40.36
2018-11-03 13:00:00,,,1.02,-4.01,5.11,56.16,0.0,31.21,36.11,40.88
2018-11-03 19:00:00,,,1.35,-3.55,4.95,53.68,0.0,18.69,36.45,41.24
2018-11-04 01:00:00,,,1.13,-3.75,4.95,56.57,45.61,15.2,35.97,40.74
2018-11-04 07:00:00,,,-1.28,-7.28,6.27,73.8,100.0,48.54,31.46,36.08
2018-11-04 13:00:00,,,-2.86,-11.43,9.22,82.13,100.0,81.87,26.87,31.32
2018-11-04 19:00:00,,,-0.05,-9.65,10.09,68.52,52.16,84.05,29.49,34.04
2018-11-05 01:00:00,,,2.14,-7.68,10.1,59.07,9.8,53.99,31.94,36.57
2018-11-05 07:00:00,,,2.03,-7.74,10.05,60.32,5.41,22.46,31.41,36.03
2018-11-05 13:00:00,,,2.17,-7.73,10.18,60.9,7.94,7.72,31.18,35.78
2018-11-05 19:00:00,,,2.07,-7.8,10.16,62.22,33.28,15.54,30.66,35.24
2018-11-06 01:00:00,-4.23,,1.9,-7.95,10.15,63.84,100.0,47.07,30.02,34.58
2018-11-06 07:00:00,-4.34,,1.85,-7.82,9.97,64.88,100.0,77.76,29.62,34.17
2018-11-06 13:00:00,-4.29,,1.98,-7.56,9.82,65.33,100.0,100.0,29.45,33.99
2018-11-06 19:00:00,-6.69,,-0.1,-10.03,10.46,73.42,100.0,100.0,25.83,30.25
2018-11-07 01:00:00,-4.51,,2.29,-7.73,10.3,61.75,0.0,66.67,28.53,33.04
2018-11-07 07:00:00,-3.72,,3.05,-6.62,9.84,58.66,0.0,33.33,29.39,33.93
2018-11-07 13:00:00,-2.19,,4.59,-4.96,9.57,52.4,0.0,0.0,31.32,35.93
2018-11-07 19:00:00,-1.89,,4.79,-4.42,9.2,51.5,0.0,0.0,31.62,36.24
2018-11-08 01:00:00,-1.16,,5.4,-3.38,8.69,48.77,0.0,0.0,32.53,37.18
2018-11-08 07:00:00,-0.6,,5.86,-2.56,8.29,46.67,0.0,0.0,33.26,37.94
2018-11-08 13:00:00,-1.15,,5.03,-2.7,7.64,49.29,45.59,15.2,32.45,37.1
2018-11-08 19:00:00,-0.06,,5.96,-1.2,7.0,45.01,0.0,15.2,33.92,38.62
2018-11-09 01:00:00,-0.03,,5.79,-0.83,6.46,44.92,0.0,15.2,33.95,38.65
2018-11-09 07:00:00,-0.04,,5.84,-1.1,6.78,44.98,1.4,0.47,33.93,38.63
2018-11-09 13:00:00,0.24,,5.72,-0.96,6.52,43.72,0.0,0.47,34.33,39.04
2018-11-09 19:00:00,0.01,,5.36,-1.43,6.66,45.03,100.0,33.8,34.02,38.72
2018-11-10 01:00:00,-0.2,,5.14,-1.8,6.83,46.31,100.0,66.67,33.72,38.41
2018-11-10 07:00:00,-0.25,,5.06,-2.01,6.97,46.68,100.0,100.0,33.64,38.33
2018-11-10 13:00:00,-0.62,,4.61,-2.5,7.03,49.1,100.0,100.0,33.12,37.79
2018-11-10 19:00:00,-0.24,,4.91,-2.28,7.1,46.95,47.1,82.37,33.61,38.29
2018-11-11 01:00:00,0.6,,5.69,-1.67,7.22,42.29,0.0,49.03,34.76,39.49
2018-11-11 07:00:00,1.11,,6.1,-1.4,7.33,39.58,0.0,15.7,35.52,40.27
2018-11-11 13:00:00,2.5,,7.55,-0.44,7.72,33.54,0.0,-0.0,37.52,42.34
2018-11-11 19:00:00,1.92,,5.83,-0.61,6.28,36.99,25.72,8.57,36.84,41.64
2018-11-12 01:00:00,2.04,,5.41,-0.45,5.71,36.16,29.93,18.55,37.12,41.93
2018-11-12 07:00:00,2.12,,5.02,-0.34,5.23,35.47,31.89,29.18,37.34,42.16
2018-11-12 13:00:00,2.61,,5.45,-0.1,5.4,33.04,0.0,20.61,38.14,42.99
2018-11-12 19:00:00,1.93,,4.54,-0.84,5.28,37.72,100.0,43.96,37.33,42.14
2018-11-13 01:00:00,1.37,,3.81,-1.41,5.16,41.38,100.0,66.67,36.65,41.45
2018-11-13 07:00:00,1.6,,3.97,-1.27,5.17,39.89,82.14,94.05,37.05,41.86
2018-11-13 13:00:00,2.26,,4.48,-0.71,5.1,36.34,39.55,73.9,38.06,42.9
2018-11-13 19:00:00,3.32,,5.75,-0.02,5.61,31.54,0.0,40.57,39.68,44.59
2018-11-14 01:00:00,2.78,,5.22,-0.74,5.83,34.87,33.76,24.44,39.1,43.98
2018-11-14 07:00:00,3.12,,5.62,-0.62,6.09,32.99,17.26,17.01,39.74,44.64
2018-11-14 13:00:00,6.01,,9.21,1.3,7.51,24.06,0.0,17.01,43.98,49.04
2018-11-14 19:00:00,5.16,,8.56,0.0,8.2,28.24,38.7,18.65,43.11,48.14
2018-11-15 01:00:00,5.14,,8.62,-0.4,8.66,27.74,34.07,24.26,43.38,48.41
2018-11-15 07:00:00,3.8,,7.01,-1.76,8.55,35.41,100.0,57.59,41.75,46.73
2018-11-15 13:00:00,3.22,,5.97,-2.2,8.02,38.09,100.0,78.02,41.15,46.1
2018-11-15 19:00:00,2.46,,4.69,-2.73,7.35,42.02,100.0,100.0,40.24,45.16
2018-11-16 01:00:00,2.82,,4.72,-2.27,6.9,40.05,86.2,95.4,40.89,45.84
2018-11-16 07:00:00,3.43,,5.1,-1.65,6.63,37.13,26.07,70.76,41.92,46.9
2018-11-16 13:00:00,3.61,,5.3,-1.56,6.73,35.92,0.0,37.42,42.37,47.36
2018-11-16 19:00:00,4.29,,5.96,-1.02,6.82,32.9,0.0,8.69,43.55,48.58
2018-11-17 01:00:00,4.34,,5.97,-1.09,6.9,32.16,0.0,0.0,43.85,48.9
2018-11-17 07:00:00,5.01,,6.69,-0.65,7.13,29.35,0.0,0.0,45.06,50.15
2018-11-17 13:00:00,4.74,,6.47,-1.06,7.33,29.88,7.95,2.65,44.96,50.05
2018-11-17 19:00:00,4.34,,5.88,-1.45,7.17,31.62,63.92,23.96,44.65,49.73
2018-11-18 01:00:00,3.12,,4.16,-2.35,6.45,39.69,100.0,57.29,43.13,48.15
2018-11-18 07:00:00,3.85,,4.44,-1.42,5.78,35.97,64.06,75.99,44.36,49.43
2018-11-18 13:00:00,3.42,,3.62,-1.59,5.17,37.99,82.72,82.26,43.96,49.02
2018-11-18 19:00:00,3.95,,4.04,-1.05,5.01,35.15,43.77,63.52,44.92,50.01
2018-11-19 01:00:00,6.61,,6.93,1.07,5.64,26.39,0.0,42.16,49.0,54.23
2018-11-19 07:00:00,7.88,,8.75,1.55,6.84,23.14,0.0,14.59,51.23,56.54
2018-11-19 13:00:00,6.45,,7.78,-0.15,7.64,29.94,45.82,15.27,49.6,54.84
2018-11-19 19:00:00,2.78,,4.11,-3.53,7.62,46.28,100.0,48.61,44.59,49.67
2018-11-20 01:00:00,1.99,,3.39,-4.2,7.61,48.93,100.0,81.94,43.6,48.64
2018-11-20 07:00:00,5.92,,7.56,-0.77,8.05,37.52,55.76,85.25,49.47,54.72
2018-11-20 13:00:00,4.23,,5.71,-2.33,7.91,42.64,66.89,74.22,47.33,52.5
2018-11-20 19:00:00,3.87,,5.01,-2.49,7.41,43.31,50.7,57.78,47.05,52.21
2018-11-21 01:00:00,4.76,,5.66,-1.59,7.11,40.57,26.73,48.11,48.58,53.79
2018-11-21 07:00:00,3.66,,4.33,-2.49,6.76,43.93,100.0,59.14,47.23,52.4
