timestamp,ema50_dist_ltc_usd_1D,ema200_dist_ltc_usd_1D,upper_bb_dist_ltc_usd_1D,lower_bb_dist_ltc_usd_1D,width_bb_ltc_usd_1D,rsi_ltc_usd_1D,stoch_rsi_fastk_ltc_usd_1D,stoch_rsi_fastd_ltc_usd_1D,kijun_dist_ltc_usd_1D,tenkan_dist_ltc_usd_1D
2017-12-19 01:00:00,,,,,,,,,-89.47,-88.37
2017-12-20 01:00:00,,,,,,,,,-88.21,-86.97
2017-12-21 01:00:00,,,,,,,,,-88.3,-87.07
2017-12-22 01:00:00,,,,,,,,,-85.56,-84.04
2017-12-23 01:00:00,,,,,,,,,-86.66,-85.26
2017-12-24 01:00:00,,,,,,,,,-86.31,-84.87
2017-12-25 01:00:00,,,,,,,,,-86.26,-84.82
2017-12-26 01:00:00,,,,,,,,,-87.13,-85.78
2017-12-27 01:00:00,,,,,,,,,-86.39,-84.96
2017-12-28 01:00:00,,,,,,,,,-85.5,-83.98
2017-12-29 01:00:00,,,,,,,,,-85.02,-83.45
2017-12-30 01:00:00,,,,,,,,,-82.67,-80.85
2017-12-31 01:00:00,,,,,,,,,-84.09,-82.41
2018-01-01 01:00:00,,,,,,,,,-83.95,-82.26
2018-01-02 01:00:00,,,,,,32.68,,,-85.66,-84.15
2018-01-03 01:00:00,,,,,,31.91,,,-85.31,-83.77
2018-01-04 01:00:00,,,,,,31.04,,,-84.91,-83.33
2018-01-05 01:00:00,,,,,,32.61,,,-85.23,-83.68
2018-01-06 01:00:00,,,,,,42.27,,,-87.1,-85.74
2018-01-07 01:00:00,,,18.54,-26.64,47.09,41.02,,,-86.77,-85.37
2018-01-08 01:00:00,,,20.45,-18.15,38.16,37.84,60.52,83.12,-85.81,-84.32
2018-01-09 01:00:00,,,20.91,-14.62,34.44,36.54,40.69,63.35,-85.36,-83.82
2018-01-10 01:00:00,,,14.6,-14.13,28.66,37.8,21.86,41.02,-85.61,-84.1
2018-01-11 01:00:00,,,26.83,-6.28,30.03,33.78,0.0,20.85,-84.09,-82.42
2018-01-12 01:00:00,,,20.69,-10.45,29.62,36.66,71.04,30.97,-84.73,-83.13
2018-01-13 01:00:00,,,9.84,-18.31,29.4,43.09,100.0,57.01,-86.08,-84.62
2018-01-14 01:00:00,,,19.65,-10.94,29.31,38.89,54.91,75.32,-84.75,-83.15
2018-01-15 01:00:00,,,19.52,-9.08,27.18,38.15,46.87,67.26,-84.47,-82.84
2018-01-16 01:00:00,,,54.1,8.84,34.43,30.69,0.0,33.93,-80.27,-78.19
2018-01-17 01:00:00,,,51.44,1.33,39.65,32.11,11.49,19.45,-80.79,-78.77
2018-01-18 01:00:00,,,51.67,-2.94,43.92,32.4,20.9,10.8,-80.88,-78.88
2018-01-19 01:00:00,,,49.12,-6.41,45.76,33.69,40.28,24.22,-81.29,-79.32
2018-01-20 01:00:00,,,36.24,-15.29,46.64,39.32,100.0,53.73,-82.91,-81.11
2018-01-21 01:00:00,,,51.17,-8.84,49.53,35.74,50.37,63.55,-81.12,-79.13
2018-01-22 01:00:00,,,59.79,-7.34,53.18,34.0,23.06,57.81,-80.02,-77.92
2018-01-23 01:00:00,,,61.33,-9.92,56.69,33.68,0.0,24.48,-79.81,-77.68
2018-01-24 01:00:00,,,58.57,-14.14,59.49,34.63,16.95,13.34,-80.11,-78.02
2018-01-25 01:00:00,,,59.03,-16.04,61.79,34.33,31.48,16.14,-79.94,-77.83
2018-01-26 01:00:00,,,57.05,-15.17,59.72,33.62,0.0,16.14,-79.54,-77.4
2018-01-27 01:00:00,,,46.63,-17.84,56.36,36.14,100.0,43.83,-80.23,-78.16
2018-01-28 01:00:00,,,32.41,-23.54,53.57,41.8,100.0,66.67,-81.71,-79.78
2018-01-29 01:00:00,,,39.98,-17.84,52.06,38.16,55.5,85.17,-80.24,-78.16
2018-01-30 01:00:00,,,47.71,-11.66,50.3,34.98,16.53,57.35,-78.56,-76.31
2018-01-31 01:00:00,,,48.56,-12.13,51.34,34.35,0.0,24.01,-78.19,-75.9
2018-02-01 01:00:00,,,68.23,-3.05,53.76,30.05,0.0,5.51,-74.95,-72.32
2018-02-02 01:00:00,,,74.59,3.58,51.06,28.06,0.0,-0.0,-72.82,-69.97
2018-02-03 01:00:00,,,37.1,-14.12,45.94,39.39,100.0,33.33,-77.77,-75.43
