timestamp,ema50_dist_ltc_usd_6h,ema200_dist_ltc_usd_6h,upper_bb_dist_ltc_usd_6h,lower_bb_dist_ltc_usd_6h,width_bb_ltc_usd_6h,rsi_ltc_usd_6h,stoch_rsi_fastk_ltc_usd_6h,stoch_rsi_fastd_ltc_usd_6h,kijun_dist_ltc_usd_6h,tenkan_dist_ltc_usd_6h
2018-06-06 20:00:00,,,,,,,,,-67.39,-66.35
2018-06-07 02:00:00,,,,,,,,,-67.59,-66.57
2018-06-07 08:00:00,,,,,,,,,-67.32,-66.28
2018-06-07 14:00:00,,,,,,,,,-67.3,-66.26
2018-06-07 20:00:00,,,,,,,,,-67.41,-66.38
2018-06-08 02:00:00,,,,,,,,,-66.94,-65.89
2018-06-08 08:00:00,,,,,,,,,-66.6,-65.55
2018-06-08 14:00:00,,,,,,,,,-66.95,-65.9
2018-06-08 20:00:00,,,,,,,,,-66.96,-65.91
2018-06-09 02:00:00,,,,,,,,,-67.12,-66.07
2018-06-09 08:00:00,,,,,,,,,-66.94,-65.89
2018-06-09 14:00:00,,,,,,,,,-66.65,-65.6
2018-06-09 20:00:00,,,,,,,,,-66.21,-65.14
2018-06-10 02:00:00,,,,,,,,,-65.27,-64.17
2018-06-10 08:00:00,,,,,,20.77,,,-64.89,-63.78
2018-06-10 14:00:00,,,,,,13.65,,,-62.51,-61.33
2018-06-10 20:00:00,,,,,,16.45,,,-62.74,-61.56
2018-06-11 02:00:00,,,,,,17.25,,,-62.81,-61.63
2018-06-11 08:00:00,,,,,,19.65,,,-62.99,-61.81
2018-06-11 14:00:00,,,21.73,-1.48,21.08,17.83,,,-62.39,-61.2
2018-06-11 20:00:00,,,19.68,-3.87,21.82,24.42,100.0,84.63,-62.91,-61.74
2018-06-12 02:00:00,,,19.2,-4.57,22.15,24.23,97.26,88.99,-62.87,-61.69
2018-06-12 08:00:00,,,18.81,-5.13,22.4,23.92,92.3,96.52,-62.79,-61.61
2018-06-12 14:00:00,,,20.54,-4.17,22.84,21.01,48.23,79.26,-62.04,-60.84
2018-06-12 20:00:00,,,25.58,-1.4,24.07,16.31,0.0,46.84,-60.29,-59.03
2018-06-13 02:00:00,,,25.87,-2.38,25.28,15.81,0.0,16.08,-60.04,-58.78
2018-06-13 08:00:00,,,31.17,-0.58,27.54,12.94,0.0,-0.0,-58.33,-57.01
2018-06-13 14:00:00,,,32.16,-1.47,29.16,12.25,0.0,-0.0,-57.81,-56.47
2018-06-13 20:00:00,,,31.72,-2.76,30.12,11.99,0.0,-0.0,-57.61,-56.27
2018-06-14 02:00:00,,,26.41,-5.99,29.39,22.07,100.0,33.33,-58.72,-57.41
2018-06-14 08:00:00,,,22.32,-7.49,27.76,27.27,100.0,66.67,-59.34,-58.05
2018-06-14 14:00:00,,,16.59,-9.54,25.24,36.01,100.0,100.0,-60.46,-59.2
2018-06-14 20:00:00,,,13.61,-9.35,22.49,37.65,100.0,100.0,-60.68,-59.43
2018-06-15 02:00:00,,,13.68,-7.45,20.49,34.76,81.47,93.82,-60.01,-58.74
2018-06-15 08:00:00,,,13.45,-5.8,18.54,32.52,50.61,77.36,-59.43,-58.14
2018-06-15 14:00:00,,,12.82,-6.22,18.43,32.9,7.34,46.47,-59.48,-58.19
2018-06-15 20:00:00,,,14.95,-4.47,18.45,29.31,0.0,19.32,-58.49,-57.18
2018-06-16 02:00:00,,,14.57,-4.57,18.23,28.84,0.0,2.45,-58.35,-57.03
2018-06-16 08:00:00,,,12.48,-5.5,17.37,31.94,76.47,25.49,-58.72,-57.41
2018-06-16 14:00:00,,,10.59,-6.39,16.64,35.13,100.0,58.82,-59.1,-57.8
2018-06-16 20:00:00,,,9.55,-5.82,15.09,34.58,91.28,89.25,-58.98,-57.68
2018-06-17 02:00:00,,,7.6,-5.59,13.05,35.89,100.0,97.09,-59.12,-57.83
2018-06-17 08:00:00,,,6.75,-3.82,10.42,33.84,48.05,79.77,-58.72,-57.41
2018-06-17 14:00:00,,,5.63,-2.7,8.21,32.91,0.0,49.35,-58.53,-57.21
2018-06-17 20:00:00,,,6.03,-2.1,7.97,31.41,0.0,16.02,-58.22,-56.89
2018-06-18 02:00:00,,,6.52,-1.62,7.95,29.96,0.0,-0.0,-57.91,-56.57
2018-06-18 08:00:00,,,7.21,-1.31,8.28,28.88,0.0,-0.0,-57.67,-56.33
2018-06-18 14:00:00,,,2.51,-5.41,8.04,46.28,100.0,33.33,-59.57,-58.28
2018-06-18 20:00:00,,,1.79,-5.75,7.69,48.75,100.0,66.67,-59.89,-58.62
2018-06-19 02:00:00,7.61,,2.94,-4.68,7.68,45.87,85.5,95.17,-59.48,-58.19
2018-06-19 08:00:00,5.98,,1.8,-5.93,7.9,49.88,100.0,95.17,-60.0,-58.73
2018-06-19 14:00:00,6.78,,2.48,-4.82,7.39,46.94,26.7,70.73,-59.59,-58.31
2018-06-19 20:00:00,5.83,,1.34,-5.21,6.68,49.06,79.62,68.77,-59.86,-58.59
2018-06-20 02:00:00,8.84,,4.24,-2.22,6.4,40.92,0.0,35.44,-58.58,-57.27
2018-06-20 08:00:00,8.07,,3.7,-2.68,6.34,42.24,14.76,31.46,-58.75,-57.44
2018-06-20 14:00:00,5.92,,1.87,-4.39,6.34,47.81,84.61,33.12,-59.48,-58.19
2018-06-20 20:00:00,5.67,,1.98,-4.29,6.34,47.86,85.3,61.56,-59.48,-58.2
2018-06-21 02:00:00,5.21,,1.85,-4.34,6.27,48.64,100.0,89.97,-59.58,-58.3
2018-06-21 08:00:00,6.66,,3.53,-2.73,6.23,43.86,25.32,70.21,-58.92,-57.61
2018-06-21 14:00:00,6.39,,3.5,-2.76,6.24,43.9,0.78,42.04,-58.92,-57.62
2018-06-21 20:00:00,5.92,,3.28,-2.97,6.24,44.73,18.21,14.77,-59.01,-57.71
2018-06-22 02:00:00,8.85,,6.62,-0.43,6.83,36.62,0.0,6.33,-57.74,-56.4
2018-06-22 08:00:00,14.54,,14.06,3.21,9.99,27.26,0.0,6.07,-55.3,-53.88
2018-06-22 14:00:00,17.9,,19.76,4.09,14.0,23.41,0.0,-0.0,-53.7,-52.23
2018-06-22 20:00:00,18.16,,21.99,2.6,17.27,22.59,0.0,-0.0,-53.31,-51.83
2018-06-23 02:00:00,18.84,,24.54,1.58,20.31,21.45,0.0,-0.0,-52.73,-51.24
2018-06-23 08:00:00,17.83,,24.95,-0.52,22.7,22.28,14.16,4.72,-52.85,-51.35
2018-06-23 14:00:00,18.88,,27.14,-1.06,24.95,20.77,0.0,4.72,-52.12,-50.6
2018-06-23 20:00:00,18.31,,27.14,-2.69,26.58,20.63,0.0,4.72,-52.05,-50.53
2018-06-24 02:00:00,27.21,,38.71,1.88,30.61,14.84,0.0,-0.0,-47.99,-46.34
2018-06-24 08:00:00,23.08,,34.84,-2.94,32.59,22.0,96.28,32.09,-49.29,-47.69
2018-06-24 14:00:00,18.69,,30.04,-7.15,33.37,29.71,100.0,65.43,-50.79,-49.23
2018-06-24 20:00:00,17.89,,28.73,-8.22,33.51,29.86,100.0,98.76,-50.81,-49.25
2018-06-25 02:00:00,17.83,,28.62,-8.82,34.07,29.22,95.78,98.59,-50.54,-48.97
2018-06-25 08:00:00,13.45,,23.27,-12.21,33.62,37.74,100.0,98.59,-52.15,-50.63
2018-06-25 14:00:00,13.6,,22.3,-11.81,32.41,36.83,89.26,95.01,-51.85,-50.32
2018-06-25 20:00:00,14.19,,21.54,-10.9,30.8,35.34,71.8,87.02,-51.35,-49.81
2018-06-26 02:00:00,12.46,,17.84,-11.35,28.27,38.18,100.0,87.02,-51.87,-50.35
2018-06-26 08:00:00,13.93,,17.65,-9.35,25.93,35.39,1.7,57.83,-51.0,-49.45
2018-06-26 14:00:00,15.73,,17.37,-6.78,22.94,32.42,0.0,33.9,-49.95,-48.36
2018-06-26 20:00:00,20.12,,19.14,-1.84,19.31,27.46,0.0,0.57,-47.7,-46.04
2018-06-27 02:00:00,18.81,,15.47,-1.47,15.83,28.65,11.1,3.7,-47.93,-46.28
2018-06-27 08:00:00,14.32,,10.01,-4.3,13.91,37.0,100.0,37.03,-49.64,-48.05
2018-06-27 14:00:00,10.86,,6.29,-6.6,12.91,42.92,100.0,70.37,-50.97,-49.42
2018-06-27 20:00:00,10.65,,5.79,-6.22,12.04,42.6,97.92,99.31,-50.87,-49.32
2018-06-28 02:00:00,12.22,,7.19,-4.48,11.52,39.62,76.84,91.59,-49.96,-48.37
2018-06-28 08:00:00,12.97,,7.7,-3.42,10.89,37.9,15.2,63.32,-49.39,-47.78
2018-06-28 14:00:00,11.15,,5.95,-4.57,10.45,40.86,58.86,50.3,-49.99,-48.41
2018-06-28 20:00:00,18.28,,13.54,0.94,11.75,31.87,0.0,24.69,-46.45,-44.76
2018-06-29 02:00:00,16.0,,12.15,-0.76,12.21,34.9,33.67,30.84,-47.19,-45.51
2018-06-29 08:00:00,17.9,,15.22,0.29,13.85,32.4,5.87,13.18,-45.99,-44.28
2018-06-29 14:00:00,16.35,,14.45,-1.43,14.9,34.08,24.59,21.38,-46.39,-44.7
2018-06-29 20:00:00,8.37,,6.77,-7.92,14.77,47.42,100.0,43.49,-49.92,-48.33
2018-06-30 02:00:00,4.26,,3.21,-11.34,15.17,53.26,100.0,74.86,-51.73,-50.2
2018-06-30 08:00:00,3.97,,2.96,-11.39,14.98,53.45,100.0,100.0,-51.79,-50.26
2018-06-30 14:00:00,6.2,,5.07,-9.17,14.54,49.37,78.94,92.98,-50.64,-49.08
2018-06-30 20:00:00,4.84,,3.86,-10.16,14.47,51.24,63.29,80.74,-51.18,-49.64
2018-07-01 02:00:00,5.83,,4.69,-8.98,13.97,49.17,0.0,47.41,-50.61,-49.04
2018-07-01 08:00:00,5.45,,4.46,-9.09,13.87,49.45,6.41,23.23,-50.68,-49.12
2018-07-01 14:00:00,6.74,,6.01,-7.74,13.87,46.74,0.0,2.14,-49.95,-48.36
2018-07-01 20:00:00,5.58,,5.18,-8.15,13.53,48.56,40.42,15.61,-50.39,-48.82
2018-07-02 02:00:00,6.59,,6.47,-6.69,13.17,46.26,0.0,13.47,-49.79,-48.2
2018-07-02 08:00:00,4.81,,5.01,-8.03,13.23,49.47,100.0,46.81,-50.54,-48.97
2018-07-02 14:00:00,-1.24,,-0.14,-13.83,14.72,60.14,100.0,66.67,-53.41,-51.94
2018-07-02 20:00:00,-1.72,,0.3,-14.75,16.22,61.0,100.0,100.0,-53.67,-52.21
2018-07-03 02:00:00,-4.6,,-1.08,-18.12,18.85,65.58,100.0,100.0,-55.12,-53.69
2018-07-03 08:00:00,-2.21,,2.29,-16.22,19.89,59.86,64.48,88.16,-54.04,-52.58
2018-07-03 14:00:00,-2.4,,2.91,-16.55,20.88,60.32,8.0,57.49,-54.17,-52.72
2018-07-03 20:00:00,-0.67,,4.92,-14.02,19.85,56.31,0.0,24.16,-53.37,-51.9
2018-07-04 02:00:00,0.36,,6.08,-12.09,18.73,53.99,0.0,2.67,-52.88,-51.39
2018-07-04 08:00:00,-1.27,,4.06,-11.9,16.61,57.06,48.55,16.18,-53.67,-52.2
2018-07-04 14:00:00,-2.64,,2.26,-11.48,14.41,59.69,90.08,46.21,-54.36,-52.92
2018-07-04 20:00:00,-0.96,,4.17,-9.44,13.98,55.63,28.64,55.76,-53.59,-52.12
