timestamp,ema50_dist_neo_btc_1D,ema200_dist_neo_btc_1D,upper_bb_dist_neo_btc_1D,lower_bb_dist_neo_btc_1D,width_bb_neo_btc_1D,rsi_neo_btc_1D,stoch_rsi_fastk_neo_btc_1D,stoch_rsi_fastd_neo_btc_1D,kijun_dist_neo_btc_1D,tenkan_dist_neo_btc_1D
2017-12-19 01:00:00,,,,,,,,,-48.97,-47.78
2017-12-20 01:00:00,,,,,,,,,-55.66,-54.62
2017-12-21 01:00:00,,,,,,,,,-54.86,-53.8
2017-12-22 01:00:00,,,,,,,,,-50.18,-49.02
2017-12-23 01:00:00,,,,,,,,,-50.73,-49.58
2017-12-24 01:00:00,,,,,,,,,-52.53,-51.42
2017-12-25 01:00:00,,,,,,,,,-57.14,-56.14
2017-12-26 01:00:00,,,,,,,,,-50.7,-49.54
2017-12-27 01:00:00,,,,,,,,,-52.19,-51.07
2017-12-28 01:00:00,,,,,,,,,-54.78,-53.72
2017-12-29 01:00:00,,,,,,,,,-60.02,-59.08
2017-12-30 01:00:00,,,,,,,,,-64.35,-63.52
2017-12-31 01:00:00,,,,,,,,,-62.41,-61.53
2018-01-01 01:00:00,,,,,,,,,-64.95,-64.13
2018-01-02 01:00:00,,,,,,70.97,,,-66.31,-65.52
2018-01-03 01:00:00,,,,,,75.49,,,-70.41,-69.72
2018-01-04 01:00:00,,,,,,69.29,,,-68.36,-67.62
2018-01-05 01:00:00,,,,,,59.18,,,-63.44,-62.59
2018-01-06 01:00:00,,,,,,61.0,,,-65.06,-64.24
2018-01-07 01:00:00,,,10.07,-46.26,68.77,63.82,,,-67.39,-66.62
2018-01-08 01:00:00,,,4.78,-49.05,69.14,66.91,76.48,38.7,-69.81,-69.1
2018-01-09 01:00:00,,,-10.77,-64.29,85.67,75.79,100.0,68.31,-76.7,-76.15
2018-01-10 01:00:00,,,0.61,-62.41,91.2,69.98,60.69,79.06,-75.06,-74.48
2018-01-11 01:00:00,,,5.59,-60.73,91.57,68.97,43.04,67.91,-74.75,-74.16
2018-01-12 01:00:00,,,0.55,-63.86,94.25,72.47,62.56,55.43,-77.1,-76.57
2018-01-13 01:00:00,,,-2.41,-67.18,99.33,75.5,95.68,67.09,-79.09,-78.6
2018-01-14 01:00:00,,,-13.68,-78.48,120.17,82.33,100.0,86.08,-83.71,-83.33
2018-01-15 01:00:00,,,-12.66,-83.6,136.75,84.72,100.0,98.56,-85.39,-85.05
2018-01-16 01:00:00,,,1.91,-81.36,138.15,75.24,22.58,74.19,-83.96,-83.58
2018-01-17 01:00:00,,,6.23,-80.17,137.06,75.48,2.58,41.72,-84.09,-83.71
2018-01-18 01:00:00,,,12.07,-78.16,134.76,74.04,0.0,8.39,-83.85,-83.47
2018-01-19 01:00:00,,,20.38,-75.04,131.31,69.81,0.0,0.86,-83.1,-82.71
2018-01-20 01:00:00,,,26.38,-70.83,124.98,66.91,0.0,-0.0,-82.54,-82.13
2018-01-21 01:00:00,,,30.4,-66.73,118.69,65.16,0.0,-0.0,-82.18,-81.76
2018-01-22 01:00:00,,,31.36,-63.12,112.31,65.2,0.47,0.16,-82.19,-81.78
2018-01-23 01:00:00,,,34.32,-59.67,107.63,63.81,0.0,0.16,-81.93,-81.51
2018-01-24 01:00:00,,,26.85,-58.54,101.48,67.19,100.0,33.49,-83.07,-82.67
2018-01-25 01:00:00,,,24.32,-53.5,91.12,68.1,100.0,66.67,-83.36,-82.97
2018-01-26 01:00:00,,,22.61,-47.57,80.19,68.43,100.0,100.0,-83.46,-83.08
2018-01-27 01:00:00,,,21.7,-40.78,69.06,67.73,84.9,94.97,-83.37,-82.98
2018-01-28 01:00:00,,,14.37,-37.51,58.66,70.65,100.0,94.97,-84.18,-83.81
2018-01-29 01:00:00,,,1.96,-44.27,58.64,77.46,100.0,94.97,-86.26,-85.94
2018-01-30 01:00:00,,,7.23,-37.74,53.06,71.26,36.23,78.74,-85.6,-85.27
2018-01-31 01:00:00,,,6.94,-32.11,44.68,70.46,28.03,54.75,-85.51,-85.17
2018-02-01 01:00:00,,,9.07,-24.96,36.97,66.4,0.0,21.42,-85.03,-84.68
2018-02-02 01:00:00,,,8.46,-20.61,30.95,65.78,0.0,9.34,-84.95,-84.6
2018-02-03 01:00:00,,,9.74,-19.87,31.19,64.88,0.0,-0.0,-84.85,-84.49
2018-02-04 01:00:00,,,12.8,-16.79,30.19,60.46,0.0,-0.0,-84.3,-83.93
2018-02-05 01:00:00,,,24.21,-9.1,30.97,50.97,0.0,-0.0,-82.71,-82.3
2018-02-06 01:00:00,-31.89,,9.11,-20.48,31.37,60.43,63.89,21.3,-84.87,-84.52
2018-02-07 01:00:00,-29.91,,10.71,-19.47,31.56,59.36,60.28,41.39,-84.71,-84.35
2018-02-08 01:00:00,-31.65,,6.87,-22.54,31.91,62.31,100.0,74.72,-85.37,-85.03
2018-02-09 01:00:00,-26.22,,13.7,-16.53,30.67,56.21,46.22,68.83,-84.44,-84.07
