timestamp,ema50_dist_neo_btc_6h,ema200_dist_neo_btc_6h,upper_bb_dist_neo_btc_6h,lower_bb_dist_neo_btc_6h,width_bb_neo_btc_6h,rsi_neo_btc_6h,stoch_rsi_fastk_neo_btc_6h,stoch_rsi_fastd_neo_btc_6h,kijun_dist_neo_btc_6h,tenkan_dist_neo_btc_6h
2018-10-24 20:00:00,,,,,,,,,-18.63,-18.11
2018-10-25 02:00:00,,,,,,,,,-18.03,-17.5
2018-10-25 08:00:00,,,,,,,,,-17.77,-17.24
2018-10-25 14:00:00,,,,,,,,,-17.67,-17.14
2018-10-25 20:00:00,,,,,,,,,-17.8,-17.27
2018-10-26 02:00:00,,,,,,,,,-17.25,-16.72
2018-10-26 08:00:00,,,,,,,,,-16.16,-15.62
2018-10-26 14:00:00,,,,,,,,,-16.13,-15.59
2018-10-26 20:00:00,,,,,,,,,-16.09,-15.56
2018-10-27 02:00:00,,,,,,,,,-16.06,-15.52
2018-10-27 08:00:00,,,,,,,,,-16.39,-15.86
2018-10-27 14:00:00,,,,,,,,,-15.49,-14.94
2018-10-27 20:00:00,,,,,,,,,-15.25,-14.7
2018-10-28 02:00:00,,,,,,,,,-15.45,-14.91
2018-10-28 07:00:00,,,,,,20.41,,,-15.79,-15.25
2018-10-28 13:00:00,,,,,,25.84,,,-16.13,-15.59
2018-10-28 19:00:00,,,,,,24.75,,,-15.93,-15.39
2018-10-29 01:00:00,,,,,,23.85,,,-15.76,-15.22
2018-10-29 07:00:00,,,,,,19.93,,,-14.9,-14.36
2018-10-29 13:00:00,,,6.54,0.53,5.81,15.19,,,-13.36,-12.8
2018-10-29 19:00:00,,,5.63,-0.25,5.73,21.15,62.36,20.79,-13.82,-13.27
2018-10-30 01:00:00,,,5.91,-0.16,5.9,19.88,54.16,38.84,-13.43,-12.88
2018-10-30 07:00:00,,,6.22,-0.11,6.15,18.67,58.34,58.29,-13.04,-12.48
2018-10-30 13:00:00,,,6.42,-0.14,6.37,17.72,42.39,51.63,-12.71,-12.15
2018-10-30 19:00:00,,,5.83,-0.57,6.24,20.15,70.83,57.18,-12.89,-12.33
2018-10-31 01:00:00,,,5.61,-0.73,6.19,19.9,89.58,67.6,-12.82,-12.26
2018-10-31 07:00:00,,,5.36,-1.11,6.34,21.49,100.0,86.8,-12.93,-12.37
2018-10-31 13:00:00,,,4.97,-1.5,6.36,24.2,100.0,96.53,-13.11,-12.55
2018-10-31 19:00:00,,,4.31,-2.0,6.24,29.44,100.0,100.0,-13.47,-12.91
2018-11-01 01:00:00,,,4.55,-1.67,6.14,27.21,76.64,92.21,-13.07,-12.52
2018-11-01 07:00:00,,,3.79,-2.02,5.76,31.76,100.0,92.21,-13.4,-12.84
2018-11-01 13:00:00,,,3.94,-1.79,5.67,29.97,76.28,84.31,-13.11,-12.55
2018-11-01 19:00:00,,,1.74,-3.8,5.6,49.54,100.0,92.09,-14.9,-14.36
2018-11-02 01:00:00,,,0.44,-5.26,5.84,58.38,100.0,92.09,-16.13,-15.59
2018-11-02 07:00:00,,,0.52,-5.3,5.96,58.38,100.0,100.0,-16.13,-15.59
2018-11-02 13:00:00,,,0.39,-5.47,6.02,59.3,100.0,100.0,-16.26,-15.72
2018-11-02 19:00:00,,,-0.25,-6.55,6.52,64.38,100.0,100.0,-17.05,-16.52
2018-11-03 01:00:00,,,0.22,-6.5,6.94,62.62,70.77,90.26,-16.89,-16.36
2018-11-03 07:00:00,,,1.01,-6.1,7.3,58.19,0.0,56.92,-16.46,-15.92
2018-11-03 13:00:00,,,1.59,-5.73,7.48,55.57,0.0,23.59,-16.19,-15.66
2018-11-03 19:00:00,,,1.99,-5.49,7.62,53.95,0.0,0.0,-16.03,-15.49
2018-11-04 01:00:00,,,2.71,-4.79,7.58,49.28,0.0,0.0,-15.52,-14.98
2018-11-04 07:00:00,,,-0.39,-8.53,8.52,68.47,100.0,33.33,-18.72,-18.2
2018-11-04 13:00:00,,,-0.57,-9.61,9.53,71.76,100.0,66.67,-19.59,-19.08
2018-11-04 19:00:00,,,0.4,-9.25,10.09,69.53,90.08,96.69,-19.35,-18.83
2018-11-05 01:00:00,,,2.41,-7.25,9.89,58.3,40.15,76.74,-17.9,-17.37
2018-11-05 07:00:00,,,2.25,-7.17,9.65,59.67,10.19,46.81,-18.19,-17.66
2018-11-05 13:00:00,,,3.31,-5.74,9.16,54.13,0.0,16.78,-17.35,-16.82
2018-11-05 19:00:00,,,3.45,-5.14,8.66,53.31,0.0,3.4,-17.22,-16.69
2018-11-06 01:00:00,-2.52,,2.43,-5.41,7.96,57.48,65.44,21.81,-17.99,-17.47
2018-11-06 07:00:00,-4.28,,0.63,-6.81,7.68,64.8,100.0,55.15,-19.63,-19.11
2018-11-06 13:00:00,-3.58,,1.11,-5.48,6.74,61.51,71.35,78.93,-19.16,-18.64
2018-11-06 19:00:00,-4.43,,0.36,-6.21,6.77,65.07,100.0,90.45,-20.02,-19.51
2018-11-07 01:00:00,-2.98,,1.89,-4.71,6.69,57.68,2.64,58.0,-18.91,-18.39
2018-11-07 07:00:00,-2.32,,2.52,-3.91,6.47,54.88,0.0,34.21,-18.44,-17.92
2018-11-07 13:00:00,-2.08,,2.68,-3.53,6.24,54.12,0.0,0.88,-18.31,-17.79
