timestamp,ema50_dist_neo_usd_1D,ema200_dist_neo_usd_1D,upper_bb_dist_neo_usd_1D,lower_bb_dist_neo_usd_1D,width_bb_neo_usd_1D,rsi_neo_usd_1D,stoch_rsi_fastk_neo_usd_1D,stoch_rsi_fastd_neo_usd_1D,kijun_dist_neo_usd_1D,tenkan_dist_neo_usd_1D
2017-12-19 01:00:00,,,,,,,,,-88.83,-89.19
2017-12-20 01:00:00,,,,,,,,,-89.76,-90.09
2017-12-21 01:00:00,,,,,,,,,-89.14,-89.49
2017-12-22 01:00:00,,,,,,,,,-85.53,-86.0
2017-12-23 01:00:00,,,,,,,,,-86.33,-86.77
2017-12-24 01:00:00,,,,,,,,,-86.59,-87.02
2017-12-25 01:00:00,,,,,,,,,-88.12,-88.5
2017-12-26 01:00:00,,,,,,,,,-88.03,-88.42
2017-12-27 01:00:00,,,,,,,,,-88.23,-88.61
2017-12-28 01:00:00,,,,,,,,,-88.0,-88.39
2017-12-29 01:00:00,,,,,,,,,-89.35,-89.7
2017-12-30 01:00:00,,,,,,,,,-88.98,-89.33
2017-12-31 01:00:00,,,,,,,,,-89.61,-89.95
2018-01-01 01:00:00,,,,,,,,,-90.06,-90.38
2018-01-02 01:00:00,,,,,,63.23,,,-91.23,-91.51
2018-01-03 01:00:00,,,,,,70.3,,,-92.56,-92.8
2018-01-04 01:00:00,,,,,,64.33,,,-92.02,-92.28
2018-01-05 01:00:00,,,,,,62.03,,,-91.78,-92.04
2018-01-06 01:00:00,,,,,,64.68,,,-92.24,-92.49
2018-01-07 01:00:00,,,6.59,-54.45,80.24,64.85,,,-92.27,-92.52
2018-01-08 01:00:00,,,9.99,-54.24,82.48,64.51,87.93,51.34,-92.24,-92.49
2018-01-09 01:00:00,,,-5.83,-66.65,95.39,74.65,100.0,74.02,-93.84,-94.04
2018-01-10 01:00:00,,,2.33,-66.67,101.72,71.44,68.27,85.4,-93.65,-93.86
2018-01-11 01:00:00,,,18.69,-58.38,96.16,60.12,0.0,56.09,-92.73,-92.96
2018-01-12 01:00:00,,,6.65,-61.73,94.38,66.06,40.87,36.38,-93.67,-93.88
2018-01-13 01:00:00,,,-0.36,-64.95,95.91,70.59,72.03,37.63,-94.37,-94.55
2018-01-14 01:00:00,,,-9.09,-72.85,108.02,76.72,100.0,70.97,-95.32,-95.47
2018-01-15 01:00:00,,,-11.04,-78.67,122.65,80.34,100.0,90.68,-95.89,-96.02
2018-01-16 01:00:00,,,21.78,-68.22,117.21,59.37,0.0,66.67,-94.47,-94.65
2018-01-17 01:00:00,,,20.03,-65.49,110.67,60.35,4.71,34.9,-94.64,-94.81
2018-01-18 01:00:00,,,25.87,-60.63,104.7,58.45,0.0,1.57,-94.43,-94.61
2018-01-19 01:00:00,,,26.86,-55.94,96.88,58.21,0.0,1.57,-94.4,-94.59
2018-01-20 01:00:00,,,19.0,-55.01,90.26,60.98,100.0,33.33,-94.8,-94.96
2018-01-21 01:00:00,,,33.82,-44.2,82.29,54.5,0.0,33.33,-94.11,-94.3
2018-01-22 01:00:00,,,42.82,-36.44,76.81,51.42,0.0,33.33,-93.68,-93.88
2018-01-23 01:00:00,,,43.01,-34.73,74.65,51.34,0.0,0.0,-93.66,-93.87
2018-01-24 01:00:00,,,27.48,-38.98,70.51,56.09,49.28,16.43,-94.35,-94.54
2018-01-25 01:00:00,,,27.67,-34.95,64.98,55.77,93.27,47.52,-94.32,-94.5
2018-01-26 01:00:00,,,27.06,-31.81,60.31,55.81,94.11,78.88,-94.33,-94.51
2018-01-27 01:00:00,,,22.91,-30.19,55.11,57.16,100.0,95.79,-94.48,-94.66
2018-01-28 01:00:00,,,12.73,-32.08,49.6,61.2,100.0,98.04,-94.93,-95.09
2018-01-29 01:00:00,,,5.59,-37.51,51.28,65.18,100.0,100.0,-95.35,-95.5
2018-01-30 01:00:00,,,23.33,-25.66,49.56,54.75,0.0,66.67,-94.57,-94.75
2018-01-31 01:00:00,,,19.93,-23.02,43.62,55.55,7.71,35.9,-94.66,-94.84
2018-02-01 01:00:00,,,39.37,-10.11,43.17,48.07,0.0,2.57,-93.79,-93.99
2018-02-02 01:00:00,,,44.66,-8.93,45.46,46.7,0.0,2.57,-93.58,-93.79
2018-02-03 01:00:00,,,38.46,-12.24,44.82,47.95,14.14,4.71,-93.75,-93.95
2018-02-04 01:00:00,,,52.65,3.45,38.43,42.13,0.0,4.71,-92.71,-92.94
2018-02-05 01:00:00,,,106.48,20.09,52.91,35.61,0.0,4.71,-90.5,-90.8
2018-02-06 01:00:00,5.57,,61.32,-9.63,56.38,44.14,69.12,23.04,-92.56,-92.8
2018-02-07 01:00:00,7.98,,65.58,-11.05,60.21,43.42,63.28,44.13,-92.37,-92.62
2018-02-08 01:00:00,-0.07,,52.5,-19.59,61.9,46.35,100.0,77.47,-92.94,-93.17
2018-02-09 01:00:00,-3.71,,44.49,-23.45,61.48,47.88,100.0,87.76,-93.21,-93.43
2018-02-10 01:00:00,2.68,,53.82,-20.18,63.34,45.54,47.6,82.53,-92.75,-92.98
2018-02-11 01:00:00,8.25,,62.92,-17.98,66.05,43.69,6.12,51.24,-92.33,-92.58
2018-02-12 01:00:00,-1.43,,48.09,-26.2,66.96,47.63,94.06,49.26,-93.02,-93.25
2018-02-13 01:00:00,1.55,,51.28,-25.29,67.77,46.47,66.25,55.48,-92.81,-93.04
2018-02-14 01:00:00,-9.4,,33.32,-33.79,67.27,51.65,100.0,86.77,-93.61,-93.82
2018-02-15 01:00:00,-8.35,,33.15,-33.43,66.67,51.28,95.36,87.2,-93.56,-93.77
2018-02-16 01:00:00,-12.54,,25.03,-36.63,65.45,53.77,100.0,98.45,-93.89,-94.09
2018-02-17 01:00:00,-16.09,,16.42,-38.55,61.8,56.13,100.0,98.45,-94.18,-94.37
2018-02-18 01:00:00,-9.7,,17.26,-30.08,50.58,52.14,17.73,72.58,-93.77,-93.97
2018-02-19 01:00:00,-16.5,,6.45,-35.29,48.78,56.36,100.0,72.58,-94.28,-94.47
2018-02-20 01:00:00,-8.49,,12.94,-27.76,43.97,51.41,0.0,39.24,-93.76,-93.96
2018-02-21 01:00:00,-2.85,,19.1,-23.41,43.45,48.56,0.0,33.33,-93.38,-93.6
2018-02-22 01:00:00,2.51,,25.25,-19.44,43.43,46.12,0.0,0.0,-93.01,-93.24
2018-02-23 01:00:00,-3.76,,16.88,-24.45,42.96,49.37,31.69,10.56,-93.45,-93.66
2018-02-24 01:00:00,-0.58,,20.87,-21.4,42.37,47.8,31.65,21.11,-93.23,-93.45
2018-02-25 01:00:00,-1.77,,16.33,-16.42,32.77,48.49,72.85,45.4,-93.32,-93.53
2018-02-26 01:00:00,-14.2,,2.55,-26.91,33.54,56.04,100.0,68.17,-94.2,-94.39
2018-02-27 01:00:00,-16.95,,0.34,-29.05,34.31,58.12,100.0,90.95,-94.44,-94.62
2018-02-28 01:00:00,-11.11,,7.72,-23.72,34.17,53.94,59.53,86.51,-94.08,-94.27
2018-03-01 01:00:00,-8.85,,10.62,-21.57,34.06,52.62,42.92,67.48,-93.95,-94.14
2018-03-02 01:00:00,-4.98,,14.88,-16.91,32.11,50.23,0.0,34.15,-93.71,-93.91
2018-03-03 01:00:00,-2.77,,16.18,-12.24,27.87,48.95,0.0,14.31,-93.57,-93.77
2018-03-04 01:00:00,-1.42,,17.42,-10.1,26.55,48.16,0.0,-0.0,-93.48,-93.69
2018-03-05 01:00:00,5.62,,25.73,-2.87,25.67,44.2,0.0,-0.0,-93.0,-93.23
2018-03-06 01:00:00,12.41,,35.7,0.87,29.45,41.02,0.0,-0.0,-92.52,-92.76
2018-03-07 01:00:00,16.49,,43.03,1.43,34.03,39.23,0.0,-0.0,-92.2,-92.45
2018-03-08 01:00:00,27.2,,59.82,5.38,41.06,35.6,0.0,-0.0,-91.41,-91.69
2018-03-09 01:00:00,24.21,,57.21,-0.73,45.18,36.59,11.59,3.86,-91.54,-91.82
2018-03-10 01:00:00,33.82,,72.87,1.54,51.99,33.69,0.0,3.86,-90.8,-91.09
2018-03-11 01:00:00,24.1,,59.58,-8.14,53.86,37.88,75.58,29.06,-91.4,-91.67
2018-03-12 01:00:00,30.98,,70.06,-6.81,58.4,35.6,45.46,40.35,-90.83,-91.13
2018-03-13 01:00:00,32.88,,74.83,-9.25,63.31,34.76,25.6,48.88,-90.61,-90.91
2018-03-14 01:00:00,52.4,,105.94,-2.7,71.65,30.43,0.0,23.69,-89.07,-89.43
2018-03-15 01:00:00,55.2,,113.77,-7.72,79.39,29.65,0.0,8.53,-88.71,-89.08
2018-03-16 01:00:00,56.83,,119.99,-13.24,86.87,29.04,0.0,-0.0,-88.42,-88.8
2018-03-17 01:00:00,71.63,,145.52,-13.39,95.69,26.71,0.0,-0.0,-87.12,-87.53
2018-03-18 01:00:00,56.51,,121.38,-24.62,98.39,30.98,100.0,33.33,-88.08,-88.46
2018-03-19 01:00:00,39.38,,90.33,-32.3,95.05,36.81,100.0,66.67,-89.26,-89.61
2018-03-20 01:00:00,32.77,,75.52,-34.69,91.52,39.01,100.0,100.0,-89.67,-90.0
2018-03-21 01:00:00,36.77,,74.54,-31.51,87.27,37.53,87.96,95.99,-89.24,-89.59
2018-03-22 01:00:00,41.48,,74.54,-28.04,83.23,35.95,61.83,83.26,-88.73,-89.1
2018-03-23 01:00:00,40.16,,66.18,-26.68,77.55,35.87,0.0,49.93,-88.71,-89.07
2018-03-24 01:00:00,46.73,,65.92,-20.29,70.2,33.86,0.0,20.61,-88.03,-88.41
2018-03-25 01:00:00,44.9,,57.3,-18.77,63.78,33.85,0.0,-0.0,-88.03,-88.41
2018-03-26 02:00:00,57.22,,66.1,-11.08,60.53,30.81,0.0,-0.0,-86.82,-87.24
2018-03-27 02:00:00,65.02,,70.67,-6.7,58.62,29.07,0.0,-0.0,-85.94,-86.39
2018-03-28 02:00:00,57.99,,62.01,-11.42,58.61,30.91,38.38,12.79,-86.34,-86.78
2018-03-29 02:00:00,71.46,,73.8,-5.04,58.66,28.29,0.0,12.79,-84.92,-85.41
2018-03-30 02:00:00,73.57,,76.31,-6.41,61.3,27.59,0.0,12.79,-84.47,-84.97
2018-03-31 02:00:00,71.42,,70.12,-7.16,58.78,27.48,0.0,-0.0,-84.4,-84.9
2018-04-01 02:00:00,78.24,,74.9,-4.6,58.82,26.1,0.0,-0.0,-83.49,-84.02
2018-04-02 02:00:00,69.45,,63.29,-9.01,56.87,28.39,100.0,33.33,-84.04,-84.56
2018-04-03 02:00:00,52.75,,47.32,-18.22,57.22,34.54,100.0,66.67,-85.41,-85.88
2018-04-04 02:00:00,68.78,,64.43,-11.59,60.13,30.88,56.73,85.58,-83.61,-84.14
2018-04-05 02:00:00,68.08,,65.45,-13.83,63.01,30.54,52.66,69.8,-83.41,-83.95
2018-04-06 02:00:00,73.0,,73.68,-13.72,67.24,29.27,14.25,41.21,-82.63,-83.19
2018-04-07 02:00:00,65.04,,67.13,-19.26,69.71,31.35,39.47,35.46,-83.16,-83.71
2018-04-08 02:00:00,52.78,,52.53,-24.56,67.63,35.68,100.0,51.24,-84.19,-84.7
2018-04-09 02:00:00,40.91,,36.16,-27.68,61.25,40.4,100.0,79.82,-85.25,-85.73
2018-04-10 02:00:00,39.73,,30.95,-25.57,55.04,40.26,98.68,99.56,-85.2,-85.68
2018-04-11 02:00:00,25.09,,14.65,-31.14,49.9,47.45,100.0,99.56,-86.65,-87.08
2018-04-12 02:00:00,8.72,,-0.88,-39.42,48.26,56.05,100.0,99.56,-88.36,-88.73
2018-04-13 02:00:00,16.29,,5.65,-34.31,46.64,51.09,68.64,89.55,-87.47,-87.88
2018-04-14 02:00:00,12.4,,2.21,-36.01,45.98,52.87,79.86,82.83,-87.84,-88.23
2018-04-15 02:00:00,1.65,,-3.83,-44.11,52.97,58.69,100.0,82.83,-88.99,-89.35
2018-04-16 02:00:00,7.13,,4.14,-41.73,56.48,54.58,45.95,75.27,-88.37,-88.74
2018-04-17 02:00:00,9.01,,8.09,-40.97,58.71,53.14,26.93,57.62,-88.12,-88.51
2018-04-18 02:00:00,-1.92,,1.03,-47.87,63.85,59.36,100.0,57.62,-89.32,-89.67
2018-04-19 02:00:00,-3.19,,3.16,-48.95,67.57,60.17,100.0,75.64,-89.48,-89.82
