timestamp,ema50_dist_neo_usd_6h,ema200_dist_neo_usd_6h,upper_bb_dist_neo_usd_6h,lower_bb_dist_neo_usd_6h,width_bb_neo_usd_6h,rsi_neo_usd_6h,stoch_rsi_fastk_neo_usd_6h,stoch_rsi_fastd_neo_usd_6h,kijun_dist_neo_usd_6h,tenkan_dist_neo_usd_6h
2018-06-06 20:00:00,,,,,,,,,-85.98,-85.92
2018-06-07 02:00:00,,,,,,,,,-86.11,-86.04
2018-06-07 08:00:00,,,,,,,,,-85.98,-85.92
2018-06-07 14:00:00,,,,,,,,,-85.92,-85.85
2018-06-07 20:00:00,,,,,,,,,-85.92,-85.86
2018-06-08 02:00:00,,,,,,,,,-85.59,-85.52
2018-06-08 08:00:00,,,,,,,,,-85.54,-85.47
2018-06-08 14:00:00,,,,,,,,,-85.68,-85.61
2018-06-08 20:00:00,,,,,,,,,-85.59,-85.52
2018-06-09 02:00:00,,,,,,,,,-85.76,-85.69
2018-06-09 08:00:00,,,,,,,,,-85.7,-85.63
2018-06-09 14:00:00,,,,,,,,,-85.46,-85.38
2018-06-09 20:00:00,,,,,,,,,-85.14,-85.07
2018-06-10 02:00:00,,,,,,,,,-84.72,-84.65
2018-06-10 08:00:00,,,,,,20.12,,,-84.6,-84.52
2018-06-10 14:00:00,,,,,,13.82,,,-83.44,-83.36
2018-06-10 20:00:00,,,,,,13.56,,,-83.37,-83.29
2018-06-11 02:00:00,,,,,,13.05,,,-83.23,-83.15
2018-06-11 08:00:00,,,,,,12.98,,,-83.21,-83.13
2018-06-11 14:00:00,,,32.32,-0.1,27.92,11.12,,,-82.65,-82.57
2018-06-11 20:00:00,,,25.49,-5.96,28.66,27.6,100.0,33.33,-83.46,-83.38
2018-06-12 02:00:00,,,26.95,-5.44,29.25,25.6,87.88,62.63,-83.15,-83.07
2018-06-12 08:00:00,,,27.63,-5.55,29.89,24.36,80.32,89.4,-82.95,-82.86
2018-06-12 14:00:00,,,29.64,-4.88,30.72,22.26,67.59,78.6,-82.56,-82.47
2018-06-12 20:00:00,,,35.09,-2.46,32.29,18.75,0.0,49.3,-81.71,-81.62
2018-06-13 02:00:00,,,35.2,-4.0,33.91,18.38,0.0,22.53,-81.61,-81.52
2018-06-13 08:00:00,,,40.16,-2.72,36.12,16.04,0.0,0.0,-80.85,-80.76
2018-06-13 14:00:00,,,44.03,-2.18,38.21,14.43,0.0,0.0,-80.19,-80.09
2018-06-13 20:00:00,,,43.1,-4.19,39.59,14.27,0.0,0.0,-80.12,-80.02
2018-06-14 02:00:00,,,34.86,-8.66,38.48,24.41,100.0,33.33,-80.89,-80.8
2018-06-14 08:00:00,,,29.83,-9.93,36.17,27.72,100.0,66.67,-81.16,-81.07
2018-06-14 14:00:00,,,24.74,-10.8,33.22,31.19,100.0,100.0,-81.43,-81.34
2018-06-14 20:00:00,,,21.58,-10.29,30.17,31.38,100.0,100.0,-81.45,-81.36
2018-06-15 02:00:00,,,22.54,-7.49,27.93,28.27,55.37,85.12,-80.9,-80.8
2018-06-15 08:00:00,,,21.07,-6.05,25.22,27.14,0.0,51.79,-80.67,-80.58
2018-06-15 14:00:00,,,19.51,-6.82,24.76,27.99,20.16,25.18,-80.73,-80.64
2018-06-15 20:00:00,,,22.44,-4.53,24.76,24.81,0.0,6.72,-80.08,-79.99
2018-06-16 02:00:00,,,20.96,-5.39,24.45,25.41,17.54,12.57,-80.13,-80.03
2018-06-16 08:00:00,,,20.09,-5.43,23.77,24.98,5.34,7.63,-80.04,-79.94
2018-06-16 14:00:00,,,18.11,-6.74,23.51,27.59,87.28,36.72,-80.21,-80.12
2018-06-16 20:00:00,,,16.22,-5.72,20.84,26.96,77.42,56.68,-80.1,-80.01
