timestamp,ema50_dist_omg_btc_1D,ema200_dist_omg_btc_1D,upper_bb_dist_omg_btc_1D,lower_bb_dist_omg_btc_1D,width_bb_omg_btc_1D,rsi_omg_btc_1D,stoch_rsi_fastk_omg_btc_1D,stoch_rsi_fastd_omg_btc_1D,kijun_dist_omg_btc_1D,tenkan_dist_omg_btc_1D
2017-12-19 01:00:00,,,,,,,,,-64.3,-68.52
2017-12-20 01:00:00,,,,,,,,,-65.84,-69.88
2017-12-21 01:00:00,,,,,,,,,-66.09,-70.1
2017-12-22 01:00:00,,,,,,,,,-61.13,-65.73
2017-12-23 01:00:00,,,,,,,,,-63.17,-67.52
2017-12-24 01:00:00,,,,,,,,,-64.5,-68.7
2017-12-25 01:00:00,,,,,,,,,-66.9,-70.82
2017-12-26 01:00:00,,,,,,,,,-61.21,-65.8
2017-12-27 01:00:00,,,,,,,,,-61.45,-66.01
2017-12-28 01:00:00,,,,,,,,,-64.61,-68.79
2017-12-29 01:00:00,,,,,,,,,-66.37,-70.34
2017-12-30 01:00:00,,,,,,,,,-71.99,-75.3
2017-12-31 01:00:00,,,,,,,,,-74.06,-77.13
2018-01-01 01:00:00,,,,,,,,,-74.09,-77.16
2018-01-02 01:00:00,,,,,,65.02,,,-72.75,-75.97
2018-01-03 01:00:00,,,,,,64.44,,,-72.57,-75.81
2018-01-04 01:00:00,,,,,,60.86,,,-71.41,-74.79
2018-01-05 01:00:00,,,,,,49.59,,,-65.93,-69.96
2018-01-06 01:00:00,,,,,,50.9,,,-66.79,-70.71
2018-01-07 01:00:00,,,0.45,-45.45,59.23,64.66,,,-75.35,-78.26
2018-01-08 01:00:00,,,-0.3,-48.88,64.42,66.68,100.0,69.5,-76.56,-79.33
2018-01-09 01:00:00,,,-4.01,-55.52,73.34,70.49,100.0,100.0,-78.75,-81.27
2018-01-10 01:00:00,,,10.29,-49.75,74.8,61.69,55.04,85.01,-76.17,-78.99
2018-01-11 01:00:00,,,9.43,-49.35,73.44,62.87,13.44,56.16,-76.84,-79.58
2018-01-12 01:00:00,,,9.36,-48.94,72.68,63.83,24.36,30.95,-77.34,-80.02
2018-01-13 01:00:00,,,3.12,-52.99,74.75,67.89,70.44,36.08,-79.39,-81.83
2018-01-14 01:00:00,,,9.91,-50.12,75.13,64.49,45.28,46.7,-78.55,-81.08
2018-01-15 01:00:00,,,16.04,-43.82,69.52,60.59,0.0,38.57,-77.44,-80.11
2018-01-16 01:00:00,,,24.14,-34.6,61.98,55.44,0.0,15.09,-75.65,-78.53
2018-01-17 01:00:00,,,15.44,-35.37,56.43,58.95,28.18,9.39,-77.33,-80.01
2018-01-18 01:00:00,,,19.91,-28.73,50.88,55.97,5.81,11.33,-76.31,-79.11
2018-01-19 01:00:00,,,17.78,-29.04,49.62,57.12,32.59,22.19,-76.82,-79.56
2018-01-20 01:00:00,,,22.98,-25.59,49.22,54.28,0.0,12.8,-75.84,-78.7
2018-01-21 01:00:00,,,27.18,-22.8,48.91,52.14,0.0,10.86,-75.03,-77.99
2018-01-22 01:00:00,,,31.06,-19.76,48.1,50.21,0.0,0.0,-74.26,-77.3
2018-01-23 01:00:00,,,27.78,-20.78,46.91,51.75,22.21,7.4,-74.88,-77.85
2018-01-24 01:00:00,,,19.73,-23.81,44.45,55.74,100.0,40.74,-76.44,-79.23
2018-01-25 01:00:00,,,14.88,-19.17,34.8,56.84,100.0,74.07,-76.85,-79.59
2018-01-26 01:00:00,,,18.72,-5.85,23.08,51.35,17.1,72.37,-75.12,-78.06
2018-01-27 01:00:00,,,24.92,-2.33,24.49,48.25,0.0,39.03,-73.91,-77.0
2018-01-28 01:00:00,,,22.11,-5.57,25.57,49.85,18.67,11.92,-74.52,-77.53
2018-01-29 01:00:00,,,16.75,-8.32,24.05,51.98,43.37,20.68,-75.28,-78.21
2018-01-30 01:00:00,,,20.66,-6.08,24.92,49.57,35.34,32.46,-74.47,-77.49
2018-01-31 01:00:00,,,12.83,-12.1,24.84,54.23,100.0,59.57,-76.08,-78.91
2018-02-01 01:00:00,,,15.74,-9.64,24.63,51.76,46.99,60.78,-75.33,-78.25
2018-02-02 01:00:00,,,13.99,-6.85,20.12,50.54,20.96,55.98,-74.95,-77.91
2018-02-03 01:00:00,,,8.49,-8.03,16.49,52.58,64.52,44.16,-75.59,-78.48
2018-02-04 01:00:00,,,16.02,-1.34,16.17,46.65,0.0,28.49,-73.65,-76.77
2018-02-05 01:00:00,,,24.99,2.58,19.7,42.54,0.0,21.51,-71.88,-75.21
2018-02-06 01:00:00,-4.99,,11.02,-7.37,18.06,50.32,77.51,25.84,-74.69,-77.69
2018-02-07 01:00:00,-1.45,,14.54,-4.49,18.12,47.85,52.92,43.47,-73.77,-76.87
2018-02-08 01:00:00,-3.42,,10.86,-6.38,16.87,49.44,88.74,73.05,-74.33,-77.36
2018-02-09 01:00:00,-6.8,,6.4,-9.88,16.57,52.33,100.0,80.55,-75.3,-78.22
2018-02-10 01:00:00,-3.01,,10.49,-6.52,16.68,49.3,32.35,73.7,-74.33,-77.36
2018-02-11 01:00:00,-3.4,,9.88,-6.96,16.6,49.74,42.17,58.18,-74.47,-77.49
2018-02-12 01:00:00,-1.91,,11.43,-5.85,16.81,48.55,0.0,24.84,-74.09,-77.16
2018-02-13 01:00:00,-6.16,,5.52,-9.86,15.72,52.56,100.0,47.39,-75.28,-78.21
2018-02-14 01:00:00,-14.14,,-3.19,-18.69,17.41,59.93,100.0,66.67,-77.54,-80.19
2018-02-15 01:00:00,-12.68,,-0.57,-18.48,19.8,58.76,89.71,96.57,-77.29,-79.98
2018-02-16 01:00:00,-18.7,,-4.75,-26.4,25.64,64.49,100.0,96.57,-79.05,-81.53
2018-02-17 01:00:00,-11.95,,3.75,-20.74,26.76,56.68,34.55,74.75,-77.44,-80.11
2018-02-18 01:00:00,-7.0,,9.54,-16.44,26.91,52.23,0.0,44.85,-76.25,-79.05
2018-02-19 01:00:00,-6.89,,9.67,-16.23,26.78,52.38,1.19,11.91,-76.29,-79.09
2018-02-20 01:00:00,-8.68,,7.5,-18.19,27.14,54.23,16.3,5.83,-76.84,-79.58
2018-02-21 01:00:00,-12.26,,3.9,-22.01,28.49,57.81,100.0,39.16,-77.87,-80.49
2018-02-22 01:00:00,-10.66,,6.17,-20.82,29.12,56.42,75.0,63.77,-77.58,-80.23
2018-02-23 01:00:00,-12.51,,4.56,-23.05,30.41,58.62,100.0,91.67,-78.17,-80.75
2018-02-24 01:00:00,-11.77,,5.73,-22.0,30.19,58.26,91.98,88.99,-78.1,-80.69
2018-02-25 01:00:00,-12.59,,4.35,-21.05,27.71,59.62,100.0,97.33,-78.43,-80.99
2018-02-26 01:00:00,-12.24,,5.07,-20.6,27.83,59.78,100.0,97.33,-78.47,-81.02
2018-02-27 01:00:00,-18.29,,-1.0,-26.39,29.42,66.75,100.0,100.0,-80.14,-82.49
2018-02-28 01:00:00,-13.19,,5.24,-21.16,28.68,59.21,11.14,70.38,-79.03,-81.51
2018-03-01 01:00:00,-11.53,,7.25,-19.25,28.19,57.51,0.0,37.05,-78.74,-81.26
2018-03-02 01:00:00,-6.9,,12.09,-13.54,25.82,52.03,0.0,3.71,-77.7,-80.34
2018-03-03 01:00:00,0.31,,20.19,-5.66,24.1,45.23,0.0,-0.0,-75.97,-78.81
2018-03-04 01:00:00,-0.38,,18.35,-4.54,21.42,45.93,4.99,1.66,-76.14,-78.96
2018-03-05 01:00:00,3.93,,23.79,-0.46,21.72,42.39,0.0,1.66,-75.07,-78.02
2018-03-06 01:00:00,5.27,,26.31,-0.91,24.16,41.27,0.0,1.66,-74.69,-77.69
2018-03-07 01:00:00,6.04,,28.16,-1.84,26.51,40.53,0.0,-0.0,-74.45,-77.47
2018-03-08 01:00:00,5.38,,26.96,-3.72,27.49,41.01,9.0,3.0,-74.56,-77.56
2018-03-09 01:00:00,-4.14,,15.17,-12.69,27.53,51.54,100.0,36.33,-76.89,-79.63
2018-03-10 01:00:00,1.29,,21.82,-8.06,27.96,46.31,52.5,53.83,-75.57,-78.46
2018-03-11 01:00:00,0.85,,21.39,-8.73,28.33,46.71,56.14,69.55,-75.67,-78.55
2018-03-12 01:00:00,2.83,,23.98,-7.64,29.23,44.84,36.38,48.34,-75.17,-78.1
2018-03-13 01:00:00,3.11,,24.16,-8.21,29.98,44.47,0.0,30.84,-75.07,-78.02
