timestamp,ema50_dist_omg_usd_1D,ema200_dist_omg_usd_1D,upper_bb_dist_omg_usd_1D,lower_bb_dist_omg_usd_1D,width_bb_omg_usd_1D,rsi_omg_usd_1D,stoch_rsi_fastk_omg_usd_1D,stoch_rsi_fastd_omg_usd_1D,kijun_dist_omg_usd_1D,tenkan_dist_omg_usd_1D
2017-12-19 01:00:00,,,,,,,,,-91.7,-93.4
2017-12-20 01:00:00,,,,,,,,,-91.71,-93.41
2017-12-21 01:00:00,,,,,,,,,-91.39,-93.15
2017-12-22 01:00:00,,,,,,,,,-88.28,-90.68
2017-12-23 01:00:00,,,,,,,,,-89.49,-91.65
2017-12-24 01:00:00,,,,,,,,,-89.54,-91.68
2017-12-25 01:00:00,,,,,,,,,-90.32,-92.3
2017-12-26 01:00:00,,,,,,,,,-90.23,-92.23
2017-12-27 01:00:00,,,,,,,,,-90.06,-92.1
2017-12-28 01:00:00,,,,,,,,,-90.17,-92.18
2017-12-29 01:00:00,,,,,,,,,-90.67,-92.58
2017-12-30 01:00:00,,,,,,,,,-91.05,-92.88
2017-12-31 01:00:00,,,,,,,,,-92.47,-94.01
2018-01-01 01:00:00,,,,,,,,,-92.29,-93.87
2018-01-02 01:00:00,,,,,,57.96,,,-92.65,-94.16
2018-01-03 01:00:00,,,,,,59.36,,,-92.82,-94.29
2018-01-04 01:00:00,,,,,,55.5,,,-92.49,-94.03
2018-01-05 01:00:00,,,,,,51.2,,,-92.06,-93.68
2018-01-06 01:00:00,,,,,,53.37,,,-92.3,-93.88
2018-01-07 01:00:00,,,-5.86,-51.41,63.82,66.97,,,-93.93,-95.17
2018-01-08 01:00:00,,,0.54,-51.7,70.19,64.6,84.96,70.52,-93.78,-95.05
2018-01-09 01:00:00,,,-0.32,-56.06,77.63,67.43,100.0,94.99,-94.12,-95.32
2018-01-10 01:00:00,,,10.74,-52.53,79.99,60.12,48.02,77.66,-93.63,-94.93
2018-01-11 01:00:00,,,20.06,-44.83,74.07,54.39,0.0,49.34,-93.11,-94.52
2018-01-12 01:00:00,,,15.4,-44.85,70.65,57.11,20.92,22.98,-93.44,-94.78
2018-01-13 01:00:00,,,4.5,-49.55,69.75,63.61,70.74,30.55,-94.21,-95.4
2018-01-14 01:00:00,,,14.8,-42.73,66.87,57.2,30.53,40.73,-93.7,-94.99
2018-01-15 01:00:00,,,20.35,-36.76,62.22,54.13,0.0,33.76,-93.4,-94.75
2018-01-16 01:00:00,,,59.41,-13.32,59.11,41.61,0.0,10.18,-91.19,-92.99
2018-01-17 01:00:00,,,45.08,-16.94,54.37,45.17,16.16,5.39,-91.9,-93.56
2018-01-18 01:00:00,,,52.43,-10.55,52.08,43.27,10.63,8.93,-91.44,-93.19
2018-01-19 01:00:00,,,41.89,-14.38,49.47,46.2,36.62,21.14,-91.98,-93.62
2018-01-20 01:00:00,,,32.89,-19.78,49.43,49.2,100.0,49.08,-92.49,-94.03
2018-01-21 01:00:00,,,55.41,-8.76,52.03,43.42,2.48,46.37,-91.26,-93.05
2018-01-22 01:00:00,,,69.77,-5.57,57.03,40.99,0.0,34.16,-90.54,-92.48
2018-01-23 01:00:00,,,66.53,-11.31,60.99,41.99,12.17,4.88,-90.76,-92.65
2018-01-24 01:00:00,,,47.92,-22.13,62.05,47.21,75.81,29.33,-91.79,-93.47
2018-01-25 01:00:00,,,48.09,-22.46,62.53,47.18,99.49,62.49,-91.78,-93.47
2018-01-26 01:00:00,,,61.11,-17.78,64.84,43.95,47.51,74.27,-91.08,-92.91
2018-01-27 01:00:00,,,65.8,-16.35,65.87,42.3,5.93,50.98,-90.66,-92.57
2018-01-28 01:00:00,,,49.59,-23.86,65.08,46.28,81.0,44.81,-91.4,-93.16
2018-01-29 01:00:00,,,46.9,-22.05,61.33,45.54,66.41,51.12,-91.25,-93.04
2018-01-30 01:00:00,,,64.57,-13.39,62.08,40.64,0.0,49.14,-90.01,-92.05
2018-01-31 01:00:00,,,51.32,-20.79,62.56,43.98,59.25,41.89,-90.69,-92.6
2018-02-01 01:00:00,,,70.28,-12.03,63.75,39.47,0.0,19.75,-89.32,-91.5
2018-02-02 01:00:00,,,67.5,-6.03,56.25,38.15,0.0,19.75,-88.8,-91.09
2018-02-03 01:00:00,,,49.25,-9.66,49.18,40.84,46.26,15.42,-89.44,-91.61
