timestamp,ema50_dist_omg_usd_6h,ema200_dist_omg_usd_6h,upper_bb_dist_omg_usd_6h,lower_bb_dist_omg_usd_6h,width_bb_omg_usd_6h,rsi_omg_usd_6h,stoch_rsi_fastk_omg_usd_6h,stoch_rsi_fastd_omg_usd_6h,kijun_dist_omg_usd_6h,tenkan_dist_omg_usd_6h
2018-06-06 20:00:00,,,,,,,,,-89.81,-89.81
2018-06-07 02:00:00,,,,,,,,,-90.26,-90.26
2018-06-07 08:00:00,,,,,,,,,-90.21,-90.21
2018-06-07 14:00:00,,,,,,,,,-90.23,-90.23
2018-06-07 20:00:00,,,,,,,,,-90.15,-90.15
2018-06-08 02:00:00,,,,,,,,,-89.87,-89.87
2018-06-08 08:00:00,,,,,,,,,-89.81,-89.81
2018-06-08 14:00:00,,,,,,,,,-89.91,-89.91
2018-06-08 20:00:00,,,,,,,,,-89.85,-89.85
2018-06-09 02:00:00,,,,,,,,,-89.86,-89.86
2018-06-09 08:00:00,,,,,,,,,-89.77,-89.77
2018-06-09 14:00:00,,,,,,,,,-89.66,-89.66
2018-06-09 20:00:00,,,,,,,,,-89.5,-89.5
2018-06-10 02:00:00,,,,,,,,,-88.94,-88.94
2018-06-10 08:00:00,,,,,,29.66,,,-88.92,-88.92
2018-06-10 14:00:00,,,,,,26.26,,,-88.63,-88.63
2018-06-10 20:00:00,,,,,,21.26,,,-88.03,-88.03
2018-06-11 02:00:00,,,,,,21.13,,,-88.01,-88.01
2018-06-11 08:00:00,,,,,,21.29,,,-88.02,-88.02
2018-06-11 14:00:00,,,28.25,-3.55,28.31,24.51,,,-88.13,-88.13
2018-06-11 20:00:00,,,21.73,-8.91,28.79,38.82,100.0,55.92,-88.7,-88.7
2018-06-12 02:00:00,,,24.72,-6.71,28.83,34.08,73.23,79.71,-88.32,-88.32
2018-06-12 08:00:00,,,23.87,-7.15,28.63,33.68,70.67,81.3,-88.28,-88.28
2018-06-12 14:00:00,,,26.62,-5.08,28.62,29.73,36.48,60.13,-87.89,-87.89
2018-06-12 20:00:00,,,28.88,-3.74,28.99,26.93,0.0,35.72,-87.55,-87.55
2018-06-13 02:00:00,,,28.18,-4.89,29.62,26.74,0.0,12.16,-87.53,-87.53
2018-06-13 08:00:00,,,25.62,-6.77,29.6,29.58,40.96,13.65,-87.66,-87.66
2018-06-13 14:00:00,,,28.31,-4.69,29.52,26.13,0.0,13.65,-87.24,-87.24
2018-06-13 20:00:00,,,27.23,-5.01,29.02,25.61,0.0,13.65,-87.17,-87.17
2018-06-14 02:00:00,,,20.04,-8.35,26.82,35.4,100.0,33.33,-87.65,-87.65
2018-06-14 08:00:00,,,15.31,-9.29,23.89,39.59,100.0,66.67,-87.87,-87.87
2018-06-14 14:00:00,,,9.74,-10.51,20.33,45.24,100.0,100.0,-88.19,-88.19
2018-06-14 20:00:00,,,8.42,-8.18,16.59,43.25,89.85,96.62,-88.04,-88.04
2018-06-15 02:00:00,,,8.9,-6.28,14.99,40.59,52.78,80.88,-87.84,-87.84
2018-06-15 08:00:00,,,8.24,-5.01,13.04,39.33,0.0,47.54,-87.74,-87.74
2018-06-15 14:00:00,,,7.23,-4.78,11.87,39.33,0.0,17.59,-87.74,-87.74
2018-06-15 20:00:00,,,10.91,-2.1,12.47,34.35,0.0,0.0,-87.32,-87.32
2018-06-16 02:00:00,,,7.96,-4.75,12.51,40.5,98.47,32.82,-87.64,-87.64
2018-06-16 08:00:00,,,5.32,-7.04,12.47,45.79,100.0,66.16,-87.94,-87.94
2018-06-16 14:00:00,,,8.19,-4.44,12.4,41.02,58.32,85.6,-87.58,-87.58
2018-06-16 20:00:00,,,5.7,-4.48,10.11,42.74,73.34,77.22,-87.68,-87.68
2018-06-17 02:00:00,,,5.48,-3.74,9.14,41.82,24.99,52.21,-87.61,-87.61
2018-06-17 08:00:00,,,4.09,-3.92,8.0,43.04,42.33,46.88,-87.67,-87.67
2018-06-17 14:00:00,,,4.4,-3.5,7.86,42.16,56.54,41.29,-87.61,-87.61
2018-06-17 20:00:00,,,5.36,-2.66,7.91,40.47,0.0,32.96,-87.5,-87.5
2018-06-18 02:00:00,,,6.3,-1.96,8.09,38.89,0.0,18.85,-87.39,-87.39
2018-06-18 08:00:00,,,6.32,-2.16,8.31,38.86,0.0,0.0,-87.39,-87.39
2018-06-18 14:00:00,,,-0.15,-8.57,8.8,55.49,100.0,33.33,-88.23,-88.23
