timestamp,ema50_dist_trx_btc_1D,ema200_dist_trx_btc_1D,upper_bb_dist_trx_btc_1D,lower_bb_dist_trx_btc_1D,width_bb_trx_btc_1D,rsi_trx_btc_1D,stoch_rsi_fastk_trx_btc_1D,stoch_rsi_fastd_trx_btc_1D,kijun_dist_trx_btc_1D,tenkan_dist_trx_btc_1D
2017-12-19 01:00:00,,,,,,,,,164.35,221.73
2017-12-20 01:00:00,,,,,,,,,106.77,151.65
2017-12-21 01:00:00,,,,,,,,,113.82,160.24
2017-12-22 01:00:00,,,,,,,,,141.89,194.4
2017-12-23 01:00:00,,,,,,,,,87.01,127.61
2017-12-24 01:00:00,,,,,,,,,138.21,189.92
2017-12-25 01:00:00,,,,,,,,,172.39,231.52
2017-12-26 01:00:00,,,,,,,,,170.04,228.66
2017-12-27 01:00:00,,,,,,,,,172.39,231.52
2017-12-28 01:00:00,,,,,,,,,123.75,172.32
2017-12-29 01:00:00,,,,,,,,,156.76,212.5
2017-12-30 01:00:00,,,,,,,,,122.95,171.35
2017-12-31 01:00:00,,,,,,,,,97.01,139.78
2018-01-01 01:00:00,,,,,,,,,64.44,100.13
2018-01-02 01:00:00,,,,,,71.88,,,18.66,44.41
2018-01-03 01:00:00,,,,,,75.9,,,-0.71,20.84
2018-01-04 01:00:00,,,,,,88.43,,,-53.76,-43.73
2018-01-05 01:00:00,,,,,,86.1,,,-52.54,-42.23
2018-01-06 01:00:00,,,,,,68.14,,,-37.04,-23.37
2018-01-07 01:00:00,,,1.29,-121.57,308.22,72.92,,,-49.88,-39.0
2018-01-08 01:00:00,,,31.38,-124.97,293.85,63.27,0.0,7.84,-37.91,-24.43
2018-01-09 01:00:00,,,58.56,-126.67,280.88,58.02,0.0,7.84,-26.81,-10.92
2018-01-10 01:00:00,,,56.88,-122.62,267.38,58.72,4.69,1.56,-29.21,-13.84
2018-01-11 01:00:00,,,72.53,-119.92,252.21,56.28,0.0,1.56,-23.13,-6.44
2018-01-12 01:00:00,,,80.26,-116.67,240.76,55.33,0.0,1.56,-20.49,-3.24
2018-01-13 01:00:00,,,97.73,-112.35,226.64,52.9,0.0,0.0,-12.99,5.9
2018-01-14 01:00:00,,,127.06,-106.83,212.41,49.59,0.0,0.0,0.4,22.2
2018-01-15 01:00:00,,,152.39,-99.84,199.74,47.36,0.0,0.0,12.48,36.89
2018-01-16 01:00:00,,,195.71,-91.93,189.37,44.59,0.0,0.0,33.01,61.89
2018-01-17 01:00:00,,,100.22,-87.21,175.98,52.28,92.53,30.84,-9.33,10.35
2018-01-18 01:00:00,,,86.31,-79.11,159.67,53.63,100.0,64.18,-14.65,3.88
2018-01-19 01:00:00,,,92.64,-69.38,145.14,52.37,86.01,92.84,-10.5,8.93
2018-01-20 01:00:00,,,100.91,-59.29,132.61,50.88,69.6,85.2,-5.22,15.36
2018-01-21 01:00:00,,,110.89,-50.24,123.64,49.38,0.0,51.87,0.72,22.59
2018-01-22 01:00:00,,,97.07,-50.51,119.7,51.02,38.58,36.06,-5.51,15.01
2018-01-23 01:00:00,,,106.73,-48.06,119.68,49.71,11.01,16.53,-0.87,20.65
2018-01-24 01:00:00,,,93.17,-43.67,109.69,49.44,3.89,17.82,0.08,21.81
2018-01-25 01:00:00,,,79.53,-36.27,95.21,48.84,0.0,4.97,2.2,24.39
2018-01-26 01:00:00,,,78.09,-35.76,93.96,48.15,0.0,1.3,4.59,27.3
2018-01-27 01:00:00,,,55.15,-25.87,70.68,48.48,21.43,7.14,3.55,26.03
2018-01-28 01:00:00,,,56.6,-16.51,60.91,46.03,0.0,7.14,12.08,36.4
2018-01-29 01:00:00,,,48.57,-18.14,57.9,46.73,24.74,15.39,9.91,33.77
2018-01-30 01:00:00,,,49.58,-11.89,51.72,44.92,0.0,8.25,16.45,41.73
2018-01-31 01:00:00,,,43.85,-11.72,47.88,44.99,2.01,8.92,16.23,41.47
2018-02-01 01:00:00,,,48.25,-6.55,45.35,43.0,0.0,0.67,23.81,50.69
2018-02-02 01:00:00,,,57.0,-3.14,47.38,41.0,0.0,0.67,32.73,61.55
2018-02-03 01:00:00,,,49.39,-10.4,50.03,43.02,50.64,16.88,26.31,53.73
2018-02-04 01:00:00,,,61.15,-7.15,53.78,40.94,0.0,16.88,35.31,64.69
2018-02-05 01:00:00,,,71.21,-3.47,55.79,39.39,0.0,16.88,43.04,74.09
2018-02-06 01:00:00,23.18,,57.58,-12.27,56.94,42.31,80.46,26.82,33.58,62.58
2018-02-07 01:00:00,33.31,,67.49,-6.42,56.62,39.65,7.32,29.26,46.04,77.74
2018-02-08 01:00:00,28.23,,58.34,-10.78,55.84,40.95,53.5,47.09,41.74,72.51
2018-02-09 01:00:00,5.52,,27.69,-25.88,53.08,49.42,100.0,53.61,16.88,42.26
2018-02-10 01:00:00,0.27,,20.05,-29.29,51.73,51.64,100.0,84.5,11.08,35.2
2018-02-11 01:00:00,8.21,,26.24,-22.46,47.79,48.14,70.8,90.27,20.25,46.35
2018-02-12 01:00:00,8.9,,24.65,-21.14,45.0,47.74,63.46,78.09,21.41,47.77
2018-02-13 01:00:00,10.4,,23.85,-19.07,41.92,46.97,0.0,44.75,23.57,50.39
2018-02-14 01:00:00,14.81,,26.48,-15.06,39.29,45.06,0.0,21.15,29.18,57.22
2018-02-15 01:00:00,19.72,,30.0,-11.02,37.47,43.1,0.0,-0.0,35.61,65.04
2018-02-16 01:00:00,7.11,,13.54,-18.84,33.26,48.66,100.0,33.33,21.65,48.06
2018-02-17 01:00:00,10.13,,15.71,-15.98,31.73,47.16,73.05,57.68,25.55,52.81
2018-02-18 01:00:00,15.78,,19.92,-10.83,29.42,44.66,28.11,67.06,32.73,61.55
2018-02-19 01:00:00,17.57,,21.31,-9.34,28.91,43.74,11.49,37.55,35.61,65.04
2018-02-20 01:00:00,29.98,,34.7,-1.17,30.72,39.51,0.0,13.2,51.33,84.18
