timestamp,ema50_dist_trx_usd_1D,ema200_dist_trx_usd_1D,upper_bb_dist_trx_usd_1D,lower_bb_dist_trx_usd_1D,width_bb_trx_usd_1D,rsi_trx_usd_1D,stoch_rsi_fastk_trx_usd_1D,stoch_rsi_fastd_trx_usd_1D,kijun_dist_trx_usd_1D,tenkan_dist_trx_usd_1D
2018-01-24 01:00:00,,,,,,,,,-65.87,-60.75
2018-01-25 01:00:00,,,,,,,,,-64.99,-59.74
2018-01-26 01:00:00,,,,,,,,,-63.85,-58.41
2018-01-27 01:00:00,,,,,,,,,-65.28,-60.06
2018-01-28 01:00:00,,,,,,,,,-63.52,-58.04
2018-01-29 01:00:00,,,,,,,,,-62.46,-56.82
2018-01-30 01:00:00,,,,,,,,,-56.53,-49.99
2018-01-31 01:00:00,,,,,,,,,-55.96,-49.34
2018-02-01 01:00:00,,,,,,,,,-47.4,-39.5
2018-02-02 01:00:00,,,,,,,,,-42.32,-33.66
2018-02-03 01:00:00,,,,,,,,,-46.85,-38.87
2018-02-04 01:00:00,,,,,,,,,-36.38,-26.82
2018-02-05 01:00:00,,,,,,,,,-19.56,-7.47
2018-02-06 01:00:00,,,,,,,,,-32.53,-22.39
2018-02-07 01:00:00,,,,,,19.33,,,-25.47,-14.27
2018-02-08 01:00:00,,,,,,26.36,,,-36.35,-26.79
2018-02-09 01:00:00,,,,,,35.91,,,-48.34,-40.58
2018-02-10 01:00:00,,,,,,37.16,,,-49.69,-42.13
2018-02-11 01:00:00,,,,,,33.79,,,-42.57,-33.94
2018-02-12 01:00:00,,,68.0,-46.44,103.3,37.27,,,-46.84,-38.86
2018-02-13 01:00:00,,,71.47,-42.67,99.78,35.68,54.28,78.46,-43.53,-35.05
2018-02-14 01:00:00,,,53.51,-45.16,94.72,38.94,100.0,84.76,-47.34,-39.43
2018-02-15 01:00:00,,,46.55,-43.94,89.32,39.24,100.0,84.76,-47.66,-39.79
2018-02-16 01:00:00,,,22.23,-47.51,79.84,45.79,100.0,100.0,-54.03,-47.12
2018-02-17 01:00:00,,,12.69,-47.07,72.16,47.87,100.0,100.0,-55.87,-49.24
2018-02-18 01:00:00,,,19.34,-37.68,62.77,43.25,48.29,82.76,-50.77,-43.37
2018-02-19 01:00:00,,,12.09,-40.09,60.67,45.75,75.52,74.6,-53.17,-46.14
2018-02-20 01:00:00,,,21.46,-32.75,57.46,41.81,0.0,41.27,-48.14,-40.35
2018-02-21 01:00:00,,,28.36,-28.92,57.44,39.89,0.0,25.17,-45.07,-36.82
2018-02-22 01:00:00,,,41.5,-22.12,57.99,37.0,0.0,0.0,-39.44,-30.34
2018-02-23 01:00:00,,,32.36,-27.25,58.12,40.01,34.35,11.45,-43.19,-34.66
2018-02-24 01:00:00,,,39.85,-22.38,57.23,38.28,26.57,20.31,-39.92,-30.9
2018-02-25 01:00:00,,,39.12,-16.38,49.84,37.89,29.37,30.1,-39.14,-29.99
2018-02-26 01:00:00,,,31.98,-18.05,46.77,40.32,100.0,51.98,-41.92,-33.2
2018-02-27 01:00:00,,,27.51,-14.58,39.54,41.18,100.0,76.46,-42.83,-34.24
2018-02-28 01:00:00,,,23.7,-14.78,36.83,42.62,100.0,100.0,-44.24,-35.86
2018-03-01 01:00:00,,,11.14,-23.68,37.15,48.99,100.0,100.0,-50.05,-42.55
2018-03-02 01:00:00,,,3.01,-30.95,39.47,54.01,100.0,100.0,-54.41,-47.56
2018-03-03 01:00:00,,,12.09,-24.5,39.02,49.45,64.41,88.14,-50.66,-43.25
2018-03-04 01:00:00,,,14.62,-22.86,39.09,48.43,50.97,71.79,-49.71,-42.16
2018-03-05 01:00:00,,,18.93,-19.38,38.4,46.54,0.0,38.46,-47.87,-40.04
2018-03-06 01:00:00,,,26.31,-14.75,38.81,43.59,0.0,16.99,-44.6,-36.27
2018-03-07 01:00:00,,,45.23,-5.22,42.04,38.32,0.0,0.0,-36.59,-27.06
2018-03-08 01:00:00,,,50.15,-3.96,43.96,36.92,0.0,0.0,-33.8,-23.85
2018-03-09 01:00:00,,,44.29,-6.29,42.51,37.7,8.08,2.69,-34.71,-24.9
2018-03-10 01:00:00,,,52.26,-4.16,45.49,35.76,0.0,2.69,-30.83,-20.43
2018-03-11 01:00:00,,,35.93,-12.81,43.69,40.97,100.0,36.03,-36.82,-27.32
2018-03-12 01:00:00,,,42.25,-10.19,45.2,39.0,62.19,54.06,-33.49,-23.49
2018-03-13 01:00:00,,,45.06,-10.56,47.44,38.24,47.56,69.91,-32.11,-21.91
2018-03-14 01:00:00,50.11,,70.09,-1.42,53.24,33.58,0.0,36.58,-21.35,-9.54
2018-03-15 01:00:00,51.25,,75.05,-4.72,59.02,33.0,0.0,15.85,-19.66,-7.59
2018-03-16 01:00:00,49.63,,76.71,-9.07,64.11,32.93,0.0,0.0,-19.44,-7.34
2018-03-17 01:00:00,55.39,,87.62,-9.58,69.92,31.45,0.0,0.0,-15.12,-2.37
2018-03-18 01:00:00,50.84,,84.91,-15.68,74.72,32.43,46.15,15.38,-16.47,-3.92
2018-03-19 01:00:00,33.59,,64.49,-26.68,76.67,39.35,100.0,48.72,-25.27,-14.04
2018-03-20 01:00:00,12.52,,38.06,-38.18,76.29,49.05,100.0,82.05,-36.77,-27.27
2018-03-21 01:00:00,15.57,,38.97,-35.62,73.36,47.37,90.46,96.82,-34.7,-24.89
2018-03-22 01:00:00,12.6,,28.9,-33.89,64.39,48.63,97.46,95.97,-36.09,-26.48
2018-03-23 01:00:00,2.08,,13.4,-38.21,58.92,54.28,100.0,95.97,-42.01,-33.29
2018-03-24 01:00:00,-12.47,,-2.88,-47.62,59.85,62.57,100.0,99.15,-50.56,-43.14
2018-03-25 01:00:00,-4.51,,5.04,-42.57,58.61,56.47,59.86,86.62,-46.17,-38.08
2018-03-26 02:00:00,-2.22,,7.57,-41.3,58.79,55.01,45.78,68.55,-44.93,-36.66
2018-03-27 02:00:00,-0.39,,10.99,-40.48,60.38,53.82,0.0,35.21,-43.91,-35.48
2018-03-28 02:00:00,-10.98,,2.24,-48.15,65.4,60.06,71.27,39.02,-50.12,-42.63
2018-03-29 02:00:00,-0.05,,16.1,-41.67,66.24,52.52,0.0,23.76,-44.0,-35.59
2018-03-30 02:00:00,5.24,,23.25,-37.76,65.79,49.67,0.0,23.76,-40.92,-32.04
2018-03-31 02:00:00,26.04,,48.56,-25.85,66.82,41.99,0.0,0.0,-28.65,-17.93
2018-04-01 02:00:00,32.39,,57.68,-22.78,68.5,40.15,0.0,0.0,-24.3,-12.93
2018-04-02 02:00:00,17.82,,41.19,-30.84,68.49,45.13,40.27,13.42,-32.22,-22.04
2018-04-03 02:00:00,21.11,,45.86,-27.01,66.6,43.85,38.89,26.39,-29.83,-19.28
2018-04-04 02:00:00,37.81,,67.87,-16.1,66.71,39.38,0.0,26.39,-19.26,-7.13
2018-04-05 02:00:00,5.78,,29.0,-33.04,63.31,50.25,100.0,46.3,-37.89,-28.56
2018-04-06 02:00:00,12.81,,37.1,-24.98,58.53,47.6,75.57,58.52,-33.45,-23.45
2018-04-07 02:00:00,10.56,,33.66,-22.8,53.55,48.27,81.78,85.78,-34.52,-24.69
2018-04-08 02:00:00,8.44,,31.09,-22.24,51.07,48.99,88.37,81.91,-35.58,-25.9
2018-04-09 02:00:00,13.2,,37.44,-19.08,51.76,46.96,0.0,56.72,-32.43,-22.28
2018-04-10 02:00:00,9.83,,33.83,-21.27,51.84,48.23,62.76,50.38,-34.2,-24.32
2018-04-11 02:00:00,10.88,,35.6,-20.58,52.26,47.6,31.65,31.47,-33.31,-23.28
2018-04-12 02:00:00,0.65,,22.74,-27.95,52.04,52.57,100.0,64.8,-39.44,-30.34
2018-04-13 02:00:00,3.49,,22.22,-24.28,46.98,50.95,71.05,67.57,-37.65,-28.28
2018-04-14 02:00:00,-0.44,,15.86,-26.6,44.87,53.04,100.0,90.35,-40.03,-31.02
2018-04-15 02:00:00,-7.25,,7.39,-31.75,44.57,57.03,100.0,90.35,-44.31,-35.94
2018-04-16 02:00:00,-1.65,,13.04,-27.45,43.63,53.19,36.94,78.98,-40.99,-32.12
2018-04-17 02:00:00,-3.81,,6.62,-26.95,37.37,54.53,58.85,65.26,-42.38,-33.72
2018-04-18 02:00:00,-14.29,,-3.4,-36.7,41.65,61.1,100.0,65.26,-49.0,-41.34
2018-04-19 02:00:00,-16.26,,-2.95,-40.44,47.88,62.7,100.0,86.28,-50.57,-43.14
2018-04-20 02:00:00,-22.83,,-6.15,-47.57,56.63,67.34,100.0,100.0,-55.0,-48.24
2018-04-21 02:00:00,-20.85,,-0.99,-46.61,59.87,65.92,88.9,96.3,-54.34,-47.48
2018-04-22 02:00:00,-18.2,,4.41,-45.24,62.38,63.59,39.9,76.27,-53.24,-46.21
2018-04-23 02:00:00,-26.55,,-2.76,-52.33,68.42,69.8,100.0,76.27,-58.63,-52.42
2018-04-24 02:00:00,-38.92,,-12.88,-63.91,82.84,78.01,100.0,79.97,-66.5,-61.46
2018-04-25 02:00:00,-35.38,,-3.61,-64.53,92.39,74.22,73.7,91.23,-65.35,-60.14
2018-04-26 02:00:00,-37.35,,-2.64,-67.55,100.01,76.28,88.06,87.25,-67.22,-62.3
2018-04-27 02:00:00,-35.25,,3.32,-67.2,103.6,75.02,63.65,75.14,-66.87,-61.9
2018-04-28 02:00:00,-40.56,,-1.56,-71.55,110.33,79.22,100.0,83.9,-70.44,-66.0
2018-04-29 02:00:00,-43.04,,-2.17,-74.05,116.15,81.59,100.0,87.88,-72.55,-68.42
2018-04-30 02:00:00,-44.15,,-0.91,-75.59,120.94,83.16,100.0,100.0,-73.95,-70.03
2018-05-01 02:00:00,-42.04,,4.69,-74.27,121.08,82.14,87.46,95.82,-73.77,-69.82
2018-05-02 02:00:00,-39.82,,9.86,-72.46,119.84,80.58,34.45,73.97,-73.49,-69.51
2018-05-03 02:00:00,-35.45,,17.67,-68.06,114.62,73.81,0.0,40.64,-72.21,-68.03
2018-05-04 02:00:00,-33.12,,21.19,-64.01,108.41,71.8,0.0,11.48,-71.78,-67.55
2018-05-05 02:00:00,-32.77,,21.01,-61.14,102.77,72.59,7.64,2.55,-72.2,-68.02
