timestamp,ema50_dist_xmr_btc_1D,ema200_dist_xmr_btc_1D,upper_bb_dist_xmr_btc_1D,lower_bb_dist_xmr_btc_1D,width_bb_xmr_btc_1D,rsi_xmr_btc_1D,stoch_rsi_fastk_xmr_btc_1D,stoch_rsi_fastd_xmr_btc_1D,kijun_dist_xmr_btc_1D,tenkan_dist_xmr_btc_1D
2017-12-19 01:00:00,,,,,,,,,-37.54,-38.22
2017-12-20 01:00:00,,,,,,,,,-55.81,-56.28
2017-12-21 01:00:00,,,,,,,,,-52.28,-52.8
2017-12-22 01:00:00,,,,,,,,,-46.83,-47.4
2017-12-23 01:00:00,,,,,,,,,-47.48,-48.05
2017-12-24 01:00:00,,,,,,,,,-47.14,-47.72
2017-12-25 01:00:00,,,,,,,,,-47.26,-47.83
2017-12-26 01:00:00,,,,,,,,,-43.49,-44.11
2017-12-27 01:00:00,,,,,,,,,-47.03,-47.6
2017-12-28 01:00:00,,,,,,,,,-48.1,-48.66
2017-12-29 01:00:00,,,,,,,,,-47.49,-48.06
2017-12-30 01:00:00,,,,,,,,,-47.42,-47.99
2017-12-31 01:00:00,,,,,,,,,-46.55,-47.13
2018-01-01 01:00:00,,,,,,,,,-48.85,-49.41
2018-01-02 01:00:00,,,,,,60.32,,,-47.9,-48.47
2018-01-03 01:00:00,,,,,,61.97,,,-49.54,-50.08
2018-01-04 01:00:00,,,,,,58.12,,,-47.08,-47.66
2018-01-05 01:00:00,,,,,,48.67,,,-38.39,-39.05
2018-01-06 01:00:00,,,,,,53.45,,,-43.79,-44.4
2018-01-07 01:00:00,,,12.96,-15.74,29.1,57.3,,,-47.91,-48.48
2018-01-08 01:00:00,,,4.74,-19.49,26.16,60.99,100.0,66.91,-51.67,-52.19
2018-01-09 01:00:00,,,-2.59,-23.97,24.66,64.07,100.0,88.28,-54.69,-55.18
2018-01-10 01:00:00,,,1.85,-20.76,24.96,60.61,67.48,89.16,-52.71,-53.22
2018-01-11 01:00:00,,,4.78,-19.15,25.78,59.07,26.26,64.58,-51.77,-52.29
2018-01-12 01:00:00,,,1.9,-22.95,27.77,61.42,46.97,46.9,-53.81,-54.31
2018-01-13 01:00:00,,,-0.8,-27.7,31.37,64.22,100.0,57.74,-56.18,-56.65
2018-01-14 01:00:00,,,2.94,-26.44,33.29,62.33,63.34,70.1,-55.29,-55.78
2018-01-15 01:00:00,,,0.02,-30.05,35.38,65.26,100.0,87.78,-57.58,-58.03
2018-01-16 01:00:00,,,8.31,-24.45,35.64,58.68,0.0,54.45,-54.46,-54.95
2018-01-17 01:00:00,,,7.35,-25.64,36.31,59.85,17.7,39.23,-55.34,-55.82
2018-01-18 01:00:00,,,10.95,-22.96,36.08,57.41,0.0,5.9,-54.1,-54.6
2018-01-19 01:00:00,,,0.51,-32.34,39.07,64.85,94.7,37.47,-59.5,-59.94
2018-01-20 01:00:00,,,7.27,-27.74,39.0,59.81,32.24,42.32,-57.25,-57.71
2018-01-21 01:00:00,,,8.22,-27.36,39.35,59.92,33.72,53.56,-57.33,-57.79
2018-01-22 01:00:00,,,12.5,-23.81,38.48,56.82,0.0,21.99,-55.84,-56.32
2018-01-23 01:00:00,,,15.6,-21.14,37.79,54.68,0.0,11.24,-54.73,-55.22
2018-01-24 01:00:00,,,16.7,-18.83,35.91,53.77,0.0,-0.0,-54.25,-54.74
2018-01-25 01:00:00,,,13.28,-13.93,27.3,54.22,7.33,2.44,-54.51,-55.01
2018-01-26 01:00:00,,,8.15,-12.42,21.02,56.57,91.72,33.02,-55.83,-56.31
2018-01-27 01:00:00,,,10.02,-7.23,17.02,53.62,0.0,33.02,-54.52,-55.01
2018-01-28 01:00:00,,,10.03,-6.03,15.75,53.3,0.0,30.57,-54.38,-54.87
2018-01-29 01:00:00,,,10.79,-5.52,15.89,52.57,0.0,-0.0,-54.06,-54.56
2018-01-30 01:00:00,,,14.11,-2.7,15.9,49.5,0.0,-0.0,-52.68,-53.2
2018-01-31 01:00:00,,,15.31,-1.42,15.64,48.36,0.0,-0.0,-52.15,-52.67
2018-02-01 01:00:00,,,17.95,-0.6,17.07,46.5,0.0,-0.0,-51.25,-51.78
2018-02-02 01:00:00,,,15.76,-3.21,17.85,48.57,34.06,11.35,-52.12,-52.64
2018-02-03 01:00:00,,,13.37,-5.55,18.2,50.9,100.0,44.69,-53.07,-53.58
2018-02-04 01:00:00,,,15.77,-3.47,18.13,47.69,27.09,53.72,-51.75,-52.27
2018-02-05 01:00:00,,,19.67,-1.79,19.7,44.52,0.0,42.36,-50.27,-50.81
2018-02-06 01:00:00,-2.24,,13.42,-7.06,19.85,50.64,95.94,41.01,-52.77,-53.28
2018-02-07 01:00:00,-1.38,,14.32,-6.63,20.17,49.68,80.82,58.92,-52.38,-52.9
2018-02-08 01:00:00,-2.84,,9.66,-6.86,16.29,51.63,100.0,92.25,-53.14,-53.65
2018-02-09 01:00:00,-9.61,,1.22,-13.52,15.7,59.94,100.0,93.61,-56.6,-57.07
2018-02-10 01:00:00,-6.57,,3.3,-10.34,14.13,55.78,59.48,86.49,-55.27,-55.75
2018-02-11 01:00:00,-4.87,,4.52,-8.73,13.53,53.7,39.16,66.21,-54.55,-55.04
2018-02-12 01:00:00,-3.55,,5.63,-7.61,13.37,52.12,5.96,34.87,-53.99,-54.49
2018-02-13 01:00:00,-1.04,,8.17,-5.38,13.37,48.97,0.0,15.04,-52.81,-53.32
2018-02-14 01:00:00,-6.87,,1.9,-11.39,13.95,56.28,100.0,35.32,-55.73,-56.2
2018-02-15 01:00:00,-7.7,,0.87,-12.58,14.28,57.6,100.0,66.67,-56.27,-56.74
2018-02-16 01:00:00,-5.73,,3.04,-11.01,14.64,54.92,68.91,89.64,-55.44,-55.93
