timestamp,ema50_dist_xmr_usd_1D,ema200_dist_xmr_usd_1D,upper_bb_dist_xmr_usd_1D,lower_bb_dist_xmr_usd_1D,width_bb_xmr_usd_1D,rsi_xmr_usd_1D,stoch_rsi_fastk_xmr_usd_1D,stoch_rsi_fastd_xmr_usd_1D,kijun_dist_xmr_usd_1D,tenkan_dist_xmr_usd_1D
2017-12-19 01:00:00,,,,,,,,,-86.14,-86.95
2017-12-20 01:00:00,,,,,,,,,-89.54,-90.15
2017-12-21 01:00:00,,,,,,,,,-88.28,-88.97
2017-12-22 01:00:00,,,,,,,,,-84.36,-85.28
2017-12-23 01:00:00,,,,,,,,,-85.61,-86.46
2017-12-24 01:00:00,,,,,,,,,-85.07,-85.94
2017-12-25 01:00:00,,,,,,,,,-85.18,-86.05
2017-12-26 01:00:00,,,,,,,,,-86.2,-87.01
2017-12-27 01:00:00,,,,,,,,,-86.9,-87.67
2017-12-28 01:00:00,,,,,,,,,-85.88,-86.71
2017-12-29 01:00:00,,,,,,,,,-85.84,-86.67
2017-12-30 01:00:00,,,,,,,,,-83.75,-84.7
2017-12-31 01:00:00,,,,,,,,,-85.09,-85.96
2018-01-01 01:00:00,,,,,,,,,-85.39,-86.25
2018-01-02 01:00:00,,,,,,50.9,,,-86.47,-87.26
2018-01-03 01:00:00,,,,,,53.13,,,-87.23,-87.98
2018-01-04 01:00:00,,,,,,51.57,,,-86.77,-87.55
2018-01-05 01:00:00,,,,,,49.82,,,-86.22,-87.03
2018-01-06 01:00:00,,,,,,53.78,,,-87.45,-88.19
2018-01-07 01:00:00,,,9.51,-28.29,41.72,54.54,,,-87.67,-88.39
2018-01-08 01:00:00,,,10.16,-28.4,42.44,54.7,100.0,100.0,-87.71,-88.43
2018-01-09 01:00:00,,,3.69,-27.47,35.36,55.81,100.0,100.0,-87.98,-88.69
2018-01-10 01:00:00,,,4.6,-25.69,33.86,54.68,44.19,81.4,-87.77,-88.49
2018-01-11 01:00:00,,,19.13,-13.53,31.77,47.37,0.0,48.06,-86.02,-86.84
2018-01-12 01:00:00,,,8.8,-21.0,31.74,52.25,57.8,34.0,-87.31,-88.05
2018-01-13 01:00:00,,,3.02,-25.68,32.37,55.68,98.39,52.06,-88.15,-88.85
2018-01-14 01:00:00,,,9.46,-20.14,31.27,52.3,59.41,71.87,-87.46,-88.19
2018-01-15 01:00:00,,,5.4,-23.83,32.2,54.83,89.8,82.53,-88.06,-88.76
2018-01-16 01:00:00,,,41.21,-1.7,35.84,42.34,0.0,49.74,-84.11,-85.04
2018-01-17 01:00:00,,,37.84,-5.91,37.73,43.53,8.95,32.92,-84.55,-85.45
2018-01-18 01:00:00,,,44.23,-4.38,40.53,42.23,0.0,2.98,-83.93,-84.87
2018-01-19 01:00:00,,,21.05,-16.7,36.94,49.68,59.13,22.69,-86.42,-87.22
2018-01-20 01:00:00,,,14.79,-19.73,35.4,52.04,100.0,53.04,-87.13,-87.88
2018-01-21 01:00:00,,,26.8,-10.88,34.9,47.62,54.99,71.37,-85.77,-86.6
2018-01-22 01:00:00,,,40.66,-4.08,37.82,44.06,18.69,57.89,-84.3,-85.22
2018-01-23 01:00:00,,,44.51,-4.65,40.99,43.24,0.0,24.56,-83.91,-84.85
2018-01-24 01:00:00,,,38.54,-10.31,42.8,45.16,21.79,13.5,-84.58,-85.48
2018-01-25 01:00:00,,,40.59,-10.72,44.64,44.65,32.24,18.01,-84.38,-85.29
2018-01-26 01:00:00,,,36.83,-13.81,45.42,45.69,100.0,51.34,-84.69,-85.59
2018-01-27 01:00:00,,,34.93,-15.04,45.46,45.87,100.0,77.41,-84.75,-85.64
2018-01-28 01:00:00,,,28.55,-18.28,44.54,47.88,100.0,100.0,-85.28,-86.14
2018-01-29 01:00:00,,,34.42,-13.46,43.33,44.73,2.27,67.42,-84.31,-85.23
2018-01-30 01:00:00,,,51.35,-4.29,45.04,39.5,0.0,34.09,-82.13,-83.18
2018-01-31 01:00:00,,,52.73,-6.94,48.56,39.27,0.0,0.76,-82.02,-83.07
2018-02-01 01:00:00,,,72.34,-0.27,53.38,35.32,0.0,0.0,-79.66,-80.85
2018-02-02 01:00:00,,,72.21,-1.56,54.51,34.69,0.0,0.0,-79.2,-80.42
2018-02-03 01:00:00,,,58.36,-9.57,54.62,38.07,70.23,23.41,-80.45,-81.59
2018-02-04 01:00:00,,,75.74,0.92,54.08,34.02,0.0,23.41,-77.57,-78.88
2018-02-05 01:00:00,,,119.55,10.57,66.02,29.85,0.0,23.41,-72.65,-74.25
2018-02-06 01:00:00,61.25,,89.4,-10.63,71.77,36.1,76.04,25.35,-76.47,-77.85
2018-02-07 01:00:00,61.1,,92.69,-14.72,77.28,35.75,71.75,49.26,-76.13,-77.53
2018-02-08 01:00:00,33.62,,57.3,-29.11,75.73,43.62,100.0,82.6,-79.99,-81.17
2018-02-09 01:00:00,26.63,,43.86,-30.61,69.83,45.66,100.0,90.58,-80.88,-82.0
2018-02-10 01:00:00,31.31,,46.52,-27.29,67.33,43.92,82.39,94.13,-79.98,-81.15
2018-02-11 01:00:00,40.67,,56.65,-22.86,68.02,41.14,54.34,78.91,-78.3,-79.57
2018-02-12 01:00:00,28.5,,42.51,-29.44,67.54,44.94,83.92,73.55,-80.0,-81.17
2018-02-13 01:00:00,34.5,,47.5,-25.87,66.21,42.86,38.07,58.78,-78.84,-80.08
2018-02-14 01:00:00,13.47,,22.96,-36.55,63.85,50.53,100.0,74.0,-82.06,-83.12
2018-02-15 01:00:00,5.75,,13.13,-39.96,61.32,53.64,100.0,79.36,-83.25,-84.23
2018-02-16 01:00:00,5.96,,11.64,-38.76,58.3,53.41,97.82,99.27,-83.18,-84.16
2018-02-17 01:00:00,-3.02,,0.91,-43.32,56.13,57.76,100.0,99.27,-84.62,-85.52
2018-02-18 01:00:00,5.7,,8.81,-37.38,53.89,52.56,28.07,75.3,-83.2,-84.19
2018-02-19 01:00:00,-0.96,,3.95,-42.19,57.05,55.71,60.53,62.87,-84.27,-85.19
2018-02-20 01:00:00,3.77,,10.2,-39.65,58.47,52.9,6.6,31.73,-83.49,-84.46
2018-02-21 01:00:00,1.2,,9.55,-41.06,60.08,54.16,30.75,32.63,-83.89,-84.84
