timestamp,ema50_dist_xmr_usd_6h,ema200_dist_xmr_usd_6h,upper_bb_dist_xmr_usd_6h,lower_bb_dist_xmr_usd_6h,width_bb_xmr_usd_6h,rsi_xmr_usd_6h,stoch_rsi_fastk_xmr_usd_6h,stoch_rsi_fastd_xmr_usd_6h,kijun_dist_xmr_usd_6h,tenkan_dist_xmr_usd_6h
2018-06-06 20:00:00,,,,,,,,,-71.81,-71.59
2018-06-07 02:00:00,,,,,,,,,-72.49,-72.27
2018-06-07 08:00:00,,,,,,,,,-72.35,-72.13
2018-06-07 14:00:00,,,,,,,,,-72.16,-71.95
2018-06-07 20:00:00,,,,,,,,,-71.68,-71.46
2018-06-08 02:00:00,,,,,,,,,-71.54,-71.31
2018-06-08 08:00:00,,,,,,,,,-70.66,-70.43
2018-06-08 14:00:00,,,,,,,,,-70.93,-70.7
2018-06-08 20:00:00,,,,,,,,,-70.7,-70.47
2018-06-09 02:00:00,,,,,,,,,-70.91,-70.69
2018-06-09 08:00:00,,,,,,,,,-70.94,-70.71
2018-06-09 14:00:00,,,,,,,,,-70.6,-70.37
2018-06-09 20:00:00,,,,,,,,,-69.96,-69.73
2018-06-10 02:00:00,,,,,,,,,-68.42,-68.18
2018-06-10 08:00:00,,,,,,22.33,,,-68.47,-68.22
2018-06-10 14:00:00,,,,,,15.12,,,-65.16,-64.89
2018-06-10 20:00:00,,,,,,26.46,,,-66.71,-66.45
2018-06-11 02:00:00,,,,,,24.53,,,-65.88,-65.61
2018-06-11 08:00:00,,,,,,28.41,,,-66.46,-66.2
2018-06-11 14:00:00,,,32.11,-2.62,30.27,25.82,,,-65.4,-65.13
2018-06-11 20:00:00,,,28.07,-6.46,31.16,31.46,100.0,93.49,-66.29,-66.03
2018-06-12 02:00:00,,,29.38,-5.8,31.46,29.6,73.21,84.56,-65.61,-65.34
2018-06-12 08:00:00,,,27.75,-6.81,31.28,29.82,70.85,81.35,-65.64,-65.37
2018-06-12 14:00:00,,,33.99,-3.16,32.18,25.1,0.0,48.02,-63.63,-63.34
2018-06-12 20:00:00,,,35.82,-3.12,33.47,23.65,0.0,23.62,-62.84,-62.55
2018-06-13 02:00:00,,,33.96,-4.97,34.0,24.3,10.49,3.5,-62.95,-62.66
2018-06-13 08:00:00,,,39.14,-3.24,35.93,21.5,0.0,3.5,-61.32,-61.02
2018-06-13 14:00:00,,,41.77,-3.05,37.55,19.99,0.0,3.5,-60.26,-59.95
2018-06-13 20:00:00,,,33.98,-8.2,37.37,28.52,100.0,33.33,-61.91,-61.61
2018-06-14 02:00:00,,,26.35,-11.6,35.35,35.42,100.0,66.67,-63.33,-63.05
2018-06-14 08:00:00,,,16.87,-15.2,31.8,43.94,100.0,100.0,-65.23,-64.96
2018-06-14 14:00:00,,,15.83,-12.51,27.88,41.87,91.36,97.12,-64.59,-64.31
2018-06-14 20:00:00,,,11.71,-12.17,23.93,43.52,97.26,96.21,-64.96,-64.69
2018-06-15 02:00:00,,,13.34,-8.98,21.84,39.96,53.26,80.63,-63.86,-63.58
2018-06-15 08:00:00,,,14.48,-5.69,19.32,36.89,0.0,50.17,-62.76,-62.47
2018-06-15 14:00:00,,,12.44,-7.42,19.38,39.47,38.93,30.73,-63.33,-63.05
2018-06-15 20:00:00,,,15.84,-4.21,18.94,35.64,0.0,12.98,-61.89,-61.6
2018-06-16 02:00:00,,,13.68,-5.73,18.67,37.74,48.57,29.16,-62.37,-62.08
2018-06-16 08:00:00,,,9.61,-7.85,17.3,41.96,100.0,49.52,-63.32,-63.04
2018-06-16 14:00:00,,,7.88,-8.76,16.71,43.71,100.0,82.86,-63.71,-63.43
2018-06-16 20:00:00,,,7.97,-7.13,15.03,42.05,79.36,93.12,-63.24,-62.95
2018-06-17 02:00:00,,,7.98,-6.05,13.9,40.87,52.35,77.24,-62.89,-62.6
2018-06-17 08:00:00,,,7.01,-5.49,12.41,40.6,0.0,43.9,-62.82,-62.53
2018-06-17 14:00:00,,,8.01,-4.64,12.45,39.15,0.0,17.45,-62.41,-62.12
2018-06-17 20:00:00,,,8.19,-4.59,12.55,38.9,0.0,-0.0,-62.35,-62.05
2018-06-18 02:00:00,,,8.72,-4.28,12.72,38.15,0.0,-0.0,-62.15,-61.85
2018-06-18 08:00:00,,,10.34,-2.7,12.56,35.99,0.0,-0.0,-61.57,-61.27
2018-06-18 14:00:00,,,4.12,-6.63,10.88,47.65,100.0,33.33,-63.6,-63.32
2018-06-18 20:00:00,,,4.5,-5.9,10.47,47.04,94.72,64.91,-63.48,-63.19
2018-06-19 02:00:00,7.84,,4.22,-6.18,10.5,47.68,100.0,98.24,-63.59,-63.31
2018-06-19 08:00:00,7.38,,3.18,-5.89,9.19,48.01,100.0,98.24,-63.64,-63.36
2018-06-19 14:00:00,9.65,,5.1,-3.42,8.45,43.3,0.0,66.67,-62.74,-62.45
2018-06-19 20:00:00,7.93,,2.7,-4.11,6.86,46.26,62.82,54.27,-63.22,-62.93
2018-06-20 02:00:00,11.28,,6.07,-0.98,6.87,40.21,0.0,20.94,-61.92,-61.62
2018-06-20 08:00:00,12.14,,7.54,-0.32,7.59,38.38,0.0,20.94,-61.45,-61.15
2018-06-20 14:00:00,9.76,,5.5,-2.25,7.62,42.55,52.89,17.63,-62.13,-61.84
2018-06-20 20:00:00,9.32,,5.4,-2.2,7.48,42.68,54.61,35.83,-62.16,-61.86
2018-06-21 02:00:00,8.23,,4.67,-2.86,7.47,44.39,100.0,69.17,-62.42,-62.12
2018-06-21 08:00:00,9.31,,5.94,-1.8,7.58,41.8,56.86,70.49,-61.91,-61.61
2018-06-21 14:00:00,8.95,,5.56,-1.9,7.32,41.79,0.0,52.29,-61.91,-61.61
2018-06-21 20:00:00,7.14,,3.89,-3.29,7.16,45.65,100.0,52.29,-62.44,-62.14
2018-06-22 02:00:00,8.79,,5.78,-1.72,7.35,41.71,0.0,33.33,-61.73,-61.44
2018-06-22 08:00:00,13.64,,11.67,1.72,9.33,33.79,0.0,33.33,-59.83,-59.52
2018-06-22 14:00:00,16.6,,16.36,2.83,12.34,29.96,0.0,0.0,-58.55,-58.22
2018-06-22 20:00:00,17.89,,19.4,2.4,15.33,28.14,0.0,0.0,-57.83,-57.5
2018-06-23 02:00:00,15.23,,17.72,-0.72,16.99,32.63,33.13,11.04,-58.56,-58.24
2018-06-23 08:00:00,12.11,,15.14,-3.62,17.74,38.24,100.0,44.38,-59.5,-59.19
2018-06-23 14:00:00,10.3,,13.06,-5.15,17.52,41.14,100.0,77.71,-60.01,-59.69
2018-06-23 20:00:00,11.12,,13.72,-4.47,17.39,39.3,85.85,95.28,-59.54,-59.23
2018-06-24 02:00:00,16.38,,19.36,-0.67,18.32,32.48,0.0,61.95,-57.39,-57.05
2018-06-24 08:00:00,11.53,,13.83,-4.64,17.66,40.62,93.9,59.92,-58.99,-58.67
2018-06-24 14:00:00,5.9,,7.76,-9.16,17.04,49.47,100.0,64.63,-60.97,-60.66
2018-06-24 20:00:00,4.03,,5.3,-10.34,16.05,52.09,100.0,97.97,-61.6,-61.3
2018-06-25 02:00:00,-1.22,,0.74,-15.27,17.26,59.57,100.0,100.0,-63.55,-63.27
2018-06-25 08:00:00,-1.47,,1.34,-15.88,18.57,59.99,100.0,100.0,-63.67,-63.38
2018-06-25 14:00:00,-2.63,,0.98,-17.38,20.0,61.75,100.0,100.0,-64.14,-63.86
2018-06-25 20:00:00,-0.66,,3.48,-15.89,20.65,57.6,57.06,85.69,-63.42,-63.14
2018-06-26 02:00:00,-0.61,,3.9,-16.0,21.18,57.55,0.0,52.35,-63.41,-63.13
2018-06-26 08:00:00,0.75,,5.66,-14.86,21.51,54.59,0.0,19.02,-62.9,-62.61
2018-06-26 14:00:00,-0.79,,4.53,-16.3,22.13,57.27,37.36,12.45,-63.48,-63.19
2018-06-26 20:00:00,4.89,,10.47,-11.39,21.96,46.69,0.0,12.45,-61.31,-61.01
2018-06-27 02:00:00,-0.05,,5.67,-15.6,22.39,54.28,69.84,35.73,-63.14,-62.85
2018-06-27 08:00:00,-1.67,,4.65,-16.8,22.84,56.69,94.56,54.8,-63.76,-63.48
2018-06-27 14:00:00,-1.75,,5.01,-16.19,22.46,56.92,96.71,87.04,-63.82,-63.53
2018-06-27 20:00:00,-2.01,,4.89,-15.28,21.28,57.46,100.0,97.09,-63.94,-63.66
2018-06-28 02:00:00,-3.77,,3.38,-16.0,20.69,60.5,100.0,98.9,-64.65,-64.37
2018-06-28 08:00:00,-4.18,,3.4,-15.83,20.51,61.43,100.0,100.0,-64.86,-64.59
2018-06-28 14:00:00,-3.68,,4.29,-14.85,20.21,60.51,79.63,93.21,-64.73,-64.46
2018-06-28 20:00:00,8.46,,17.67,-3.51,19.78,40.18,0.0,59.88,-60.16,-59.85
2018-06-29 02:00:00,6.13,,14.2,-3.33,16.62,43.28,14.59,31.41,-60.92,-60.62
2018-06-29 08:00:00,4.33,,11.68,-3.42,14.5,45.72,26.09,13.56,-61.52,-61.22
2018-06-29 14:00:00,4.55,,12.02,-2.85,14.22,45.2,24.69,21.79,-61.37,-61.07
2018-06-29 20:00:00,-0.69,,6.39,-7.31,13.76,53.2,100.0,50.26,-63.32,-63.03
2018-06-30 02:00:00,-2.53,,4.44,-9.13,13.89,55.95,100.0,74.9,-64.04,-63.76
2018-06-30 08:00:00,-4.74,,2.34,-11.49,14.49,59.26,100.0,100.0,-64.92,-64.65
2018-06-30 14:00:00,-3.12,,4.02,-10.13,14.59,56.41,79.71,93.24,-64.37,-64.1
2018-06-30 20:00:00,-3.45,,3.84,-10.57,14.91,57.1,64.32,81.35,-64.55,-64.27
2018-07-01 02:00:00,-3.22,,4.24,-10.46,15.18,56.88,28.19,57.41,-64.51,-64.23
2018-07-01 08:00:00,-4.01,,3.65,-11.28,15.52,58.47,72.02,54.84,-64.86,-64.59
2018-07-01 14:00:00,-0.93,,6.99,-8.43,15.53,52.09,0.0,33.4,-63.74,-63.46
2018-07-01 20:00:00,-2.33,,5.38,-9.05,14.7,54.66,40.32,37.45,-64.29,-64.01
2018-07-02 02:00:00,-1.2,,6.63,-7.92,14.64,52.47,5.87,15.39,-63.9,-63.61
2018-07-02 08:00:00,-1.29,,6.5,-8.04,14.65,52.74,10.16,18.78,-63.95,-63.67
2018-07-02 14:00:00,-9.13,,-0.85,-16.33,16.94,65.78,100.0,38.68,-66.95,-66.69
2018-07-02 20:00:00,-8.87,,0.35,-16.88,18.78,65.91,100.0,70.05,-66.99,-66.73
2018-07-03 02:00:00,-9.44,,0.56,-18.26,20.65,67.24,100.0,100.0,-67.33,-67.08
2018-07-03 08:00:00,-8.04,,2.61,-17.56,21.8,64.23,79.24,93.08,-66.95,-66.69
2018-07-03 14:00:00,-6.71,,4.42,-16.73,22.53,61.39,0.0,59.75,-66.57,-66.31
2018-07-03 20:00:00,-6.2,,4.74,-14.95,20.75,60.7,0.0,26.41,-66.47,-66.21
2018-07-04 02:00:00,-5.22,,5.49,-12.8,18.98,58.61,0.0,0.0,-66.2,-65.94
2018-07-04 08:00:00,-7.87,,2.54,-14.38,17.98,63.91,94.27,31.42,-67.26,-67.0
2018-07-04 14:00:00,-8.0,,2.1,-13.31,16.32,64.69,100.0,64.76,-67.42,-67.17
2018-07-04 20:00:00,-5.2,,5.04,-10.07,15.51,57.36,0.0,64.76,-66.5,-66.24
2018-07-05 02:00:00,-5.66,,4.5,-10.21,15.14,58.68,17.99,39.33,-66.75,-66.49
2018-07-05 08:00:00,-4.91,,5.32,-9.43,15.06,57.18,0.0,6.0,-66.56,-66.3
2018-07-05 14:00:00,-4.58,,5.58,-8.79,14.61,56.77,0.0,6.0,-66.51,-66.24
2018-07-05 20:00:00,-3.86,,6.23,-7.78,14.12,55.12,0.0,-0.0,-66.31,-66.04
2018-07-06 02:00:00,-1.88,,8.23,-5.54,13.59,50.0,0.0,-0.0,-65.64,-65.37
2018-07-06 08:00:00,-0.92,,9.2,-4.48,13.36,47.77,0.0,-0.0,-65.32,-65.05
2018-07-06 14:00:00,-2.33,,7.13,-4.94,11.94,51.61,42.62,14.21,-65.85,-65.58
2018-07-06 20:00:00,-0.42,,8.97,-2.6,11.21,46.94,0.0,14.21,-65.18,-64.91
2018-07-07 02:00:00,-0.24,,8.69,-1.63,9.96,46.55,0.0,14.21,-65.12,-64.85
2018-07-07 08:00:00,0.12,,8.58,-0.47,8.7,45.65,0.0,-0.0,-64.99,-64.72
2018-07-07 14:00:00,0.8,,9.39,-0.46,9.43,43.9,0.0,-0.0,-64.74,-64.47
2018-07-07 20:00:00,-0.91,,7.26,-2.44,9.48,49.09,100.0,33.33,-65.36,-65.09
2018-07-08 02:00:00,-1.97,,5.51,-3.54,8.96,52.29,100.0,66.67,-65.75,-65.49
2018-07-08 08:00:00,-1.58,,5.54,-3.28,8.72,51.29,88.07,96.02,-65.64,-65.37
2018-07-08 14:00:00,-4.05,,2.7,-5.87,8.72,58.38,100.0,96.02,-66.56,-66.3
2018-07-08 20:00:00,-3.15,,3.47,-5.12,8.66,55.79,72.15,86.74,-66.29,-66.03
2018-07-09 02:00:00,-3.33,,3.19,-5.42,8.71,56.64,75.46,82.54,-66.4,-66.14
2018-07-09 08:00:00,-2.39,,3.56,-4.42,8.02,53.69,33.83,60.48,-66.11,-65.85
2018-07-09 14:00:00,-2.95,,2.17,-4.74,7.0,55.68,42.41,50.57,-66.35,-66.08
2018-07-09 20:00:00,-0.88,,4.1,-2.79,6.84,48.99,0.0,25.42,-65.64,-65.37
2018-07-10 02:00:00,1.51,,6.39,-0.7,6.89,42.66,0.0,14.14,-64.79,-64.52
2018-07-10 08:00:00,8.69,,15.61,4.05,10.52,30.69,0.0,-0.0,-62.18,-61.88
2018-07-10 14:00:00,8.1,,15.87,2.0,12.73,31.35,2.64,0.88,-62.27,-61.97
2018-07-10 20:00:00,9.79,,18.72,1.95,15.2,28.96,0.0,0.88,-61.54,-61.24
2018-07-11 02:00:00,6.38,,15.41,-1.96,16.27,36.89,57.9,20.18,-62.64,-62.35
2018-07-11 08:00:00,4.22,,13.2,-4.3,16.75,41.54,100.0,52.63,-63.34,-63.05
2018-07-11 14:00:00,7.17,,16.67,-2.34,17.74,36.81,62.43,73.44,-62.2,-61.9
2018-07-11 20:00:00,5.17,,14.64,-4.57,18.29,40.78,93.99,85.47,-62.83,-62.54
2018-07-12 02:00:00,4.65,,14.16,-5.37,18.7,41.52,99.62,85.35,-62.95,-62.66
2018-07-12 08:00:00,8.14,,18.42,-2.98,19.86,36.05,0.0,64.53,-61.6,-61.3
2018-07-12 14:00:00,7.83,,18.48,-3.91,20.87,36.04,0.0,33.21,-61.59,-61.29
2018-07-12 20:00:00,7.9,,18.7,-4.47,21.63,35.5,0.0,0.0,-61.45,-61.15
