timestamp,ema50_dist_xrp_btc_1D,ema200_dist_xrp_btc_1D,upper_bb_dist_xrp_btc_1D,lower_bb_dist_xrp_btc_1D,width_bb_xrp_btc_1D,rsi_xrp_btc_1D,stoch_rsi_fastk_xrp_btc_1D,stoch_rsi_fastd_xrp_btc_1D,kijun_dist_xrp_btc_1D,tenkan_dist_xrp_btc_1D
2017-12-19 01:00:00,,,,,,,,,123.08,110.4
2017-12-20 01:00:00,,,,,,,,,114.75,102.55
2017-12-21 01:00:00,,,,,,,,,30.0,22.61
2017-12-22 01:00:00,,,,,,,,,25.36,18.24
2017-12-23 01:00:00,,,,,,,,,32.5,24.97
2017-12-24 01:00:00,,,,,,,,,32.17,24.66
2017-12-25 01:00:00,,,,,,,,,34.0,26.38
2017-12-26 01:00:00,,,,,,,,,38.88,30.99
2017-12-27 01:00:00,,,,,,,,,20.29,13.46
2017-12-28 01:00:00,,,,,,,,,8.01,1.87
2017-12-29 01:00:00,,,,,,,,,-30.34,-34.3
2017-12-30 01:00:00,,,,,,,,,-36.36,-39.98
2017-12-31 01:00:00,,,,,,,,,-33.63,-37.4
2018-01-01 01:00:00,,,,,,,,,-37.14,-40.72
2018-01-02 01:00:00,,,,,,88.27,,,-36.06,-39.7
2018-01-03 01:00:00,,,,,,90.74,,,-48.09,-51.04
2018-01-04 01:00:00,,,,,,89.1,,,-47.28,-50.28
2018-01-05 01:00:00,,,,,,72.88,,,-35.96,-39.6
2018-01-06 01:00:00,,,,,,73.69,,,-38.05,-41.57
2018-01-07 01:00:00,,,21.21,-88.04,164.07,76.06,,,-43.71,-46.91
2018-01-08 01:00:00,,,28.76,-81.53,149.82,72.37,0.0,7.46,-40.88,-44.24
2018-01-09 01:00:00,,,43.32,-71.5,133.65,65.14,0.0,5.94,-33.78,-37.54
2018-01-10 01:00:00,,,57.21,-63.99,125.44,60.27,0.0,0.0,-27.23,-31.37
2018-01-11 01:00:00,,,39.83,-63.57,117.33,63.99,23.59,7.86,-35.44,-39.11
2018-01-12 01:00:00,,,40.4,-57.59,107.21,63.53,26.92,16.84,-34.91,-38.61
