timestamp,ema50_dist_xrp_btc_6h,ema200_dist_xrp_btc_6h,upper_bb_dist_xrp_btc_6h,lower_bb_dist_xrp_btc_6h,width_bb_xrp_btc_6h,rsi_xrp_btc_6h,stoch_rsi_fastk_xrp_btc_6h,stoch_rsi_fastd_xrp_btc_6h,kijun_dist_xrp_btc_6h,tenkan_dist_xrp_btc_6h
2018-10-24 20:00:00,,,,,,,,,26.63,20.71
2018-10-25 02:00:00,,,,,,,,,27.21,21.25
2018-10-25 08:00:00,,,,,,,,,26.69,20.76
2018-10-25 14:00:00,,,,,,,,,24.45,18.62
2018-10-25 20:00:00,,,,,,,,,25.97,20.08
2018-10-26 02:00:00,,,,,,,,,26.22,20.31
2018-10-26 08:00:00,,,,,,,,,25.73,19.84
2018-10-26 14:00:00,,,,,,,,,25.69,19.81
2018-10-26 20:00:00,,,,,,,,,25.46,19.59
2018-10-27 02:00:00,,,,,,,,,26.31,20.4
2018-10-27 08:00:00,,,,,,,,,26.46,20.54
2018-10-27 14:00:00,,,,,,,,,26.06,20.16
2018-10-27 20:00:00,,,,,,,,,26.54,20.62
2018-10-28 02:00:00,,,,,,,,,26.22,20.31
2018-10-28 07:00:00,,,,,,51.73,,,26.35,20.43
2018-10-28 13:00:00,,,,,,55.56,,,25.69,19.81
2018-10-28 19:00:00,,,,,,59.06,,,25.04,19.19
2018-10-29 01:00:00,,,,,,55.26,,,25.57,19.69
2018-10-29 07:00:00,,,,,,49.54,,,26.46,20.54
2018-10-29 13:00:00,,,2.41,0.13,2.25,42.85,,,27.72,21.74
2018-10-29 19:00:00,,,2.38,-0.1,2.45,43.55,4.34,1.45,27.61,21.64
2018-10-30 01:00:00,,,1.38,-0.97,2.34,50.93,65.07,23.14,26.38,20.47
2018-10-30 07:00:00,,,1.55,-0.79,2.33,49.69,84.73,51.38,26.6,20.67
2018-10-30 13:00:00,,,1.73,-0.36,2.08,46.75,48.24,66.01,27.12,21.17
2018-10-30 19:00:00,,,1.3,-0.78,2.08,49.84,85.25,72.74,26.62,20.69
2018-10-31 01:00:00,,,1.78,-0.4,2.17,46.42,0.0,44.5,27.21,21.25
2018-10-31 07:00:00,,,1.76,-0.47,2.21,46.31,0.0,28.42,27.23,21.27
2018-10-31 13:00:00,,,0.65,-1.52,2.18,54.62,100.0,33.33,25.87,19.98
2018-10-31 19:00:00,,,0.42,-1.72,2.15,56.06,100.0,66.67,25.6,19.72
2018-11-01 01:00:00,,,0.67,-1.5,2.18,54.09,79.71,93.24,25.89,19.99
2018-11-01 07:00:00,,,0.61,-1.61,2.23,54.94,88.49,89.4,25.74,19.86
2018-11-01 13:00:00,,,0.35,-1.98,2.34,57.6,100.0,89.4,25.3,19.44
2018-11-01 19:00:00,,,-0.07,-2.7,2.67,62.13,100.0,96.16,24.49,18.66
2018-11-02 01:00:00,,,0.08,-2.84,2.96,62.58,100.0,100.0,24.4,18.58
2018-11-02 07:00:00,,,-0.05,-3.33,3.35,65.29,100.0,100.0,23.88,18.08
