timestamp,ema50_dist_xrp_usd_1D,ema200_dist_xrp_usd_1D,upper_bb_dist_xrp_usd_1D,lower_bb_dist_xrp_usd_1D,width_bb_xrp_usd_1D,rsi_xrp_usd_1D,stoch_rsi_fastk_xrp_usd_1D,stoch_rsi_fastd_xrp_usd_1D,kijun_dist_xrp_usd_1D,tenkan_dist_xrp_usd_1D
2017-12-19 01:00:00,,,,,,,,,-48.5,-56.98
2017-12-20 01:00:00,,,,,,,,,-47.34,-56.02
2017-12-21 01:00:00,,,,,,,,,-66.58,-72.09
2017-12-22 01:00:00,,,,,,,,,-61.75,-68.06
2017-12-23 01:00:00,,,,,,,,,-62.33,-68.54
2017-12-24 01:00:00,,,,,,,,,-61.16,-67.56
2017-12-25 01:00:00,,,,,,,,,-61.3,-67.67
2017-12-26 01:00:00,,,,,,,,,-64.86,-70.65
2017-12-27 01:00:00,,,,,,,,,-68.95,-74.07
2017-12-28 01:00:00,,,,,,,,,-69.98,-74.93
2017-12-29 01:00:00,,,,,,,,,-80.37,-83.6
2017-12-30 01:00:00,,,,,,,,,-79.51,-82.89
2017-12-31 01:00:00,,,,,,,,,-80.87,-84.03
2018-01-01 01:00:00,,,,,,,,,-81.57,-84.6
2018-01-02 01:00:00,,,,,,86.59,,,-82.86,-85.68
2018-01-03 01:00:00,,,,,,89.61,,,-86.24,-88.5
2018-01-04 01:00:00,,,,,,89.63,,,-86.26,-88.53
2018-01-05 01:00:00,,,,,,80.3,,,-84.94,-87.42
2018-01-06 01:00:00,,,,,,81.56,,,-85.77,-88.12
2018-01-07 01:00:00,,,12.46,-91.93,173.21,82.57,,,-86.41,-88.65
2018-01-08 01:00:00,,,32.46,-85.69,161.01,69.82,0.0,12.61,-84.23,-86.83
2018-01-09 01:00:00,,,53.26,-76.32,146.47,61.03,0.0,8.12,-81.69,-84.71
2018-01-10 01:00:00,,,62.64,-70.84,139.18,58.24,0.0,0.0,-80.59,-83.79
2018-01-11 01:00:00,,,63.19,-64.82,129.05,57.83,0.0,0.0,-80.42,-83.64
2018-01-12 01:00:00,,,54.44,-60.37,118.32,59.56,14.43,4.81,-81.34,-84.42
2018-01-13 01:00:00,,,54.49,-52.61,106.11,58.81,30.63,15.02,-81.08,-84.2
2018-01-14 01:00:00,,,65.56,-39.99,93.58,54.21,0.0,15.02,-79.3,-82.71
2018-01-15 01:00:00,,,77.82,-27.02,83.61,50.28,0.0,10.21,-77.31,-81.05
2018-01-16 01:00:00,,,159.86,4.61,85.19,40.08,0.0,-0.0,-66.97,-72.41
2018-01-17 01:00:00,,,127.05,-7.56,84.27,43.9,20.4,6.8,-71.08,-75.84
2018-01-18 01:00:00,,,91.99,-25.14,87.79,49.14,64.08,28.16,-75.62,-79.64
2018-01-19 01:00:00,,,94.15,-27.13,90.84,48.89,86.33,56.94,-75.43,-79.48
2018-01-20 01:00:00,,,90.93,-31.24,94.09,49.5,100.0,83.47,-75.86,-79.84
2018-01-21 01:00:00,,,119.29,-26.89,99.99,45.28,24.58,70.3,-72.36,-76.91
2018-01-22 01:00:00,,,122.55,-31.36,105.72,44.78,0.0,41.53,-71.86,-76.5
2018-01-23 01:00:00,,,115.45,-33.89,106.07,44.69,0.0,8.19,-71.78,-76.43
2018-01-24 01:00:00,,,103.05,-35.61,103.7,45.23,11.23,3.74,-72.17,-76.75
2018-01-25 01:00:00,,,104.02,-35.25,103.63,43.95,0.0,3.74,-71.07,-75.84
2018-01-26 01:00:00,,,108.06,-30.32,99.64,41.63,0.0,3.74,-68.82,-73.96
2018-01-27 01:00:00,,,87.61,-25.51,86.31,42.09,12.59,4.2,-69.15,-74.23
2018-01-28 01:00:00,,,56.39,-30.27,76.65,47.19,100.0,37.53,-72.51,-77.04
2018-01-29 01:00:00,,,62.81,-24.95,73.79,44.35,48.87,53.82,-70.33,-75.22
2018-01-30 01:00:00,,,80.43,-17.28,74.26,40.37,0.0,49.62,-66.25,-71.81
2018-01-31 01:00:00,,,70.45,-20.54,72.82,41.4,15.14,21.33,-67.08,-72.5
2018-02-01 01:00:00,,,94.73,-6.72,70.45,36.78,0.0,5.05,-60.59,-67.08
2018-02-02 01:00:00,,,95.58,-1.96,66.44,35.52,0.0,5.05,-58.17,-65.06
2018-02-03 01:00:00,,,75.25,-8.68,62.97,37.96,41.44,13.81,-60.74,-67.21
2018-02-04 01:00:00,,,101.63,1.11,66.41,34.57,0.0,13.81,-53.9,-61.49
2018-02-05 01:00:00,,,147.87,8.29,78.38,31.67,0.0,13.81,-44.74,-53.84
2018-02-06 01:00:00,98.01,,123.17,-11.46,86.38,35.12,54.89,18.3,-50.53,-58.68
2018-02-07 01:00:00,105.94,,132.76,-13.31,91.45,34.09,38.5,31.13,-47.47,-56.12
2018-02-08 01:00:00,85.48,,107.63,-24.13,92.95,36.98,100.0,64.46,-51.8,-59.74
2018-02-09 01:00:00,54.81,,68.17,-35.03,88.54,42.9,100.0,79.5,-59.19,-65.91
2018-02-10 01:00:00,37.39,,47.5,-41.55,86.48,46.91,100.0,100.0,-63.38,-69.41
2018-02-11 01:00:00,45.14,,54.09,-37.68,84.81,44.76,83.21,94.4,-60.82,-67.28
2018-02-12 01:00:00,32.48,,38.63,-41.92,81.9,47.88,100.0,94.4,-63.88,-69.83
2018-02-13 01:00:00,38.56,,41.97,-37.62,77.89,45.93,60.71,81.31,-61.79,-68.09
2018-02-14 01:00:00,20.35,,21.67,-44.51,74.7,51.25,100.0,86.9,-66.59,-72.09
2018-02-15 01:00:00,21.92,,22.88,-43.02,73.28,50.4,86.82,82.51,-65.9,-71.52
2018-02-16 01:00:00,20.24,,20.57,-42.95,71.53,50.7,89.68,92.17,-66.14,-71.72
2018-02-17 01:00:00,12.91,,10.14,-44.18,65.46,53.34,100.0,92.17,-68.05,-73.32
2018-02-18 01:00:00,23.36,,17.96,-37.1,60.89,48.78,0.0,63.23,-64.83,-70.62
2018-02-19 01:00:00,18.21,,13.68,-39.32,60.8,50.45,36.71,45.57,-66.09,-71.67
2018-02-20 01:00:00,26.57,,21.26,-34.1,59.16,47.02,0.0,12.24,-63.38,-69.41
2018-02-21 01:00:00,35.17,,30.86,-28.89,59.17,44.05,0.0,12.24,-60.47,-66.99
2018-02-22 01:00:00,42.86,,40.0,-24.03,59.29,41.72,0.0,-0.0,-57.71,-64.68
2018-02-23 01:00:00,34.05,,32.64,-28.1,59.39,44.22,28.6,9.53,-59.91,-66.51
2018-02-24 01:00:00,38.2,,38.07,-23.88,57.85,42.67,17.9,15.5,-58.2,-65.09
2018-02-25 01:00:00,36.78,,36.06,-19.32,51.1,42.64,37.08,27.86,-58.18,-65.07
2018-02-26 01:00:00,30.91,,30.36,-19.08,46.8,44.49,100.0,51.66,-59.59,-66.24
2018-02-27 01:00:00,30.42,,28.68,-13.94,39.69,44.23,86.04,74.37,-59.36,-66.05
2018-02-28 01:00:00,35.02,,33.17,-7.32,35.86,42.19,0.0,62.01,-57.47,-64.48
2018-03-01 01:00:00,29.28,,28.71,-10.54,35.98,44.28,90.78,58.94,-58.91,-65.68
2018-03-02 01:00:00,30.62,,31.09,-9.99,37.16,43.29,48.07,46.28,-58.08,-64.99
2018-03-03 01:00:00,29.37,,31.16,-10.83,38.12,43.32,54.07,64.31,-58.1,-65.0
2018-03-04 01:00:00,15.19,,17.08,-20.23,37.91,50.72,100.0,67.38,-62.49,-68.67
2018-03-05 01:00:00,21.98,,24.78,-15.26,38.22,46.79,47.11,67.06,-59.99,-66.58
2018-03-06 01:00:00,26.22,,28.03,-11.9,36.95,44.47,15.89,54.33,-58.25,-65.13
2018-03-07 01:00:00,31.81,,33.18,-8.18,36.76,41.82,0.0,21.0,-55.97,-63.22
2018-03-08 01:00:00,38.56,,39.52,-4.12,37.08,39.09,0.0,5.3,-53.19,-60.9
2018-03-09 01:00:00,33.99,,30.78,-5.11,31.81,40.65,20.21,6.74,-54.26,-61.8
2018-03-10 01:00:00,40.74,,37.03,-1.0,32.23,37.96,0.0,6.74,-51.39,-59.4
2018-03-11 01:00:00,31.93,,24.89,-5.03,27.22,41.68,96.32,38.84,-53.98,-61.56
2018-03-12 01:00:00,36.37,,28.29,-1.69,26.47,39.62,44.62,46.98,-51.92,-59.84
2018-03-13 01:00:00,35.79,,28.66,-2.84,27.89,39.32,36.59,59.18,-51.61,-59.58
2018-03-14 01:00:00,51.8,,48.08,4.92,34.12,34.24,0.0,27.07,-45.15,-54.18
2018-03-15 01:00:00,50.49,,49.38,1.13,38.52,34.06,0.0,12.2,-44.87,-53.96
2018-03-16 01:00:00,49.58,,51.15,-2.07,42.73,33.79,0.0,-0.0,-44.47,-53.62
2018-03-17 01:00:00,59.26,,64.56,0.31,48.51,31.05,0.0,-0.0,-39.98,-49.87
2018-03-18 01:00:00,51.42,,57.82,-6.83,51.52,33.73,83.95,27.98,-42.14,-51.67
2018-03-19 01:00:00,35.32,,40.79,-16.95,51.59,41.05,100.0,61.32,-47.74,-56.35
2018-03-20 01:00:00,37.71,,43.78,-16.09,52.59,39.67,86.24,90.06,-46.23,-55.09
2018-03-21 01:00:00,40.55,,46.52,-14.91,53.04,38.17,71.23,85.82,-44.47,-53.62
2018-03-22 01:00:00,44.12,,50.36,-13.66,54.09,36.5,37.83,65.1,-42.35,-51.85
2018-03-23 01:00:00,45.06,,51.14,-13.88,54.8,35.66,0.0,36.35,-41.23,-50.92
2018-03-24 01:00:00,45.98,,47.06,-11.21,49.41,34.82,0.0,12.61,-40.1,-49.97
2018-03-25 01:00:00,42.89,,40.29,-11.43,45.19,35.6,23.35,7.78,-40.65,-50.43
2018-03-26 02:00:00,51.91,,46.75,-5.37,43.19,32.3,0.0,7.78,-36.02,-46.56
2018-03-27 02:00:00,54.52,,48.29,-4.23,43.04,31.07,0.0,7.78,-33.99,-44.87
2018-03-28 02:00:00,51.35,,45.31,-6.95,43.85,31.69,13.56,4.52,-34.45,-45.25
2018-03-29 02:00:00,69.88,,63.78,1.91,46.57,27.05,0.0,4.52,-25.18,-37.51
2018-03-30 02:00:00,68.47,,64.07,-1.72,50.16,26.81,0.0,4.52,-24.57,-37.0
2018-03-31 02:00:00,65.23,,59.34,-4.24,49.84,27.11,6.12,2.04,-24.84,-37.22
2018-04-01 02:00:00,69.98,,63.53,-3.03,51.1,25.67,0.0,2.04,-21.38,-34.33
2018-04-02 02:00:00,62.2,,54.18,-7.46,49.97,28.49,100.0,35.37,-23.8,-36.35
2018-04-03 02:00:00,44.56,,37.51,-17.39,49.88,37.44,100.0,66.67,-31.23,-42.56
2018-04-04 02:00:00,58.91,,52.04,-10.34,51.62,32.74,60.07,86.69,-23.26,-35.91
2018-04-05 02:00:00,57.07,,50.82,-12.23,52.85,32.62,59.07,73.04,-23.02,-35.71
2018-04-06 02:00:00,59.82,,55.39,-12.17,55.55,31.37,32.21,50.45,-20.48,-33.58
2018-04-07 02:00:00,53.68,,50.01,-16.19,56.62,33.48,34.67,41.98,-22.44,-35.22
