timestamp,ema50_dist_xrp_usd_6h,ema200_dist_xrp_usd_6h,upper_bb_dist_xrp_usd_6h,lower_bb_dist_xrp_usd_6h,width_bb_xrp_usd_6h,rsi_xrp_usd_6h,stoch_rsi_fastk_xrp_usd_6h,stoch_rsi_fastd_xrp_usd_6h,kijun_dist_xrp_usd_6h,tenkan_dist_xrp_usd_6h
2018-06-06 20:00:00,,,,,,,,,-53.44,-54.14
2018-06-07 02:00:00,,,,,,,,,-53.73,-54.43
2018-06-07 08:00:00,,,,,,,,,-53.87,-54.57
2018-06-07 14:00:00,,,,,,,,,-53.82,-54.51
2018-06-07 20:00:00,,,,,,,,,-53.66,-54.36
2018-06-08 02:00:00,,,,,,,,,-53.1,-53.81
2018-06-08 08:00:00,,,,,,,,,-52.68,-53.39
2018-06-08 14:00:00,,,,,,,,,-53.29,-53.99
2018-06-08 20:00:00,,,,,,,,,-53.4,-54.1
2018-06-09 02:00:00,,,,,,,,,-53.67,-54.37
2018-06-09 08:00:00,,,,,,,,,-53.24,-53.94
2018-06-09 14:00:00,,,,,,,,,-52.67,-53.39
2018-06-09 20:00:00,,,,,,,,,-52.19,-52.92
2018-06-10 02:00:00,,,,,,,,,-50.61,-51.35
2018-06-10 08:00:00,,,,,,21.96,,,-49.51,-50.27
2018-06-10 14:00:00,,,,,,15.49,,,-46.38,-47.19
2018-06-10 20:00:00,,,,,,14.83,,,-45.91,-46.72
2018-06-11 02:00:00,,,,,,14.5,,,-45.67,-46.49
2018-06-11 08:00:00,,,,,,15.29,,,-45.76,-46.58
2018-06-11 14:00:00,,,27.02,-1.38,25.17,14.2,,,-45.04,-45.87
2018-06-11 20:00:00,,,20.88,-6.64,25.7,32.55,100.0,36.89,-47.51,-48.3
2018-06-12 02:00:00,,,22.13,-6.15,26.19,30.22,87.32,62.44,-46.71,-47.51
2018-06-12 08:00:00,,,21.49,-6.79,26.34,30.02,86.24,91.19,-46.64,-47.44
2018-06-12 14:00:00,,,25.2,-4.6,27.02,25.21,59.99,77.85,-44.68,-45.51
2018-06-12 20:00:00,,,26.9,-4.1,27.82,23.09,0.0,48.75,-43.58,-44.44
2018-06-13 02:00:00,,,26.68,-4.96,28.54,22.63,0.0,20.0,-43.33,-44.19
2018-06-13 08:00:00,,,30.33,-3.57,29.9,19.6,0.0,0.0,-41.43,-42.32
2018-06-13 14:00:00,,,32.42,-3.06,30.94,17.8,0.0,0.0,-40.03,-40.94
2018-06-13 20:00:00,,,29.31,-5.21,30.82,21.41,68.25,22.75,-40.69,-41.59
2018-06-14 02:00:00,,,22.02,-8.69,28.79,32.72,100.0,56.08,-42.93,-43.79
2018-06-14 08:00:00,,,18.65,-8.82,26.18,34.49,100.0,89.42,-43.3,-44.15
2018-06-14 14:00:00,,,15.79,-8.25,23.17,34.91,100.0,100.0,-43.38,-44.24
2018-06-14 20:00:00,,,12.39,-7.57,19.49,36.24,100.0,100.0,-43.64,-44.49
2018-06-15 02:00:00,,,12.07,-5.32,16.82,33.45,20.7,73.57,-42.66,-43.53
2018-06-15 08:00:00,,,10.47,-4.5,14.53,32.98,0.0,40.23,-42.49,-43.36
2018-06-15 14:00:00,,,9.99,-4.67,14.28,32.92,0.0,6.9,-42.48,-43.34
2018-06-15 20:00:00,,,12.21,-2.99,14.53,29.27,0.0,0.0,-41.13,-42.02
2018-06-16 02:00:00,,,13.33,-2.47,14.98,27.53,0.0,0.0,-40.4,-41.3
