timestamp,ema50_dist_zec_btc_1D,ema200_dist_zec_btc_1D,upper_bb_dist_zec_btc_1D,lower_bb_dist_zec_btc_1D,width_bb_zec_btc_1D,rsi_zec_btc_1D,stoch_rsi_fastk_zec_btc_1D,stoch_rsi_fastd_zec_btc_1D,kijun_dist_zec_btc_1D,tenkan_dist_zec_btc_1D
2017-12-19 01:00:00,,,,,,,,,-55.34,-58.36
2017-12-20 01:00:00,,,,,,,,,-63.52,-65.98
2017-12-21 01:00:00,,,,,,,,,-63.52,-65.98
2017-12-22 01:00:00,,,,,,,,,-58.22,-61.05
2017-12-23 01:00:00,,,,,,,,,-58.97,-61.74
2017-12-24 01:00:00,,,,,,,,,-60.54,-63.2
2017-12-25 01:00:00,,,,,,,,,-59.64,-62.36
2017-12-26 01:00:00,,,,,,,,,-56.41,-59.35
2017-12-27 01:00:00,,,,,,,,,-54.48,-57.56
2017-12-28 01:00:00,,,,,,,,,-54.44,-57.52
2017-12-29 01:00:00,,,,,,,,,-57.61,-60.47
2017-12-30 01:00:00,,,,,,,,,-57.33,-60.21
2017-12-31 01:00:00,,,,,,,,,-56.11,-59.07
2018-01-01 01:00:00,,,,,,,,,-60.73,-63.39
2018-01-02 01:00:00,,,,,,54.75,,,-58.78,-61.56
2018-01-03 01:00:00,,,,,,55.16,,,-59.06,-61.82
2018-01-04 01:00:00,,,,,,51.91,,,-57.18,-60.07
2018-01-05 01:00:00,,,,,,45.43,,,-52.27,-55.5
2018-01-06 01:00:00,,,,,,55.78,,,-60.22,-62.91
2018-01-07 01:00:00,,,-6.22,-34.63,35.71,65.05,,,-67.29,-69.49
2018-01-08 01:00:00,,,-2.11,-34.88,40.21,64.41,96.77,98.92,-67.03,-69.26
2018-01-09 01:00:00,,,0.17,-35.6,43.47,64.08,95.06,97.28,-66.9,-69.14
2018-01-10 01:00:00,,,-1.21,-39.59,48.22,66.13,100.0,97.28,-68.24,-70.39
2018-01-11 01:00:00,,,1.4,-40.67,52.36,66.42,100.0,98.35,-68.42,-70.56
2018-01-12 01:00:00,,,0.6,-44.25,57.37,68.75,100.0,100.0,-69.8,-71.84
2018-01-13 01:00:00,,,5.66,-43.39,60.46,66.09,43.2,81.07,-69.08,-71.16
2018-01-14 01:00:00,,,8.95,-42.81,62.3,64.99,0.0,47.73,-68.77,-70.88
