timestamp,ema50_dist_zec_btc_6h,ema200_dist_zec_btc_6h,upper_bb_dist_zec_btc_6h,lower_bb_dist_zec_btc_6h,width_bb_zec_btc_6h,rsi_zec_btc_6h,stoch_rsi_fastk_zec_btc_6h,stoch_rsi_fastd_zec_btc_6h,kijun_dist_zec_btc_6h,tenkan_dist_zec_btc_6h
2018-10-24 20:00:00,,,,,,,,,-27.11,-28.32
2018-10-25 02:00:00,,,,,,,,,-27.63,-28.83
2018-10-25 08:00:00,,,,,,,,,-28.01,-29.2
2018-10-25 14:00:00,,,,,,,,,-27.62,-28.82
2018-10-25 20:00:00,,,,,,,,,-27.18,-28.39
2018-10-26 02:00:00,,,,,,,,,-26.58,-27.79
2018-10-26 08:00:00,,,,,,,,,-26.61,-27.83
2018-10-26 14:00:00,,,,,,,,,-24.5,-25.75
2018-10-26 20:00:00,,,,,,,,,-24.95,-26.2
2018-10-27 02:00:00,,,,,,,,,-25.29,-26.52
2018-10-27 08:00:00,,,,,,,,,-24.79,-26.04
2018-10-27 14:00:00,,,,,,,,,-25.02,-26.26
2018-10-27 20:00:00,,,,,,,,,-24.12,-25.38
2018-10-28 02:00:00,,,,,,,,,-24.61,-25.85
2018-10-28 07:00:00,,,,,,38.99,,,-25.35,-26.58
2018-10-28 13:00:00,,,,,,44.07,,,-26.03,-27.26
2018-10-28 19:00:00,,,,,,48.58,,,-26.69,-27.91
2018-10-29 01:00:00,,,,,,45.67,,,-26.21,-27.43
2018-10-29 07:00:00,,,,,,40.53,,,-25.25,-26.48
2018-10-29 13:00:00,,,6.74,-0.3,6.81,33.42,,,-23.49,-24.75
2018-10-29 19:00:00,,,6.25,-0.98,7.05,35.21,11.81,9.3,-23.75,-25.01
2018-10-30 01:00:00,,,6.4,-0.87,7.08,34.04,5.04,5.62,-23.44,-24.7
2018-10-30 07:00:00,,,6.35,-0.66,6.82,32.87,0.0,5.62,-23.13,-24.4
2018-10-30 13:00:00,,,5.27,-1.26,6.4,36.05,100.0,35.01,-23.54,-24.81
2018-10-30 19:00:00,,,5.35,-0.93,6.15,34.54,52.35,50.78,-23.18,-24.46
2018-10-31 01:00:00,,,6.11,-0.38,6.31,31.78,0.0,50.78,-22.48,-23.77
2018-10-31 07:00:00,,,5.35,-0.94,6.15,34.18,56.2,36.18,-22.78,-24.06
2018-10-31 13:00:00,,,5.15,-1.36,6.39,35.44,85.66,47.29,-22.94,-24.21
2018-10-31 19:00:00,,,4.74,-1.85,6.49,37.59,100.0,80.62,-23.19,-24.46
2018-11-01 01:00:00,,,5.59,-1.23,6.68,34.24,42.37,76.01,-22.49,-23.78
2018-11-01 07:00:00,,,5.3,-1.66,6.84,35.67,43.67,62.01,-22.65,-23.93
