timestamp,ema50_dist_zec_usd_1D,ema200_dist_zec_usd_1D,upper_bb_dist_zec_usd_1D,lower_bb_dist_zec_usd_1D,width_bb_zec_usd_1D,rsi_zec_usd_1D,stoch_rsi_fastk_zec_usd_1D,stoch_rsi_fastd_zec_usd_1D,kijun_dist_zec_usd_1D,tenkan_dist_zec_usd_1D
2017-12-19 01:00:00,,,,,,,,,-89.85,-91.44
2017-12-20 01:00:00,,,,,,,,,-90.97,-92.38
2017-12-21 01:00:00,,,,,,,,,-90.77,-92.22
2017-12-22 01:00:00,,,,,,,,,-87.47,-89.43
2017-12-23 01:00:00,,,,,,,,,-88.5,-90.3
2017-12-24 01:00:00,,,,,,,,,-88.42,-90.24
2017-12-25 01:00:00,,,,,,,,,-88.36,-90.19
2017-12-26 01:00:00,,,,,,,,,-89.01,-90.74
2017-12-27 01:00:00,,,,,,,,,-88.38,-90.2
2017-12-28 01:00:00,,,,,,,,,-87.37,-89.35
2017-12-29 01:00:00,,,,,,,,,-88.42,-90.23
2017-12-30 01:00:00,,,,,,,,,-86.45,-88.58
2017-12-31 01:00:00,,,,,,,,,-87.45,-89.41
2018-01-01 01:00:00,,,,,,,,,-88.32,-90.15
2018-01-02 01:00:00,,,,,,46.59,,,-89.05,-90.77
2018-01-03 01:00:00,,,,,,47.64,,,-89.29,-90.96
2018-01-04 01:00:00,,,,,,46.42,,,-89.0,-90.72
2018-01-05 01:00:00,,,,,,46.15,,,-88.94,-90.67
2018-01-06 01:00:00,,,,,,56.15,,,-90.84,-92.28
2018-01-07 01:00:00,,,-7.13,-46.76,54.24,62.76,,,-92.06,-93.3
2018-01-08 01:00:00,,,4.31,-42.31,57.55,56.51,62.4,87.47,-91.27,-92.64
2018-01-09 01:00:00,,,7.91,-40.32,57.55,54.55,50.58,70.99,-90.97,-92.38
2018-01-10 01:00:00,,,2.47,-45.12,60.49,57.8,39.55,50.84,-91.57,-92.89
2018-01-11 01:00:00,,,14.54,-37.93,59.42,52.0,0.0,30.04,-90.67,-92.13
2018-01-12 01:00:00,,,8.22,-42.41,61.07,55.67,63.36,34.3,-91.37,-92.73
2018-01-13 01:00:00,,,10.17,-41.91,61.91,55.71,63.91,42.42,-91.38,-92.73
2018-01-14 01:00:00,,,16.9,-37.83,61.13,52.68,11.77,46.35,-90.94,-92.36
2018-01-15 01:00:00,,,25.21,-32.9,60.43,49.15,0.0,25.23,-90.33,-91.84
2018-01-16 01:00:00,,,54.94,-17.46,60.97,40.77,0.0,3.92,-88.04,-89.92
2018-01-17 01:00:00,,,57.67,-15.26,60.18,40.18,0.0,0.0,-87.81,-89.72
2018-01-18 01:00:00,,,62.69,-14.12,61.8,39.29,0.0,0.0,-87.46,-89.43
2018-01-19 01:00:00,,,47.68,-18.71,57.99,43.63,43.98,14.66,-88.53,-90.32
2018-01-20 01:00:00,,,37.64,-21.74,55.01,46.88,100.0,47.99,-89.25,-90.94
2018-01-21 01:00:00,,,58.24,-11.2,56.22,41.65,31.12,58.37,-87.68,-89.61
2018-01-22 01:00:00,,,75.96,-6.22,60.93,38.73,0.0,43.71,-86.42,-88.55
2018-01-23 01:00:00,,,78.12,-9.86,65.6,38.6,0.0,10.37,-86.36,-88.5
2018-01-24 01:00:00,,,72.25,-15.88,68.75,40.42,22.0,7.33,-86.87,-88.92
2018-01-25 01:00:00,,,66.81,-20.55,70.95,42.16,100.0,40.67,-87.31,-89.3
2018-01-26 01:00:00,,,71.57,-20.75,73.61,40.83,62.65,61.55,-86.85,-88.91
2018-01-27 01:00:00,,,66.74,-20.99,71.39,40.59,55.89,72.84,-86.77,-88.84
2018-01-28 01:00:00,,,55.34,-25.57,70.43,43.37,100.0,72.84,-87.39,-89.36
2018-01-29 01:00:00,,,61.68,-22.65,70.57,40.84,8.93,54.94,-86.61,-88.71
2018-01-30 01:00:00,,,82.62,-12.12,70.05,35.59,0.0,36.31,-84.37,-86.82
2018-01-31 01:00:00,,,71.61,-18.16,70.83,37.77,27.96,12.3,-85.01,-87.36
2018-02-01 01:00:00,,,62.73,-18.11,66.1,38.11,32.38,20.11,-85.1,-87.44
2018-02-02 01:00:00,,,59.66,-12.68,58.58,36.67,20.53,26.96,-84.47,-86.9
2018-02-03 01:00:00,,,49.21,-10.61,50.15,37.0,55.92,36.28,-84.55,-86.97
2018-02-04 01:00:00,,,62.67,1.52,46.3,32.79,0.0,25.49,-82.36,-85.13
2018-02-05 01:00:00,,,83.99,5.63,54.11,29.99,0.0,18.64,-80.23,-83.33
2018-02-06 01:00:00,42.08,,50.79,-14.75,55.54,39.6,100.0,33.33,-83.65,-86.22
2018-02-07 01:00:00,46.04,,56.06,-13.88,57.76,38.31,86.56,62.19,-82.98,-85.65
2018-02-08 01:00:00,17.01,,22.98,-29.76,54.59,48.83,100.0,95.52,-86.28,-88.43
2018-02-09 01:00:00,7.96,,9.71,-32.71,47.93,52.46,100.0,95.52,-87.31,-89.3
2018-02-10 01:00:00,5.91,,7.65,-33.73,47.58,53.27,100.0,100.0,-87.52,-89.47
2018-02-11 01:00:00,16.96,,19.4,-26.4,47.46,47.99,64.72,88.24,-86.13,-88.31
2018-02-12 01:00:00,9.63,,12.81,-30.83,47.96,50.97,56.4,73.71,-86.96,-89.0
2018-02-13 01:00:00,13.44,,16.93,-28.04,47.61,49.02,19.48,46.87,-86.44,-88.56
2018-02-14 01:00:00,4.2,,7.86,-33.91,48.02,53.23,99.15,58.34,-87.52,-89.48
2018-02-15 01:00:00,4.07,,8.65,-34.12,49.02,53.21,99.6,72.74,-87.52,-89.47
2018-02-16 01:00:00,5.18,,10.64,-33.45,49.76,52.42,80.83,93.19,-87.36,-89.34
2018-02-17 01:00:00,1.98,,7.81,-35.61,50.43,54.18,100.0,93.48,-87.74,-89.66
2018-02-18 01:00:00,11.44,,18.25,-29.34,50.39,48.43,0.0,60.28,-86.54,-88.65
2018-02-19 01:00:00,5.18,,12.92,-32.4,50.21,51.68,56.56,52.19,-87.27,-89.27
2018-02-20 01:00:00,14.29,,23.55,-25.66,49.74,46.74,0.0,18.85,-86.1,-88.28
2018-02-21 01:00:00,15.58,,25.75,-24.02,49.34,45.89,0.0,18.85,-85.86,-88.08
2018-02-22 01:00:00,23.95,,35.88,-17.67,49.08,42.22,0.0,0.0,-84.72,-87.12
2018-02-23 01:00:00,17.1,,29.11,-21.13,48.32,45.26,32.18,10.73,-85.48,-87.76
2018-02-24 01:00:00,23.34,,36.02,-13.99,45.05,42.45,5.14,12.44,-84.59,-87.0
2018-02-25 01:00:00,22.46,,32.8,-8.51,36.83,42.44,5.97,14.43,-84.58,-87.0
2018-02-26 01:00:00,17.9,,27.91,-9.77,34.54,44.54,76.11,29.07,-85.06,-87.41
2018-02-27 01:00:00,15.89,,24.85,-7.91,30.2,45.34,100.0,60.69,-85.24,-87.55
2018-02-28 01:00:00,22.89,,33.98,-3.68,32.7,41.74,0.0,58.7,-84.23,-86.7
2018-03-01 01:00:00,16.58,,26.93,-9.05,33.03,45.04,91.68,63.89,-84.95,-87.31
2018-03-02 01:00:00,19.8,,30.0,-7.07,33.26,43.12,38.48,43.39,-84.43,-86.87
2018-03-03 01:00:00,19.11,,30.15,-8.28,34.64,43.08,37.24,55.8,-84.42,-86.86
2018-03-04 01:00:00,11.63,,21.57,-14.0,34.27,47.73,100.0,58.57,-85.33,-87.63
2018-03-05 01:00:00,16.27,,26.94,-10.82,34.94,44.69,34.74,57.33,-84.64,-87.04
2018-03-06 01:00:00,17.48,,26.87,-9.7,33.68,43.67,12.75,49.16,-84.38,-86.83
2018-03-07 01:00:00,29.52,,39.3,-1.58,34.39,37.94,0.0,15.83,-82.62,-85.35
2018-03-08 01:00:00,40.74,,52.28,3.97,37.7,34.07,0.0,4.25,-80.89,-83.89
2018-03-09 01:00:00,41.47,,51.81,3.01,38.3,33.45,0.0,0.0,-80.57,-83.61
2018-03-10 01:00:00,51.63,,65.59,5.64,44.2,30.64,0.0,0.0,-78.88,-82.19
2018-03-11 01:00:00,38.74,,49.53,-3.88,43.49,36.01,73.59,24.53,-80.45,-83.52
2018-03-12 01:00:00,46.22,,58.77,-1.55,46.9,33.63,55.72,43.1,-79.14,-82.41
2018-03-13 01:00:00,46.85,,60.47,-3.78,50.06,33.04,44.63,57.98,-78.77,-82.1
2018-03-14 01:00:00,64.87,,84.82,2.12,57.64,29.11,0.0,33.45,-75.79,-79.58
2018-03-15 01:00:00,65.97,,88.68,-2.18,63.43,28.52,0.0,14.88,-75.23,-79.11
2018-03-16 01:00:00,68.58,,95.13,-5.89,69.85,27.7,0.0,0.0,-74.42,-78.43
2018-03-17 01:00:00,78.27,,110.13,-6.65,76.96,25.95,0.0,0.0,-72.47,-76.78
2018-03-18 01:00:00,57.39,,85.46,-20.04,79.5,32.89,100.0,33.33,-75.33,-79.2
2018-03-19 01:00:00,48.42,,73.15,-25.5,79.67,35.79,100.0,66.67,-76.42,-80.12
2018-03-20 01:00:00,44.06,,67.24,-28.56,80.28,36.95,100.0,100.0,-76.83,-80.46
2018-03-21 01:00:00,42.15,,62.26,-29.27,78.57,37.05,100.0,100.0,-76.86,-80.49
2018-03-22 01:00:00,46.14,,64.49,-27.34,77.45,35.34,59.02,86.34,-75.91,-79.68
2018-03-23 01:00:00,39.19,,53.41,-29.84,74.47,38.16,100.0,86.34,-76.79,-80.43
2018-03-24 01:00:00,47.64,,55.79,-22.53,67.15,35.04,0.0,53.01,-75.06,-78.97
2018-03-25 01:00:00,47.38,,48.86,-19.37,59.46,34.58,0.0,33.33,-74.77,-78.73
2018-03-26 02:00:00,53.7,,47.04,-11.39,49.58,32.39,0.0,0.0,-73.32,-77.5
2018-03-27 02:00:00,58.2,,46.96,-6.81,44.78,30.84,0.0,0.0,-72.12,-76.49
2018-03-28 02:00:00,59.62,,46.97,-5.92,43.89,30.01,0.0,0.0,-71.44,-75.92
2018-03-29 02:00:00,77.07,,63.28,2.27,45.95,26.43,0.0,0.0,-67.76,-72.81
2018-03-30 02:00:00,71.12,,59.36,-3.36,49.0,27.69,21.09,7.03,-68.31,-73.28
2018-03-31 02:00:00,72.64,,58.74,-2.68,47.97,26.95,11.81,10.97,-67.48,-72.58
2018-04-01 02:00:00,72.22,,57.92,-3.93,48.7,26.53,2.83,11.91,-67.01,-72.18
2018-04-02 02:00:00,60.37,,45.46,-10.0,47.11,31.08,100.0,38.22,-68.81,-73.69
2018-04-03 02:00:00,48.47,,35.34,-16.53,47.41,36.22,100.0,67.61,-70.73,-75.32
2018-04-04 02:00:00,64.54,,52.03,-8.96,50.19,31.62,52.57,84.19,-67.05,-72.21
2018-04-05 02:00:00,61.62,,51.39,-11.76,52.71,31.8,54.42,69.0,-67.13,-72.28
2018-04-06 02:00:00,66.53,,59.09,-10.67,56.16,30.21,0.0,35.66,-65.58,-70.97
2018-04-07 02:00:00,58.1,,51.91,-15.97,57.54,33.09,47.96,34.12,-66.83,-72.03
2018-04-08 02:00:00,53.47,,46.67,-18.24,56.84,34.36,100.0,49.32,-67.34,-72.46
2018-04-09 02:00:00,56.62,,47.95,-15.99,55.13,32.88,64.23,70.73,-66.18,-71.48
2018-04-10 02:00:00,52.36,,41.18,-16.77,51.65,34.06,92.7,85.64,-66.64,-71.87
2018-04-11 02:00:00,46.52,,33.46,-18.34,48.16,36.42,100.0,85.64,-67.5,-72.6
2018-04-12 02:00:00,23.7,,9.11,-27.99,40.96,49.61,100.0,97.57,-72.35,-76.68
2018-04-13 02:00:00,16.62,,2.2,-30.96,38.73,53.42,100.0,100.0,-73.78,-77.89
2018-04-14 02:00:00,19.21,,3.49,-28.0,35.89,51.15,88.3,96.1,-73.02,-77.25
2018-04-15 02:00:00,13.31,,-0.34,-31.71,37.35,54.53,100.0,96.1,-74.24,-78.27
2018-04-16 02:00:00,16.6,,3.93,-29.67,38.56,51.64,41.28,76.53,-73.33,-77.51
2018-04-17 02:00:00,17.8,,6.42,-28.76,39.61,50.3,0.0,47.09,-72.89,-77.14
2018-04-18 02:00:00,5.14,,-1.37,-37.27,44.5,58.55,100.0,47.09,-75.76,-79.56
2018-04-19 02:00:00,-1.43,,-3.22,-42.77,51.36,62.78,100.0,66.67,-77.29,-80.85
2018-04-20 02:00:00,-7.68,,-4.52,-48.24,59.38,66.89,100.0,100.0,-78.8,-82.12
2018-04-21 02:00:00,-3.2,,3.19,-45.75,62.17,61.92,69.99,90.0,-77.8,-81.28
2018-04-22 02:00:00,-3.36,,5.78,-45.91,64.67,62.11,42.71,70.9,-77.87,-81.34
2018-04-23 02:00:00,-12.19,,0.0,-52.4,71.01,68.31,100.0,70.9,-80.0,-83.14
