timestamp,ema50_dist_zec_usd_6h,ema200_dist_zec_usd_6h,upper_bb_dist_zec_usd_6h,lower_bb_dist_zec_usd_6h,width_bb_zec_usd_6h,rsi_zec_usd_6h,stoch_rsi_fastk_zec_usd_6h,stoch_rsi_fastd_zec_usd_6h,kijun_dist_zec_usd_6h,tenkan_dist_zec_usd_6h
2018-06-06 20:00:00,,,,,,,,,-78.76,-78.67
2018-06-07 02:00:00,,,,,,,,,-78.96,-78.88
2018-06-07 08:00:00,,,,,,,,,-78.68,-78.59
2018-06-07 14:00:00,,,,,,,,,-78.59,-78.5
2018-06-07 20:00:00,,,,,,,,,-78.93,-78.85
2018-06-08 02:00:00,,,,,,,,,-78.81,-78.73
2018-06-08 08:00:00,,,,,,,,,-78.34,-78.25
2018-06-08 14:00:00,,,,,,,,,-78.66,-78.58
2018-06-08 20:00:00,,,,,,,,,-78.8,-78.71
2018-06-09 02:00:00,,,,,,,,,-79.09,-79.01
2018-06-09 08:00:00,,,,,,,,,-78.7,-78.62
2018-06-09 14:00:00,,,,,,,,,-78.57,-78.48
2018-06-09 20:00:00,,,,,,,,,-78.22,-78.14
2018-06-10 02:00:00,,,,,,,,,-77.23,-77.14
2018-06-10 08:00:00,,,,,,31.11,,,-77.05,-76.96
2018-06-10 14:00:00,,,,,,22.14,,,-75.06,-74.96
2018-06-10 20:00:00,,,,,,21.51,,,-74.86,-74.76
2018-06-11 02:00:00,,,,,,20.71,,,-74.59,-74.49
2018-06-11 08:00:00,,,,,,22.91,,,-74.78,-74.68
2018-06-11 14:00:00,,,30.92,-1.64,28.4,21.64,,,-74.41,-74.31
2018-06-11 20:00:00,,,24.46,-7.19,29.13,34.35,100.0,54.54,-75.58,-75.48
2018-06-12 02:00:00,,,23.1,-8.39,29.33,35.5,100.0,80.8,-75.69,-75.6
2018-06-12 08:00:00,,,20.25,-10.45,29.26,39.78,100.0,100.0,-76.11,-76.02
2018-06-12 14:00:00,,,23.32,-8.45,29.57,35.33,75.49,91.83,-75.36,-75.27
2018-06-12 20:00:00,,,28.89,-5.07,30.34,29.66,0.0,58.5,-74.07,-73.97
